C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST18:35:47

Vmag <   6 & cat = '*' &
(pm <   0 | pm   > 0) &
(plx   > 0 | plx <   0) &
(radvel   > 0 | radvel <   0)
-----------------------------------------------------------------------------------------------------------

Number of objects : 2885

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
----;-----------------------------------;---;-----------------------------------;--------------------;----------;-----------;---------
1   ;* tau Cyg                          ;dS*;318.69788551 +38.04531782          ;  196.99 410.28     ;49.16     ;-20.90     ;3.730    
2   ;* 61 Cyg A                         ;BY*;316.7247482895925 +38.7494173194369;4164.209 3249.614   ;285.9949  ;-65.82     ;5.21     
3   ;* sig Cyg                          ;sg*;319.3539685017 +39.3946813328      ;    -0.13 -3.58     ;1.13      ;-5.30      ;4.24     
4   ;* 74 Cyg                           ;*  ;324.2373967167000 +40.4135256300500;  -1.228 11.238     ;15.2874   ;5.30       ;5.035    
5   ;* 77 Cyg                           ;SB*;325.5956619721 +41.0770204597      ;    23.48 -1.02     ;7.91      ;-24.5      ;5.726    
6   ;* 6 Lac                            ;SB*;337.6219168554 +43.1233767875      ;    -1.98 -5.36     ;1.90      ;-8.70      ;4.511    
7   ;* 11 Lac                           ;PM*;340.1285783617 +44.2763067336      ;    93.83 10.71     ;9.80      ;-11.53     ;4.46     
8   ;* 4 And                            ;*  ;346.9136133422700 +46.3872306074500;-12.734 -30.026     ;9.155     ;-11.86     ;5.294    
9   ;* psi And                          ;** ;356.5085293096100 +46.4202740163600;   8.446 -7.143     ;1.6352    ;-23.163    ;4.966    
10  ;* lam And                          ;RS*;354.3910115836791 +46.4581513114192;159.606 -421.822    ;38.5736   ;6.84       ;3.82     
11  ;* 22 And                           ;*  ;002.5801941408 +46.0722722236      ;      5.49 0.28     ;2.65      ;-5.4       ;5.04     
12  ;* pi. Cas                          ;SB*;010.8669570112600 +47.0245457774600;-24.570 -36.886     ;18.6293   ;12.90      ;4.949    
13  ;NAME Adhil                         ;*  ;020.5850836482100 +45.5287767357900;   31.681 9.024     ;14.6042   ;-12.97     ;4.868    
14  ;* ome And                          ;** ;021.9140863146646 +45.4066847576183;357.564 -110.039    ;34.7332   ;12.40      ;4.83     
15  ;* chi And                          ;SB*;024.8374523883700 +44.3861749765200;  -13.395 8.635     ;12.3592   ;6.91       ;5.008    
16  ;* gam02 And                        ;** ;030.9781584547900 +42.3309114220800; 16.645 -47.746     ;12.0724   ;-14.0      ;5.82     
17  ;NAME Almach                        ;SB*;030.97480121 +42.32972842          ;   42.32 -49.30     ;8.30      ;-11.50     ;2.10     
18  ;* 20 Per                           ;** ;043.42755351 +38.33748699          ;   46.79 -78.90     ;14.15     ;7.00       ;5.343    
19  ;* 75 Cyg                           ;** ;325.0462918166400 +43.2738377488500;  60.900 15.491     ;7.3395    ;-29.25     ;5.086    
20  ;* 2 Lac                            ;SB*;335.2564469371 +46.5365683569      ;     22.35 1.45     ;5.88      ;-9.5       ;4.540    
21  ;* 5 Lac                            ;s*r;337.3825937742 +47.7068868631      ;    -0.37 -3.33     ;1.98      ;-12.93     ;4.37     
22  ;* 7 And                            ;PM*;348.1375158304 +49.4062070853      ;    90.23 95.56     ;40.67     ;12.10      ;4.52     
23  ;* 8 And                            ;V* ;349.4360302737600 +49.0153008141400;   33.779 6.213     ;5.6963    ;-8.05      ;4.86     
24  ;* 11 And                           ;PM*;349.8741989174300 +48.6253230796400;  22.130 52.573     ;11.3828   ;9.99       ;5.440    
25  ;* 18 And                           ;*  ;354.7847152248800 +50.4717326487800; -17.057 -2.041     ;7.7914    ;9.90       ;5.35     
26  ;* omi Cas                          ;Be*;011.1813277708 +48.2843648814      ;    18.84 -7.18     ;4.64      ;-16.9      ;4.50     
27  ;* 68 Cas                           ;*  ;011.1091314641900 +47.8639841342800;  -39.855 8.455     ;4.453     ;-66.00     ;5.648    
28  ;* phi And                          ;Be*;017.37552340 +47.24179429          ;    4.05 -12.43     ;4.55      ;-2.20      ;4.25     
29  ;* 49 And                           ;*  ;022.5254229597800 +47.0072725344400; -0.950 -42.638     ;9.7947    ;-11.48     ;5.261    
30  ;* b And                            ;SB*;033.3055091634783 +44.2316466494814;  -20.90 -14.46     ;5.2634    ;-48.00     ;4.826    
31  ;* 12 Per                           ;SB*;040.5621440309600 +40.1939504812500;-18.669 -186.190    ;41.7962   ;-23.04     ;4.92     
32  ;NAME Gorgonea Secunda              ;*  ;044.6902923413800 +39.6627265502000; 25.048 -41.522     ;10.4437   ;14.2       ;4.70     
33  ;NAME Gorgonea Tertia               ;LP*;046.29414106 +38.84027619          ; 129.22 -105.70     ;10.60     ;30.81      ;3.39     
34  ;* nu. Cyg                          ;** ;314.2934127850 +41.1671386414      ;    9.64 -22.75     ;8.71      ;-27.60     ;3.94     
35  ;* ksi Cyg                          ;SB*;316.2327595458 +43.9278512389      ;      7.97 0.06     ;3.87      ;-19.10     ;3.73     
36  ;* 68 Cyg                           ;SB*;319.6132759246900 +43.9459442077400;   4.632 -8.487     ;1.4498    ;1.0        ;5.00     
37  ;* g Cyg                            ;PM*;322.3622906933300 +46.5405855474900; 43.166 104.326     ;15.2865   ;-21.54     ;5.217    
38  ;* rho Cyg                          ;PM*;323.4952210208758 +45.5918389042942;-24.341 -93.511     ;25.9359   ;6.88       ;4.02     
39  ;* alf Lac                          ;PM*;337.8229221208 +50.2824911667      ;   137.51 17.01     ;31.79     ;-4.50      ;3.77     
40  ;* 4 Lac                            ;*  ;336.1291312202000 +49.4763918290700;  -5.274 -3.303     ;1.2656    ;-26.00     ;4.58     
41  ;* 9 Lac                            ;PM*;339.3434052733 +51.5451217614      ; -51.83 -103.80     ;19.00     ;10.10      ;4.63     
42  ;* nu. Cas                          ;V* ;012.2084228956400 +50.9681651272100;  29.453 -8.152     ;9.1537    ;9.00       ;4.891    
43  ;* ksi Cas                          ;SB*;010.5162175316100 +50.5125334455400;  16.126 -6.050     ;2.9022    ;-10.0      ;4.81     
44  ;NAME Nembus                        ;PM*;024.4981541358 +48.6282137592      ;  61.95 -112.15     ;18.41     ;16.264     ;3.57     
45  ;* 3 Per                            ;*  ;029.6396081751900 +49.2043529334200;   7.051 41.686     ;12.694    ;-0.44      ;5.702    
46  ;* c And                            ;PM*;034.8199871981980 +47.3799758983489;   -60.03 -5.61     ;11.9531   ;-29.6      ;5.310    
47  ;* 14 Per                           ;*  ;041.0215001156600 +44.2970392809300;   2.314 -6.229     ;2.3511    ;-1.22      ;5.435    
48  ;NAME Gorgonea Quarta               ;*  ;047.8224233704 +39.6115837217      ;    -26.26 5.40     ;11.32     ;6.87       ;4.607    
49  ;NAME Algol                         ;EB*;047.0422185563 +40.9556466703      ;     2.99 -1.66     ;36.27     ;4.0        ;2.12     
50  ;NAME SADR                          ;V* ;305.5570909821 +40.2566791564      ;     2.39 -0.91     ;1.78      ;-5.906     ;2.23     
51  ;* 57 Cyg                           ;EB*;313.3114792825 +44.3872613478      ;    11.94 -2.08     ;6.21      ;-19.5      ;4.77     
52  ;* 60 Cyg                           ;Be*;315.2955322722800 +46.1557764418600;    7.724 1.656     ;2.6621    ;-11.60     ;5.432    
53  ;* pi.02 Cyg                        ;SB*;326.6983679908 +49.3095697489      ;     2.77 -2.00     ;2.95      ;-12.3      ;4.18     
54  ;* bet Lac                          ;** ;335.8900989442 +52.2290457375      ; -13.25 -186.77     ;19.19     ;-11.42     ;4.44     
55  ;NAME Fulu                          ;Pu*;009.2428507775 +53.8969075864      ;    17.38 -9.86     ;5.50      ;-0.20      ;3.66     
56  ;* mu. Cas                          ;SB*;017.0679289393637 +54.9201558892397;3468.251 -1564.844  ;130.2881  ;-98.10     ;5.17     
57  ;* 2 Per                            ;SB*;028.0390512861400 +50.7927928087800; 17.532 -29.090     ;6.8219    ;11.40      ;5.689    
58  ;* 65 And                           ;*  ;036.4059290671700 +50.2786287040900; 24.289 -14.483     ;7.6317    ;-4.93      ;4.710    
59  ;* 63 And                           ;a2*;035.2425064303700 +50.1514958956100; 39.818 -31.607     ;8.5275    ;-0.30      ;5.59     
60  ;* 64 And                           ;*  ;036.1038166422500 +50.0065433325100; 24.574 -35.977     ;8.0682    ;-13.34     ;5.19     
61  ;NAME Misam                         ;PM*;047.3741818335442 +44.8574582857297;165.691 -138.559    ;28.7314   ;29.40      ;3.81     
62  ;* 30 Per                           ;SB*;049.4473041754800 +44.0250227514300; 27.233 -24.503     ;4.9025    ;4.00       ;5.476    
63  ;* l Per                            ;PM*;050.3606615005000 +43.3296508679400; -61.008 -0.964     ;20.9522   ;-9.00      ;4.946    
64  ;NAME Deneb                         ;sg*;310.35797975 +45.28033881          ;      2.01 1.85     ;2.31      ;-4.90      ;1.25     
65  ;* 55 Cyg                           ;s*b;312.2345483006000 +46.1141343458400;  -2.233 -2.516     ;0.5435    ;-7.2       ;4.86     
66  ;* f02 Cyg                          ;*  ;316.6503908975 +47.6484025083      ;     6.53 -1.41     ;3.16      ;-26.32     ;4.514    
67  ;* f01 Cyg                          ;Be*;314.9564755197900 +47.5209343740100;    7.857 4.065     ;1.4681    ;1.40       ;4.75     
68  ;NAME Azelfafage                    ;SB*;325.5236024242 +51.1896226439      ;     5.29 -1.78     ;1.89      ;-8.20      ;4.66     
69  ;* tau Cas                          ;PM*;356.7643932733900 +58.6519910357300;  60.379 56.828     ;18.7789   ;-20.48     ;4.873    
70  ;* rho Cas                          ;LP*;358.5959688760500 +57.4993818715000;  -4.699 -3.112     ;0.9470    ;-54.30     ;4.59     
71  ;NAME Schedar                       ;PM*;010.1268377829 +56.5373311583      ;   50.88 -32.13     ;14.29     ;-4.204     ;2.23     
72  ;NAME Achird                        ;PM*;012.2762274762175 +57.8151772888100;1078.609 -551.133   ;168.8322  ;8.404      ;3.44     
73  ;* tet Cas                          ;PM*;017.7756760283 +55.1499020164      ;  226.77 -18.75     ;24.42     ;2.50       ;4.330    
74  ;* 1 Per                            ;EB*;027.9971670169200 +55.1473843593700;  12.716 -8.410     ;2.6944    ;-5.40      ;5.52     
75  ;* g Per                            ;*  ;030.5754516905400 +54.4875403155500;  34.245 -2.924     ;4.0763    ;-2.30      ;5.04     
76  ;* tet Per                          ;PM*;041.0499442308762 +49.2284485192150;334.708 -89.251     ;89.6850   ;24.394     ;4.11     
77  ;* nu. Per                          ;*  ;056.2984668088 +42.5785508022      ;    -14.45 2.53     ;5.86      ;-12.10     ;3.80     
78  ;* 51 Cyg                           ;*  ;310.5526271694100 +50.3400186015400;    2.629 3.946     ;2.6729    ;-4.70      ;5.401    
79  ;* 13 Cep                           ;V* ;328.7214745337200 +56.6112263958200;  -3.825 -2.638     ;0.9126    ;-20.40     ;5.80     
80  ;* 14 Cep                           ;SB*;330.5190526126099 +58.0003638218100;  -3.096 -2.611     ;0.907     ;-11.33     ;5.542    
81  ;* zet Cep                          ;EB*;332.7136538163 +58.2012626631      ;     13.52 5.24     ;3.90      ;-17.83     ;3.35     
82  ;* del Cep                          ;cC*;337.2927709100 +58.4151982933      ;     15.35 3.52     ;3.77      ;-24.00     ;3.75     
83  ;* 1 Cas                            ;*  ;346.6534077321 +59.4197599161      ;     6.94 -1.95     ;2.89      ;-9.10      ;4.840    
84  ;* 2 Cas                            ;*  ;347.4339120861600 +59.3326908497600;    0.335 0.552     ;1.19      ;-12.0      ;5.679    
85  ;NAME Caph                          ;dS*;002.29452158 +59.14978110          ; 523.50 -179.77     ;59.58     ;4.30       ;2.27     
86  ;* ups01 Cas                        ;PM*;013.7506487615800 +58.9726992072100;-31.200 -44.986     ;9.062     ;-22.36     ;4.820    
87  ;NAME Castula                       ;Pe*;014.1662714433700 +59.1810570241900;-92.611 -45.397     ;16.6465   ;-47.941    ;4.622    
88  ;* gam Cas                          ;Be*;014.1772154 +60.7167403            ;    25.65 -3.82     ;5.32      ;-6.8       ;2.39     
89  ;* chi Cas                          ;*  ;023.4828394889600 +59.2320539143100;-44.188 -18.538     ;16.2553   ;6.66       ;4.681    
90  ;* phi Cas                          ;s*y;020.0204852774400 +58.2316132344100;  -1.479 -1.231     ;0.2142    ;-18.90     ;4.98     
91  ;* i Per                            ;sg*;035.5893096279400 +55.8456528759100;   0.640 -1.692     ;0.7852    ;-15.2      ;5.17     
92  ;* tau Per                          ;EB*;043.5644905034600 +52.7624674264700;  -8.311 -2.580     ;12.3726   ;2.20       ;3.96     
93  ;* 29 Per                           ;*  ;049.6572570530000 +50.2221763049100; 23.008 -24.435     ;5.5326    ;-1.50      ;5.157    
94  ;* 31 Per                           ;*  ;049.7818303531400 +50.0949693787300; 22.756 -24.446     ;5.7653    ;-1.60      ;5.032    
95  ;* sig Per                          ;V* ;052.6436890250900 +47.9952163484000;   3.954 18.968     ;9.506     ;14.36      ;4.36     
96  ;* 36 Per                           ;PM*;053.1094136030700 +46.0568615573800;-53.125 -74.830     ;27.0579   ;-49.0      ;5.32     
97  ;* 30 Cyg                           ;V* ;303.3252244331900 +46.8156752644300;  13.597 -1.396     ;5.1207    ;-26.00     ;4.819    
98  ;* omi02 Cyg                        ;EB*;303.8680175512000 +47.7142260923600;   0.180 -2.319     ;3.2558    ;-14.4      ;3.98     
99  ;* 43 Cyg                           ;gD*;306.7594478900400 +49.3833623318200;  68.774 56.819     ;25.6035   ;-20.0      ;5.715    
100 ;* ome01 Cyg                        ;Pu*;307.5147539413700 +48.9515668247800;   10.058 6.873     ;2.5459    ;-21.90     ;4.936    
101 ;* ome02 Cyg                        ;*  ;307.8284022818300 +49.2202954980400;  8.959 -32.092     ;7.1833    ;-64.15     ;5.44     
102 ;NAME Herschel's Garnet Star        ;s*r;325.8769210725 +58.7800444947      ;     5.36 -3.51     ;0.55      ;23.00      ;4.08     
103 ;* lam Cep                          ;s*b;332.8774021296000 +59.4144872958000; -7.020 -10.812     ;1.1761    ;-75.10     ;5.05     
104 ;* 4 Cas                            ;V* ;351.2094265613 +62.2828081542      ;   12.29 -12.44     ;4.15      ;-38.98     ;4.955    
105 ;* 10 Cas                           ;Be*;001.6105721928200 +64.1961579699500;    9.248 0.828     ;3.407     ;-0.90      ;5.59     
106 ;* 9 Cas                            ;*  ;001.0569268875700 +62.2876642308100;  -0.936 -0.263     ;1.3781    ;-16.90     ;5.884    
107 ;* 12 Cas                           ;*  ;006.1979394689500 +61.8310578050800;  14.126 -2.715     ;3.8102    ;-4.00      ;5.377    
108 ;* kap Cas                          ;s*b;008.2499633179 +62.9317826039      ;     3.65 -2.07     ;0.73      ;0.30       ;4.16     
109 ;NAME Ruchbah                       ;EB*;021.4539644621 +60.2352840297      ;  296.57 -49.22     ;32.81     ;6.70       ;2.680    
110 ;* 44 Cas                           ;*  ;025.8323194590000 +60.5513324754700; 13.111 -11.845     ;3.5725    ;-30.50     ;5.76     
111 ;* 8 Per                            ;PM*;034.4995301125600 +57.8998213212200;   60.692 5.556     ;7.8978    ;1.10       ;5.748    
112 ;* 11 Per                           ;*  ;040.7618251056400 +55.1060183877400; 34.979 -21.712     ;7.7748    ;-0.70      ;5.753    
113 ;NAME Miram                         ;*  ;042.6742066267 +55.8954965489      ;   16.23 -13.54     ;3.71      ;-1.784     ;3.79     
114 ;* gam Per                          ;EB*;046.1991280875 +53.5064357569      ;     0.51 -5.92     ;13.41     ;3.13       ;2.93     
115 ;NAME Mirfak                        ;V* ;051.0807087183 +49.8611792931      ;   23.75 -26.23     ;6.44      ;-2.158     ;1.79     
116 ;* 34 Per                           ;*  ;052.34187580 +49.50894762          ;   22.20 -29.49     ;6.05      ;-3.50      ;4.735    
117 ;* psi Per                          ;Be*;054.1224159279 +48.1926330392      ;   22.55 -27.78     ;5.59      ;-1.1       ;4.23     
118 ;* del Per                          ;Be*;055.7312677338 +47.7875485092      ;   25.58 -43.06     ;6.32      ;4.00       ;3.01     
119 ;* 14 Cyg                           ;*  ;294.8603859220500 +42.8182614066900;  17.080 33.091     ;6.1689    ;-27.5      ;5.40     
120 ;NAME Fawaris                       ;PM*;296.2436605888 +45.1308100183      ;    44.07 48.66     ;19.77     ;-23.60     ;2.87     
121 ;* e Cyg                            ;*  ;300.3398474439200 +50.1046932813000;   16.400 5.490     ;7.209     ;-0.25      ;5.048    
122 ;* nu. Cep                          ;sg*;326.3621865783 +61.1208055269      ;    -3.74 -2.10     ;0.48      ;-25.90     ;4.29     
123 ;* 12 Cep                           ;*  ;326.8553972324200 +60.6926887364900;  -9.940 -2.300     ;7.8978    ;-21.03     ;5.514    
124 ;* 9 Cep                            ;Pu*;324.4801005810100 +62.0819417713300;  -2.007 -4.293     ;1.0251    ;-13.50     ;4.73     
125 ;* 19 Cep                           ;*  ;331.2866239721200 +62.2798146027600;  -1.595 -3.026     ;1.0221    ;-12.30     ;5.11     
126 ;* 25 Cep                           ;*  ;334.5526993843799 +62.8043900379400;  41.430 10.791     ;5.1573    ;-4.62      ;5.741    
127 ;* 18 Cep                           ;LP?;330.9707376844300 +63.1199208487300;  37.041 58.292     ;7.5328    ;-5.30      ;5.300    
128 ;* 20 Cep                           ;PM*;331.2520784900299 +62.7856711975100;  14.416 58.123     ;10.6734   ;-23.49     ;5.265    
129 ;NAME Kurhah                        ;** ;330.94772911 +64.62797577          ;   215.46 91.06     ;33.79     ;-10.74     ;4.29     
130 ;* 26 Cep                           ;*  ;336.7721269584100 +65.1322667631100;  -0.587 -3.079     ;0.9686    ;-12.70     ;5.515    
131 ;* 30 Cep                           ;*  ;339.6627156619500 +63.5844713744100;  0.196 -19.295     ;10.6477   ;10.40      ;5.188    
132 ;* iot Cep                          ;PM*;342.4200705979 +66.2004065600      ; -65.89 -125.17     ;28.29     ;-12.763    ;3.54     
133 ;* 32 Cas                           ;V* ;017.9225100626400 +65.0188538305700; 23.217 -12.524     ;8.0823    ;3.10       ;5.564    
134 ;NAME Segin                         ;Be*;028.5988920257000 +63.6701000663300; 29.587 -18.387     ;7.0037    ;-8.30      ;3.37     
135 ;* k Per                            ;PM*;046.3850479466800 +56.7057188123200; -12.960 69.781     ;15.1897   ;-45.65     ;4.766    
136 ;* c Per                            ;Be*;062.1653839908 +47.7125119269      ;   21.73 -33.61     ;6.84      ;0.8        ;4.03     
137 ;* psi Cyg                          ;SB*;298.9074524163700 +52.4389390157600;-37.044 -27.970     ;11.5546   ;-10.00     ;5.02     
138 ;* 33 Cyg                           ;PM*;303.3494442246 +56.5677222014      ;    61.82 82.18     ;20.48     ;-18.00     ;4.271    
139 ;NAME Alderamin                     ;PM*;319.64488470 +62.58557446          ;   150.55 49.09     ;66.50     ;-15.80     ;2.460    
140 ;* 6 Cep                            ;Be*;319.8425843600 +64.8718561431      ;      5.20 5.69     ;1.64      ;-16.50     ;5.18     
141 ;* 31 Cas                           ;*  ;017.6638433603100 +68.7786226794900; 35.202 -26.792     ;10.6799   ;4.70       ;5.309    
142 ;* psi Cas                          ;PM*;021.4834265888 +68.1300127772      ;    75.50 26.93     ;16.72     ;-12.83     ;4.727    
143 ;* 43 Cas                           ;a2*;025.5855289300300 +68.0430251359100;  53.076 -9.030     ;7.696     ;5.1        ;5.59     
144 ;* 53 Cas                           ;*  ;030.7507817156500 +64.3900180185900;  -0.881 -2.204     ;1.077     ;-24.30     ;5.614    
145 ;* 52 Cas                           ;*  ;030.7186495829800 +64.9014640117400;-13.287 -12.328     ;12.0776   ;-26.60     ;5.986    
146 ;* lam Per                          ;*  ;061.6460149808 +50.3512638775      ;  -12.75 -35.60     ;7.73      ;6.1        ;4.29     
147 ;* mu. Per                          ;SB*;063.7244271987 +48.4093308800      ;    5.52 -17.37     ;3.62      ;26.46      ;4.16     
148 ;* d Per                            ;bC*;065.3881926825000 +46.4988791227600; 21.659 -35.177     ;6.8802    ;7.30       ;4.812    
149 ;* tet Cyg                          ;PM*;294.1105598179 +50.2211012703      ;   -8.87 262.45     ;54.54     ;-27.581    ;4.48     
150 ;* 16 Cyg A                         ;** ;295.4539729150700 +50.5250609824400;-148.034 -159.030   ;47.3239   ;-27.61     ;5.95     
151 ;* d Cyg                            ;PM*;297.6571813696754 +52.9879973181400;-10.838 -69.524     ;16.2339   ;-22.04     ;5.03     
152 ;* tet Cep                          ;SB*;307.3954386101400 +62.9941103348500; 34.798 -13.904     ;23.481    ;-6.8       ;4.22     
153 ;* eta Cep                          ;PM*;311.3223981417 +61.8387824269      ;   86.50 818.02     ;70.10     ;-87.407    ;3.410    
154 ;* 7 Cep                            ;*  ;321.9422575919600 +66.8090969828900;-11.446 -20.346     ;4.3485    ;3.00       ;5.410    
155 ;* 42 Cas                           ;EB*;025.7327636534000 +70.6225255840500; 76.295 -14.091     ;11.1166   ;6.60       ;5.174    
156 ;* ome Cas                          ;SB*;029.0001179194500 +68.6852399760700; 15.067 -10.313     ;4.4802    ;-23.8      ;4.968    
157 ;* b02 Per                          ;V* ;065.0479690642600 +50.9209347287000;   0.044 -6.166     ;2.1654    ;-17.80     ;5.545    
158 ;* b Per                            ;SB*;064.5609037442 +50.2955015944      ;   45.42 -56.72     ;10.40     ;19.8       ;4.594    
159 ;* 59 Per                           ;PM*;070.7264017916500 +43.3651202112000; 33.242 -47.640     ;14.0923   ;13.20      ;5.298    
160 ;* iot01 Cyg                        ;*  ;291.8581637619100 +52.3204382687700;-12.096 -26.956     ;8.788     ;1.9        ;5.75     
161 ;* iot Cyg                          ;PM*;292.4264946683 +51.7297793972      ;   20.59 128.33     ;26.88     ;-19.5      ;3.755    
162 ;* 23 Cyg                           ;** ;298.3224089945100 +57.5234741390100;    6.036 9.787     ;5.3644    ;-31.60     ;5.132    
163 ;* 71 Dra                           ;EB*;304.9030300298200 +62.2574437656700;  13.238 19.745     ;7.8837    ;-19.4      ;5.709    
164 ;* 66 Dra                           ;PM*;301.3869914691500 +61.9954203033200; 123.312 70.696     ;18.5114   ;4.46       ;5.408    
165 ;* 68 Dra                           ;PM*;302.8952992440100 +62.0785477086900; 142.267 72.842     ;20.9232   ;-14.63     ;5.700    
166 ;* 4 Cep                            ;*  ;310.7959214136700 +66.6574473201200;  25.393 34.362     ;23.1824   ;-11.00     ;5.600    
167 ;NAME Alfirk                        ;bC*;322.1649868804 +70.5607151892      ;     12.54 8.39     ;4.76      ;-8.2       ;3.23     
168 ;* 78 Dra                           ;PM*;325.7668470245900 +72.3200855358700;-43.513 -39.985     ;13.1461   ;-40.585    ;5.173    
169 ;* 24 Cep                           ;*  ;332.4517944276000 +72.3412054806800;   33.041 2.809     ;8.2802    ;-16.239    ;4.786    
170 ;* pi. Cep                          ;SB*;346.97439069 +75.38749863          ;    6.81 -34.06     ;13.22     ;-18.6      ;4.41     
171 ;* pi. Cep A                        ;*  ;346.9744639009500 +75.3875108575900;  2.463 -33.829     ;12.1458   ;-26.94     ;4.61     
172 ;* 23 Cas                           ;SB*;011.9418912188300 +74.8475697892500;  15.153 -7.549     ;4.1495    ;-3.1       ;5.413    
173 ;* 21 Cas                           ;EB*;011.4128190385000 +74.9880706035200;-15.306 -22.936     ;10.6528   ;8.90       ;5.652    
174 ;* 40 Cas                           ;V* ;024.6288245976800 +73.0400382156800;-11.616 -13.641     ;7.0771    ;-5.08      ;5.281    
175 ;* 48 Cas                           ;SB*;030.48937644 +70.90702507          ;   -55.69 -8.71     ;28.36     ;-5.0       ;4.54     
176 ;* 50 Cas                           ;*  ;030.8587757542 +72.4212938186      ;   -43.57 22.30     ;20.76     ;-18.20     ;3.938    
177 ;* 3 Cam                            ;SB*;069.9778376870400 +53.0795354041500; -5.197 -16.099     ;7.7841    ;-40.50     ;5.073    
178 ;* 16 Lyr                           ;PM*;285.3599275728700 +46.9347631894900; 22.004 -80.894     ;25.7832   ;4.90       ;5.006    
179 ;* 51 Dra                           ;*  ;286.2298560008100 +53.3966557987800;  -3.947 21.402     ;9.0816    ;-24.00     ;5.38     
180 ;* kap Cyg                          ;PM*;289.2757027150 +53.3684592708      ;   60.07 122.83     ;26.27     ;-29.36     ;3.76     
181 ;* 53 Dra                           ;PM*;287.9190870874300 +56.8592055311900;  29.887 46.371     ;8.9405    ;-17.91     ;5.125    
182 ;* 54 Dra                           ;PM*;288.4796451188499 +57.7050795588100; -7.294 -73.353     ;19.3662   ;-32.42     ;5.003    
183 ;* e Dra                            ;*  ;300.3689347584199 +64.8209763292800;  9.282 -11.929     ;5.0501    ;-36.12     ;5.27     
184 ;* rho Dra                          ;PM*;300.7044695146 +67.8735637297      ;    16.44 47.31     ;7.61      ;-9.69      ;4.50     
185 ;* 49 Cas                           ;*  ;031.3814588840500 +76.1150601248400;-11.813 -20.561     ;7.7763    ;-0.06      ;5.22     
186 ;* 4 Cam                            ;** ;072.0011371775100 +56.7571769299200;52.892 -140.618     ;18.4464   ;22.50      ;5.275    
187 ;* 48 Dra                           ;PM*;284.1876488909800 +57.8148165528400;-26.512 -61.867     ;11.3105   ;-39.28     ;5.663    
188 ;* 49 Dra                           ;*  ;285.1810685002699 +55.6583008482800; -10.845 -7.530     ;6.0379    ;7.88       ;5.513    
189 ;* pi. Dra                          ;*  ;290.1670555483 +65.7145304217      ;    15.09 41.12     ;14.25     ;-28.10     ;4.59     
190 ;* 73 Dra                           ;a2*;307.8766945669800 +74.9546260726300;  7.257 -17.260     ;8.5789    ;10.60      ;5.185    
191 ;* 77 Dra                           ;*  ;316.3719404360299 +78.1263914357600;  19.630 29.018     ;7.3807    ;-22.50     ;5.907    
192 ;* rho01 Cep                        ;** ;336.6768097201600 +78.7858732572500;-18.440 -48.707     ;16.2606   ;-6.00      ;5.840    
193 ;* rho Cep                          ;*  ;337.4707415215900 +78.8242866757200;  3.543 -20.840     ;13.6037   ;2.80       ;5.460    
194 ;* 47 Cas                           ;PM*;031.2809342804 +77.2813400550      ;  139.92 -47.79     ;30.16     ;-20.30     ;5.268    
195 ;* gam Cam                          ;*  ;057.5896204846 +71.3322634700      ;   18.17 -42.85     ;9.09      ;0.20       ;4.604    
196 ;* 5 Cam                            ;*  ;073.7630450180200 +55.2591270608200;-13.821 -11.766     ;4.2455    ;2.4        ;5.520    
197 ;* 7 Cam                            ;SB*;074.3216503850 +53.7521015014      ;    -24.51 7.71     ;8.77      ;-7.9       ;4.433    
198 ;NAME Capella                       ;SB*;079.17232794 +45.99799147          ;  75.25 -426.89     ;76.20     ;29.19      ;0.08     
199 ;* c Dra                            ;SB*;280.6581379154 +55.5394564967      ;    -3.01 23.02     ;9.58      ;-30.0      ;5.026    
200 ;* omi Dra                          ;RS*;282.8003931018900 +59.3883501472600;  79.097 26.328     ;9.5709    ;-38.190    ;4.636    
201 ;NAME Altais                        ;PM*;288.1387581854 +67.6615404392      ;    95.74 91.92     ;33.48     ;24.818     ;3.07     
202 ;NAME Alsafi                        ;PM*;293.0899592077504 +69.6611766125572;597.384 -1738.286   ;173.4939  ;26.734     ;4.680    
203 ;* kap Cep                          ;*  ;302.2222864370300 +77.7114209860200;  11.228 24.615     ;10.1788   ;-22.8      ;4.40     
204 ;* alf Cam                          ;s*b;073.5125433263 +66.3426767964      ;     -0.13 6.89     ;0.52      ;10         ;4.29     
205 ;* bet Cam                          ;*  ;075.8545401287 +60.4422470908      ;   -6.50 -14.15     ;3.74      ;-0.56      ;4.02     
206 ;* 11 Cam                           ;Be*;076.5352197161400 +58.9723731174500;  -6.264 -7.118     ;4.7543    ;-11.00     ;5.08     
207 ;* 16 Cam                           ;PM*;080.8660111447100 +57.5443992073000; 15.017 -54.469     ;9.2929    ;12.00      ;5.250    
208 ;* d Dra                            ;*  ;278.1438441388600 +57.0455960482300;   0.068 -7.961     ;1.02      ;-12.32     ;4.761    
209 ;NAME Fafnir                        ;PM*;276.4964040005700 +65.5634809288300;105.816 -26.846     ;11.056    ;31.79      ;4.823    
210 ;* ups Dra                          ;SB*;283.5993828255600 +71.2971962653700;  50.280 42.736     ;8.6601    ;-11.10     ;4.814    
