C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
342 ;* 130 Tau                          ;*  ;086.8591482332500 +17.7291422406200;  -3.000 -4.339    ;2.885     ;9.0       ;5.455    
343 ;* 126 Tau                          ;** ;085.3238236496 +16.5341459164      ;    3.50 -15.47    ;5.13      ;21.90     ;4.836    
344 ;* 129 Tau                          ;*  ;086.6895701211200 +15.8224951298000;   5.277 -3.901    ;3.6417    ;17.50     ;5.994    
345 ;* 131 Tau                          ;** ;086.8048067983 +14.4883242822      ;    6.55 -41.17    ;9.60      ;21.0      ;5.721    
346 ;* 133 Tau                          ;V* ;086.9287809987600 +13.8995960938800;  4.960 -11.489    ;3.4599    ;26.20     ;5.29     
347 ;* ome Ori                          ;Be*;084.7964429883 +04.1214665208      ;      0.84 0.00    ;2.36      ;21.8      ;4.59     
348 ;* b Ori                            ;PM*;085.6193009569400 +01.4746293993900;-54.590 -14.371    ;10.6744   ;87.55     ;4.90     
349 ;* sig Ori                          ;Y*O;084.6865224285500 -02.6000786610800;       4.6 -0.4    ;3.04      ;29.90     ;3.79     
350 ;* zet Ori                          ;** ;085.18969443 -01.94257359          ;      3.19 2.03    ;4.43      ;18.50     ;1.77     
351 ;* kap Ori                          ;s*b;086.9391201683 -09.6696049186      ;     1.46 -1.28    ;5.04      ;20.5      ;2.06     
352 ;* zet Lep                          ;*  ;086.7389206612 -14.8219499842      ;   -14.54 -1.07    ;46.28     ;24.70     ;3.525    
353 ;* 12 Lep                           ;*  ;085.5581615811000 -22.3737140252800;    0.726 9.448    ;4.3208    ;26.80     ;5.89     
354 ;* nu.02 Col                        ;PM*;084.4359067898300 -28.6896902526100; -37.777 42.393    ;24.0801   ;37.10     ;5.31     
355 ;* mu. Col                          ;V* ;086.4995625995600 -32.3064339616100;  3.271 -22.176    ;1.7024    ;109.00    ;5.18     
356 ;* alf Col                          ;Be*;084.9122542996 -34.0741097197      ;    1.58 -24.82    ;12.48     ;35.00     ;2.65     
357 ;* nu. Aur                          ;*  ;087.8723727421000 +39.1485239126500;    7.958 0.713    ;16.1414   ;9.92      ;3.950    
358 ;* ups Aur                          ;PM*;087.7601553690100 +37.3055696949700; 36.426 -45.606    ;5.7358    ;37.67     ;4.74     
359 ;* tet Aur                          ;a2*;089.93029218 +37.21258463          ;   43.63 -73.79    ;19.70     ;29.30     ;2.62     
360 ;* 139 Tau                          ;Em*;089.4985680050 +25.9539110664      ;    -2.06 -1.95    ;2.10      ;8.00      ;4.82     
361 ;* 132 Tau                          ;** ;087.2540456243800 +24.5674607511900;-13.211 -13.716    ;6.3528    ;15.80     ;4.873    
362 ;* 57 Ori                           ;SB*;088.7361953623500 +19.7496179153700;  -0.726 -5.700    ;1.6307    ;7.2       ;5.894    
363 ;* 135 Tau                          ;*  ;087.6204516715500 +14.3056071117000;  8.707 -37.686    ;11.5734   ;44.80     ;5.52     
364 ;* 134 Tau                          ;*  ;087.3872072596 +12.6513217281      ;  -22.98 -18.22    ;13.11     ;20.50     ;4.875    
365 ;* alf Ori                          ;s*r;088.79293899 +07.40706400          ;    27.54 11.30    ;6.55      ;21.91     ;0.42     
366 ;* 56 Ori                           ;V* ;088.1101607375500 +01.8551378642800;  -6.890 -7.973    ;2.5424    ;11.27     ;4.750    
367 ;* 59 Ori                           ;dS*;089.6018459132900 +01.8371083815900;   7.208 -7.999    ;9.3752    ;45.30     ;5.886    
368 ;* 60 Ori                           ;*  ;089.7065613467600 +00.5529823367400;  -15.428 2.156    ;6.0104    ;35.00     ;5.200    
369 ;* 55 Ori                           ;V* ;087.8415984805100 -07.5180030307500;   0.040 -0.663    ;3.1605    ;12.60     ;5.341    
370 ;* 2 Mon                            ;SB*;089.7679722026200 -09.5582527790400;  9.575 -46.120    ;11.2998   ;19.70     ;5.029    
371 ;* del Lep                          ;PM*;087.8304001160367 -20.8790918488403;229.027 -647.930   ;28.4234   ;101.76    ;3.85     
372 ;* sig Col                          ;*  ;089.0872634445100 -31.3824389207500;    0.692 6.510    ;2.2952    ;19.4      ;5.51     
373 ;* lam Col                          ;El*;088.2786734394400 -33.8013632178600;  -4.095 31.125    ;9.466     ;30.0      ;4.87     
374 ;* bet Col                          ;PM*;087.7399674962 -35.7683097808      ;   54.77 404.20    ;37.41     ;89.40     ;3.12     
375 ;* gam Col                          ;Pu*;089.3842065700 -35.2832820211      ;    -3.24 10.21    ;3.75      ;24.20     ;4.36     
376 ;* ksi Col                          ;*  ;088.8746450870400 -37.1206831582200; 34.590 -14.688    ;10.1427   ;59.5      ;4.961    
377 ;* eta Col                          ;*  ;089.7866883054 -42.8151339389      ;   18.39 -10.87    ;6.91      ;17.00     ;3.96     
378 ;* 40 Aur                           ;SB*;091.6462396752700 +38.4826467923700;  9.452 -54.087    ;9.1085    ;16.90     ;5.345    
379 ;* 3 Gem                            ;s*b;092.4332720622600 +23.1134645056800;  -0.064 -2.685    ;0.3878    ;16.00     ;5.75     
380 ;* 1 Gem                            ;SB*;091.03006433 +23.26334447          ;  -1.61 -118.33    ;21.03     ;22.39     ;4.15     
381 ;* 64 Ori                           ;SB*;090.8640164246600 +19.6905628225500;  8.132 -19.675    ;3.8145    ;12.61     ;5.130    
382 ;* chi02 Ori                        ;s*b;090.9799348776800 +20.1384522614900;   0.962 -2.500    ;0.7636    ;16.8      ;4.63     
383 ;* nu. Ori                          ;SB*;091.8930244829 +14.7684739156      ;    6.78 -20.23    ;6.32      ;24.1      ;4.397    
384 ;* 63 Ori                           ;*  ;091.2424288330600 +05.4199669627300;  -8.243 -0.655    ;3.6471    ;24.92     ;5.658    
385 ;* 66 Ori                           ;SB*;091.2431621357800 +04.1586624615400;   1.690 -3.003    ;2.134     ;25.02     ;5.621    
386 ;* 3 Mon                            ;*  ;090.4600913435200 -10.5979308673600;   -6.278 4.016    ;3.4868    ;39.00     ;5.01     
387 ;* tet Lep                          ;*  ;091.5388494706400 -14.9352553871600; -17.005 13.152    ;19.4991   ;32.00     ;4.663    
388 ;* 17 Lep                           ;Sy*;091.2463727172200 -16.4844358996200;  -5.955 -3.680    ;3.5742    ;15.10     ;4.93     
389 ;* 19 Lep                           ;PM*;091.9234922694200 -19.1658665529700;  12.492 56.996    ;4.5821    ;29.4      ;5.279    
390 ;* 72 Col                           ;** ;091.0844385836400 -32.1724291454400;-16.439 121.584    ;3.4702    ;93.00     ;5.631    
391 ;* tet Col                          ;*  ;091.8818034342700 -37.2529192305000;    0.391 0.121    ;4.1731    ;45.30     ;4.994    
392 ;* pi.02 Col                        ;** ;091.9702480064100 -42.1540411907800;-10.221 -16.956    ;12.7569   ;31.00     ;5.492    
393 ;* kap Aur                          ;PM*;093.8445377567 +29.4980766786      ; -70.88 -261.42    ;18.43     ;21.09     ;4.35     
394 ;* 5 Gem                            ;PM*;092.8846063147800 +24.4202530867900;  0.373 -51.616    ;6.1988    ;11.93     ;5.825    
395 ;* eta Gem                          ;RG*;093.7193553605537 +22.5067873271708; -59.530 -7.766    ;4.7312    ;22.39     ;3.28     
396 ;* 68 Ori                           ;** ;093.0055891510400 +19.7905415313400;  1.583 -11.582    ;3.0859    ;30.9      ;5.749    
397 ;* f01 Ori                          ;Be*;093.0136647904 +16.1304059564      ;    5.49 -16.80    ;6.17      ;22.0      ;4.92     
398 ;* ksi Ori                          ;SB*;092.9849872129 +14.2087654294      ;    0.29 -20.12    ;5.37      ;19.30     ;4.48     
399 ;* f02 Ori                          ;*  ;093.8547015066600 +16.1431652841800;  -0.886 -9.240    ;7.758     ;23.80     ;5.327    
400 ;* 73 Ori                           ;*  ;093.9373521144600 +12.5510702737400;  -1.512 -1.430    ;2.343     ;12.90     ;5.467    
401 ;* l Ori                            ;** ;094.2775828336300 +09.9423930525800;  7.773 -60.906    ;12.1166   ;14.50     ;5.386    
402 ;* 7 Mon                            ;SB*;094.9283334911900 -07.8229059182200;  -5.405 -1.416    ;2.6645    ;29.00     ;5.252    
403 ;* zet CMa                          ;Ce*;095.0783001658 -30.0633667339      ;      7.32 4.03    ;9.00      ;32.2      ;3.00     
404 ;* kap Col                          ;PM*;094.1380629987 -35.1405175028      ;    -0.28 87.94    ;17.87     ;23.70     ;4.37     
405 ;* mu. Gem                          ;LP*;095.74011193 +22.51358275          ;  56.39 -110.03    ;14.08     ;54.38     ;2.87     
406 ;* nu. Gem                          ;Be*;097.2407755592 +20.2121348956      ;   -6.82 -13.10    ;5.99      ;39.40     ;4.14     
407 ;* 13 Mon                           ;*  ;098.2259495923200 +07.3329696976200;  -1.698 -4.845    ;1.2159    ;11.80     ;4.50     
408 ;* eps Mon A                        ;*  ;095.9420225716300 +04.5928823613700;  -15.127 7.701    ;24.0777   ;13.10     ;4.398    
409 ;* 12 Mon                           ;V* ;098.0800162285700 +04.8559982737800;  -37.686 1.336    ;7.0553    ;19.91     ;5.830    
410 ;* 77 Ori                           ;*  ;096.8073378184900 +00.2992441992800;   2.306 -8.969    ;3.8856    ;32.05     ;5.186    
411 ;* 78 Ori                           ;*  ;096.8149635014200 -00.2760014224700;   1.625 -5.216    ;5.0387    ;38.8      ;5.538    
412 ;* 10 Mon                           ;bC*;096.9898693796 -04.7621535781      ;    -5.78 -2.86    ;3.00      ;25.30     ;5.041    
413 ;* bet Mon                          ;** ;097.20445711 -07.03305837          ;    -6.86 -2.76    ;4.82      ;17.20     ;3.74     
414 ;* bet Mon C                        ;Em*;097.2067206980900 -07.0346533471300;  -7.042 -3.342    ;4.7504    ;23.0      ;5.32     
415 ;* bet Mon B                        ;*  ;097.2059275162871 -07.0344002237272;  -7.761 -2.267    ;4.8943    ;18.0      ;5.00     
416 ;* bet CMa                          ;bC*;095.6749389696 -17.9559187089      ;    -3.23 -0.78    ;6.62      ;33.70     ;1.97     
417 ;* ksi01 CMa                        ;bC*;097.9640264908 -23.4184216917      ;     -2.91 6.22    ;2.36      ;26.90     ;4.33     
418 ;* lam CMa                          ;*  ;097.0425311337 -32.5800681911      ;   -14.41 25.21    ;7.70      ;41.00     ;4.48     
419 ;* psi02 Aur                        ;PM*;099.8326134822500 +42.4888765763000; -0.576 -55.657    ;8.0927    ;16.29     ;4.82     
420 ;* psi03 Aur                        ;*  ;099.7049183307700 +39.9025595276900; -7.718 -11.191    ;3.6617    ;9.00      ;5.331    
421 ;* 51 Aur                           ;PM*;099.6647366193000 +39.3908511211700;-22.853 -108.763   ;6.9702    ;31.98     ;5.69     
422 ;* 49 Aur                           ;*  ;098.8002590172700 +28.0223108039300;  0.292 -13.521    ;7.4302    ;17.0      ;5.260    
423 ;* 53 Aur                           ;** ;099.5958772159500 +28.9843375377400;-16.783 -13.864    ;8.2744    ;18        ;5.744    
424 ;* 28 Gem                           ;V* ;101.1894157911100 +28.9709389815200; -8.358 -27.667    ;5.5428    ;14.87     ;5.44     
425 ;* eps Gem                          ;V* ;100.9830260792 +25.1311254122      ;   -5.57 -12.36    ;3.86      ;7.77      ;2.98     
426 ;* 26 Gem                           ;PM*;100.6013634121 +17.6453088431      ;    7.87 -84.32    ;22.92     ;15.00     ;5.21     
427 ;* 30 Gem                           ;PM*;100.9970297819400 +13.2279999015900; -0.452 -52.279    ;10.3816   ;12.61     ;4.49     
428 ;* 15 Mon                           ;Be*;100.24441512 +09.89575637          ;    -2.61 -1.61    ;3.55      ;22.00     ;4.640    
429 ;* nu.01 CMa                        ;*  ;099.0952176772600 -18.6599039851400; -13.463 18.621    ;11.5857   ;26.13     ;5.695    
430 ;* nu.02 CMa                        ;PM*;099.1709898983 -19.2558794181      ;   62.57 -69.97    ;50.63     ;2.57      ;3.91     
431 ;* ksi02 CMa                        ;*  ;098.7641148024600 -22.9647954166900;  16.316 16.885    ;8.0342    ;26.00     ;4.50     
432 ;* 10 CMa                           ;Be*;101.1186129347900 -31.0705256549500;   -3.286 4.201    ;1.6454    ;34.00     ;5.17     
433 ;* nu. Pup                          ;Ce*;099.4402973029 -43.1959333808      ;    -0.44 -3.87    ;8.78      ;30.90     ;3.17     
434 ;* psi07 Aur                        ;PM*;102.6914303395700 +41.7812305477500;-25.542 -137.253   ;9.6073    ;59.50     ;4.975    
435 ;* tet Gem                          ;PM*;103.1972452958 +33.9612548506      ;   -1.66 -47.31    ;17.25     ;21.00     ;3.60     
436 ;* 87 Gem                           ;*  ;102.9999423846300 +23.6017219895700; -39.651 -8.859    ;7.2748    ;33.29     ;5.671    
437 ;* d Gem                            ;*  ;102.8876932620800 +21.7611452911700; -5.719 -35.781    ;7.6158    ;34.4      ;5.259    
438 ;* 33 Gem                           ;Ro*;102.4576509908600 +16.2028840855600;-15.993 -10.899    ;4.8578    ;12.40     ;5.87     
439 ;* ksi Gem                          ;PM*;101.3223513354 +12.8955919797      ;-115.73 -190.55    ;55.56     ;27.20     ;3.36     
440 ;* 35 Gem                           ;*  ;102.6062443902500 +13.4131787178100;  -2.200 -6.421    ;2.702     ;28.91     ;5.672    
441 ;* e Gem                            ;PM*;103.6609922819879 +13.1778453179544; 68.745 -86.832    ;33.9184   ;24        ;4.715    
442 ;* 16 Mon                           ;SB*;101.6350604959800 +08.5871576072600;  -6.953 -5.179    ;3.3288    ;10.3      ;5.92     
443 ;* 17 Mon                           ;*  ;101.8326257118700 +08.0372563528400;-24.428 -11.916    ;6.3783    ;46.19     ;4.77     
444 ;* 18 Mon                           ;SB*;101.9651995234800 +02.4121763919800;-17.309 -15.921    ;8.2744    ;11.29     ;4.47     
445 ;* tet CMa                          ;PM*;103.5474952553600 -12.0386281010500;-136.654 -14.322   ;12.0676   ;96.20     ;4.08     
446 ;* 11 CMa                           ;*  ;101.7128846556200 -14.4259754830300;   -2.462 8.996    ;3.6298    ;15.00     ;5.272    
447 ;* iot CMa                          ;bC*;104.0342671942 -17.0542409633      ;     -3.56 2.42    ;1.30      ;41.20     ;4.385    
448 ;* pi. CMa                          ;PM*;103.9059601613300 -20.1364969045300;  51.109 39.971    ;33.5731   ;8.0       ;4.664    
449 ;* 15 CMa                           ;bC*;103.3871132796 -20.2242549208      ;     -5.46 3.58    ;2.68      ;28.00     ;4.83     
450 ;* omi01 CMa                        ;s*r;103.5331344588300 -24.1842109726400;   -3.771 4.066    ;1.2869    ;36.3      ;3.87     
451 ;* kap CMa                          ;Be*;102.4602471929 -32.5084784672      ;     -8.84 3.73    ;4.95      ;14.00     ;3.89     
452 ;* x Pup                            ;*  ;101.8391636721200 -37.9296972274800;  -9.822 -9.990    ;10.1629   ;47.00     ;5.260    
453 ;* zet Gem                          ;cC*;106.0272116263 +20.5702982975      ;    -7.29 -0.41    ;2.37      ;2.80      ;3.79     
454 ;* 41 Gem                           ;V* ;105.0659307184000 +16.0789958852800;  -2.203 -3.776    ;0.7209    ;20.96     ;5.69     
455 ;* 19 Mon                           ;bC*;105.7282361350 -04.2392326886      ;     -5.05 2.24    ;2.68      ;24.8      ;5.00     
456 ;* gam CMa                          ;*  ;105.9395543688 -15.6332861031      ;   -0.14 -11.36    ;7.38      ;32.00     ;4.12     
457 ;* omi02 CMa                        ;s*b;105.7561338125 -23.8332923078      ;     -2.21 3.61    ;1.18      ;48.40     ;3.02     
458 ;* eps CMa                          ;*  ;104.65645315 -28.97208616          ;      3.24 1.33    ;8.05      ;27.30     ;1.50     
459 ;* sig CMa                          ;LP*;105.4297824358 -27.9348304928      ;     -5.98 4.59    ;2.91      ;22.11     ;3.47     
460 ;* t Pup                            ;** ;104.6045369749200 -34.1116901177400;  -10.659 0.710    ;5.5437    ;19.20     ;5.068    
461 ;* D Pup                            ;*  ;106.7794907127300 -40.8932695092500; -10.554 11.163    ;4.5288    ;6.00      ;5.783    
462 ;* C Pup                            ;** ;106.0116419400 -42.3372795719      ;   -17.46 71.63    ;9.36      ;27.9      ;5.191    
463 ;* tau Gem                          ;PM*;107.7848763073704 +30.2451637698539;-30.725 -48.515    ;8.3261    ;21.27     ;4.42     
464 ;* 53 Gem                           ;V* ;108.9881963553000 +27.8974209771400; -12.384 -1.967    ;4.0783    ;25.11     ;5.71     
465 ;* 47 Gem                           ;*  ;107.8461138496900 +26.8565889947600;-19.210 -33.061    ;8.7883    ;38.50     ;5.750    
466 ;* 52 Gem                           ;PM*;108.6749094305500 +24.8849842946300; 52.508 -89.655    ;8.2499    ;42.14     ;5.82     
467 ;* 48 Gem                           ;*  ;108.1099009340600 +24.1285938894900;-17.952 -45.679    ;9.2055    ;13.0      ;5.85     
468 ;* del Mon                          ;*  ;107.9660865800 -00.4927696736      ;      0.79 4.52    ;8.49      ;15.00     ;4.15     
469 ;* 21 Mon                           ;dS*;107.8483994053700 -00.3019292046800; -26.764 -9.813    ;11.432    ;34.50     ;5.428    
470 ;* 20 Mon                           ;PM*;107.5570062610300 -04.2371069597900; -0.460 217.452    ;16.811    ;77.750    ;4.92     
471 ;* 145 CMa                          ;*  ;109.1534773210400 -23.3155939638500;   -3.816 3.896    ;1.2155    ;28.05     ;4.79     
472 ;* del CMa                          ;s*y;107.0978502142 -26.3931995789      ;     -3.12 3.31    ;2.03      ;33.67     ;1.84     
473 ;* 26 CMa                           ;Pu*;108.0508946189400 -25.9425878007600;   -5.568 9.286    ;3.5923    ;21.6      ;5.897    
474 ;* ome CMa                          ;Be*;108.7027244433 -26.7726693650      ;    -11.88 6.87    ;3.58      ;23.20     ;3.82     
475 ;* 29 CMa                           ;SB*;109.6682455640400 -24.5586995134800;   -2.865 3.678    ;0.8549    ;20.00     ;4.95     
476 ;* tau CMa                          ;SB*;109.6770267463 -24.9543725831      ;     -2.31 5.02    ;1.09      ;49.40     ;4.40     
477 ;* 27 CMa                           ;Be*;108.5633829896 -26.3525086683      ;     -6.91 3.17    ;1.88      ;16.30     ;4.65     
478 ;* ups01 Pup                        ;Be*;109.5766389554 -36.7339535894      ;    -10.25 5.82    ;4.06      ;18.6      ;4.67     
479 ;* ups02 Pup                        ;Be*;109.6591058146800 -36.7427374811400;  -10.172 6.621    ;2.9923    ;18.00     ;5.11     
480 ;* pi. Pup                          ;LP*;109.28565325 -37.09747115          ;    -10.05 6.47    ;4.04      ;15.80     ;2.70     
481 ;* A Pup                            ;Ce*;107.2127844325 -39.6556549856      ;    -10.69 7.71    ;4.48      ;19.5      ;4.83     
482 ;* F Pup                            ;*  ;109.6396354728900 -39.2102841972200;   -9.529 9.565    ;7.3579    ;34.90     ;5.243    
483 ;* 66 Aur                           ;*  ;111.0352814953800 +40.6723888559700; -4.081 -21.023    ;3.2175    ;22.62     ;5.188    
484 ;* 65 Aur                           ;PM*;110.5109066819800 +36.7605836024500;-97.064 -22.733    ;12.6451   ;22.14     ;5.120    
485 ;* 64 Gem                           ;PM*;112.3351701736200 +28.1182762995100;-33.931 -52.782    ;18.5038   ;35.4      ;5.064    
486 ;* b Gem                            ;SB*;112.4531745852000 +27.9161203620500;-29.312 -21.779    ;7.718     ;35.30     ;5.010    
487 ;* iot Gem                          ;** ;111.4316471500 +27.7980813469      ; -122.66 -84.03    ;27.10     ;7.432     ;3.79     
488 ;* 57 Gem                           ;PM*;110.8687970761500 +25.0505312834400;-66.676 -29.082    ;18.1774   ;5.46      ;5.022    
489 ;* del Gem                          ;SB*;110.0307490954 +21.9823160392      ;   -15.13 -9.79    ;53.94     ;4.1       ;3.53     
490 ;* 56 Gem                           ;PM*;110.4869241276400 +20.4436581324800;-60.474 -23.693    ;7.6812    ;4.80      ;5.080    
491 ;* 61 Gem                           ;** ;111.7347018405100 +20.2575547719200;   2.113 -8.169    ;7.4357    ;9.00      ;5.935    
492 ;* gam CMi                          ;SB*;112.0408095289700 +08.9255244800600; -62.112 11.141    ;3.134     ;46.80     ;4.30     
493 ;* bet CMi                          ;Be*;111.7876739054 +08.2893157625      ;  -51.76 -38.29    ;20.17     ;22.00     ;2.89     
494 ;* eta CMi                          ;*  ;112.0086451902400 +06.9419706076400; -3.109 -43.633    ;10.2172   ;17.20     ;5.22     
495 ;* eta CMa                          ;s*b;111.02375950 -29.30310551          ;     -4.14 5.81    ;1.64      ;41.1      ;2.45     
496 ;* y Pup                            ;XB*;112.2737299804200 -38.8120673219900; -19.836 15.281    ;5.0843    ;24.00     ;5.395    
497 ;* omi Gem                          ;PM*;114.7913944263900 +34.5843063308600;-37.975 -105.132   ;19.3338   ;7.30      ;4.90     
498 ;* alf Gem                          ;** ;113.64947164 +31.88828222          ;-191.45 -145.19    ;64.12     ;5.40      ;1.58     
499 ;* f Gem                            ;** ;114.8691390334500 +17.6745218379400;   5.374 -1.199    ;5.1083    ;25.38     ;5.05     
500 ;* 68 Gem                           ;** ;113.4020065796 +15.8266608119      ;  -28.64 -12.86    ;7.70      ;12.00     ;5.263    
501 ;* del03 CMi                        ;*  ;113.5662191797600 +03.3717243208000;  -2.534 -5.305    ;4.603     ;33.8      ;5.817    
502 ;* del01 CMi                        ;*  ;113.0247867805900 +01.9144796757500;  -2.129 -0.868    ;3.9896    ;29.1      ;5.233    
503 ;* 25 Mon                           ;dS*;114.3195459425700 -04.1109816312800; -67.624 16.998    ;15.7974   ;48.33     ;5.131    
504 ;* alf Mon                          ;PM*;115.3118023700 -09.5511308564      ;  -74.61 -19.59    ;22.07     ;11.161    ;3.93     
505 ;* 140 Pup                          ;*  ;115.0967101784401 -15.2639196417900; -2.171 -27.678    ;4.6915    ;0.50      ;4.951    
506 ;* m Pup                            ;EB*;114.5751892067 -25.3648060192      ;    -3.03 -7.42    ;5.27      ;41.00     ;4.67     
507 ;* k01 Pup                          ;*  ;114.7057297618600 -26.8017568161600; -18.556 11.081    ;9.0301    ;23.6      ;4.50     
508 ;* k02 Pup                          ;V* ;114.7077947219200 -26.8038471632100; -17.567 21.662    ;8.3058    ;33.0      ;4.429    
509 ;* p Pup                            ;PM*;113.8453817505200 -28.3693347863800; -60.256 -7.742    ;13.6185   ;3.30      ;4.63     
510 ;* f Pup                            ;** ;114.34212409 -34.96853080          ;   -14.21 16.32    ;9.05      ;24.00     ;4.53     
511 ;* e Pup                            ;*  ;114.6829109819700 -36.4968328243100;   -7.547 5.591    ;2.789     ;19.00     ;5.80     
512 ;* d04 Pup                          ;Be*;114.9916295618900 -37.5794242781100;  -0.830 -4.510    ;1.911     ;7.00      ;5.996    
513 ;* d02 Pup                          ;*  ;114.9325648736300 -38.1392981022000; -21.877 17.036    ;4.8969    ;30.00     ;5.77     
514 ;* d03 Pup                          ;*  ;114.9494788336400 -38.2606523283500;  -10.200 9.511    ;2.3923    ;22.6      ;5.747    
515 ;* d01 Pup                          ;*  ;114.8639097396 -38.3080218219      ;   -21.11 15.81    ;5.87      ;26.4      ;4.84     
516 ;* sig Gem                          ;RS*;115.8280290804 +28.8835117197      ;  62.66 -230.32    ;26.08     ;44.15     ;4.29     
517 ;* c Gem                            ;V* ;116.0288123786400 +25.7841601231000;-13.326 -20.079    ;5.0247    ;1.33      ;5.289    
518 ;* bet Gem                          ;PM*;116.32895777 +28.02619889          ; -626.55 -45.80    ;96.54     ;3.391     ;1.14     
519 ;* kap Gem                          ;** ;116.1118898717 +24.3979964519      ;  -23.39 -54.57    ;23.07     ;20.15     ;3.57     
520 ;* g Gem                            ;SB*;116.5310350776600 +18.5099981036000;-77.972 -51.680    ;10.5086   ;83.13     ;4.87     
521 ;* 11 CMi                           ;V* ;116.5675051476100 +10.7682517049600;-30.318 -25.278    ;10.8334   ;28.00     ;5.237    
522 ;* zet CMi                          ;*  ;117.9249530282500 +01.7668684614100; -13.704 -4.043    ;4.0023    ;32.3      ;5.16     
523 ;* 2 Pup A                          ;*  ;116.3713969974600 -14.6905347247800;-10.562 -20.237    ;11.7184   ;25.20     ;5.997    
524 ;* 10 Pup                           ;*  ;118.0786621361200 -14.8461779283300;   -7.120 0.329    ;1.4691    ;17.83     ;5.689    
525 ;* 6 Pup                            ;PM*;117.4216726086000 -17.2284084655600;54.538 -117.165    ;12.6942   ;48.79     ;5.162    
526 ;* 188 Pup                          ;** ;117.2569738557100 -24.9122471438500; -28.489 23.378    ;16.189    ;5.78      ;5.313    
527 ;* ksi Pup                          ;*  ;117.3235652742 -24.8597862414      ;    -4.81 -0.89    ;2.72      ;2.80      ;3.30     
528 ;* omi Pup                          ;Be*;117.0215349738 -25.9371700767      ;    -10.09 4.26    ;2.30      ;15.00     ;4.49     
529 ;* l Pup                            ;sg*;115.9519530092 -28.9548255597      ;     -5.09 3.90    ;0.59      ;20.90     ;3.93     
530 ;* 1 Pup                            ;V* ;115.8849445223200 -28.4108857483300; -13.782 29.646    ;4.1384    ;32.40     ;4.59     
531 ;* 171 Pup                          ;PM*;116.3955052258500 -34.1725515628678;-222.267 1707.696  ;65.4544   ;106.16    ;5.362    
532 ;* c Pup                            ;*  ;116.3137350671 -37.9685832797      ;    -10.18 6.34    ;2.88      ;16.83     ;3.61     
533 ;* W Pup                            ;PM*;115.9247042761400 -40.9337464496700;130.960 -170.919   ;14.7756   ;52.55     ;5.17     
534 ;* a Pup                            ;SB*;118.0542993801800 -40.5757817321400;  -11.774 7.368    ;8.9838    ;24.0      ;3.696    
535 ;* phi Gem                          ;*  ;118.3742006609200 +26.7657814063900;-27.843 -30.555    ;18.038    ;8.0       ;4.963    
536 ;* ome Cnc                          ;*  ;120.2328038871400 +25.3928373894400;   16.663 7.197    ;5.3076    ;1.9       ;5.853    
537 ;* 85 Gem                           ;*  ;118.9162268636600 +19.8839670081400;-15.114 -39.830    ;6.4022    ;10.50     ;5.365    
538 ;* 3 Cnc                            ;*  ;120.1971147966700 +17.3087005526200; -10.504 -3.489    ;4.0598    ;39.55     ;5.588    
539 ;* 1 Cnc                            ;PM*;119.2477193362500 +15.7902783028400;-26.731 -42.591    ;6.981     ;13.93     ;5.78     
540 ;* G CMi                            ;PM*;120.5664038383367 +02.3345719017650;-28.194 105.650    ;12.5234   ;71.57     ;4.38     
541 ;* 28 Mon                           ;Ro*;120.3055655842 -01.3926093036      ;   67.60 -76.26    ;7.25      ;26.70     ;4.680    
542 ;* j Pup                            ;*  ;119.2147458175 -22.8801205517      ;   -30.42 11.49    ;6.25      ;15.18     ;4.184    
543 ;* 12 Pup                           ;Pe*;119.7738126242700 -23.3103965337200;  -11.655 2.537    ;3.7378    ;12.11     ;5.11     
544 ;* chi Pup                          ;V* ;119.4171094421400 -30.3345712422800;   -8.220 6.546    ;1.7157    ;30.00     ;4.79     
545 ;* b Pup                            ;SB*;118.1610276042 -38.8628140186      ;     -8.92 3.34    ;5.03      ;29.50     ;4.474    
546 ;* 15 Cnc                           ;a2*;123.2869502501000 +29.6565379889100;-11.265 -19.506    ;4.672     ;18.1      ;5.605    
547 ;* mu.01 Cnc                        ;LP*;121.5766480598000 +22.6354876549000;  -5.831 -9.488    ;5.4293    ;29.61     ;5.99     
548 ;* 8 Cnc                            ;PM*;121.2687043022200 +13.1182165126500;-34.708 -62.992    ;15.8101   ;21.00     ;5.136    
549 ;* zet Mon                          ;*  ;122.1485276167 -02.9837877944      ;   -18.81 -4.50    ;3.08      ;31.20     ;4.33     
550 ;* 19 Pup                           ;** ;122.8179410425 -12.9269986597      ;    -25.79 8.09    ;18.46     ;35.78     ;4.72     
551 ;* 18 Pup                           ;PM*;122.6659400327100 -13.7992060929500;-250.947 58.202    ;44.3395   ;33.033    ;5.54     
552 ;* 20 Pup                           ;*  ;123.3331964883200 -15.7882246748900; -12.796 -3.749    ;3.1741    ;17.07     ;4.99     
553 ;* 16 Pup                           ;*  ;122.2568225383 -19.2450144608      ;    -9.87 -5.55    ;7.01      ;19.90     ;4.393    
554 ;* rho Pup                          ;dS*;121.8860367646 -24.3043244294      ;   -83.35 46.23    ;51.33     ;45.80     ;2.81     
