" coord1 (ICRS,J2000/2000)  "	        pm        	Mag V 
112.04080553 +08.92552968  	   -61.09 10.70   	4.3
190.37933367 -48.95987152  	   -185.72 5.79   	2.17
288.43953468 +39.14596669  	    -0.60 -1.26   	4.397
016.52099799 -46.71841069  	   -80.81 34.97   	3.3
247.55197974 -25.11522341  	   -4.45 -26.33   	4.79
189.5785778 -60.6089512    	            ~ ~   	0
189.8222893 -60.7855436    	            ~ ~   	0
125.628650 -59.509556      	     -25.3 22.7   	3.85
328.48219248 -37.36485527  	   98.07 -13.22   	3.01
341.51462908 -81.38161444  	    -54.49 1.16   	4.141
089.88180005 +54.28465841  	  81.81 -132.98   	3.72
257.594388 -15.725158      	          38 96   	2.463
141.82669899 -22.34377976  	 174.78 -148.99   	4.69
157.65658364 +55.98053678  	 -176.71 -33.21   	4.831
034.12744013 -51.51216542  	   91.03 -22.23   	3.57
056.80975258 -74.23896350  	   50.85 114.74   	3.26
119.21474582 -22.88012055  	   -30.42 11.49   	4.204
105.97336860 -49.58391692  	  -52.78 140.27   	4.933
337.207329 -00.020544      	         191 37   	4.49
199.73040494 -23.17151428  	   68.99 -41.85   	3
237.40502902 -03.43020438  	 -100.28 -25.99   	3.53
161.69241154 -49.42025679  	   63.22 -54.21   	2.69
330.82851679 -02.15536298  	   24.66 -11.16   	4.69
286.604737 -37.063456      	    87.7 -283.9   	4.53
305.16589842 -12.75907901  	   14.74 -14.32   	4.76
042.27257855 -32.40589774  	   86.01 158.81   	4.46
165.45697759 -02.48458352  	    9.76 -35.56   	4.75
246.02576935 -20.03732734  	  -20.29 -47.65   	4.5
095.07830017 -30.06336673  	      7.32 4.03   	3
138.90295391 -38.56994230  	  -70.78 -10.08   	4.94
131.09978141 -42.64927796  	   -23.29 18.71   	4.064
271.82649670 +08.73386545  	     8.28 29.45   	4.647
167.91453265 -22.82584981  	   2.52 -100.22   	4.461
237.18490319 +18.14156506  	  -51.88 -88.10   	4.09
214.85092581 -46.05809546  	   -12.56 -4.76   	3.536
250.322771 +31.601936      	            ~ ~   	2.879
144.96400602 -01.14280930  	   46.96 -62.39   	3.91
299.93407640 -35.27630692  	    5.60 -25.81   	4.37
315.32275197 -32.25776593  	     -1.73 0.41   	4.677
037.03976108 +08.46005575  	   41.80 -13.55   	4.3
301.84648329 -52.88079138  	    -12.98 7.50   	4.94
228.05537606 -19.79171090  	  -35.40 -32.79   	4.54
049.59210433 -22.51111641  	    13.08 13.33   	4.875
094.13806300 -35.14051751  	    -0.28 87.94   	4.37
057.14948851 -37.62015040  	    74.44 -9.09   	4.26
165.58239904 +20.17984070  	    -8.67 39.07   	4.407
081.90868360 +21.93696495  	     0.05 -7.06   	4.865
334.62539493 -60.25959064  	  -70.72 -39.44   	2.82
087.83040053 -20.87908977  	 229.49 -648.41   	3.85
103.66097826 +13.17783909  	   68.48 -72.98   	4.706
334.20848481 -07.78329112  	  118.80 -22.18   	4.16
288.88774452 +73.35546580  	 -115.29 103.23   	4.45
220.28729823 +13.72830463  	   51.95 -11.08   	3.793
195.06862589 +30.78501976  	   -22.49 -6.98   	4.88
233.78520145 -41.16675687  	  -15.62 -25.43   	2.765
198.56310589 -59.10323508  	-403.32	4.93
142.98641194 +11.29983148  	  -89.98 -81.85   	4.973
165.931663 +61.750872      	  -116.3 -100.6   	4.91
275.92454066 +21.76975183  	 195.79 -242.98   	3.84
318.95596633 +05.24784528  	   59.88 -94.09   	3.949
291.37458914 +03.11477947  	   254.54 82.51   	3.36
137.74202662 -58.96689367  	   -16.64 15.00   	3.4
332.53658532 -32.54840799  	   428.96 13.35   	4.92
200.14923904 -36.71229019  	 -341.11 -86.14   	2.73
281.09491902 +39.61271808  	     6.18 50.42   	4.59
284.68073808 -37.10735737  	-243.02	4.83
080.440612 -00.382464      	      1.23 1.13   	4.74
116.11188987 +24.39799645  	  -23.39 -54.57   	3.57
196.56960048 -48.46329055  	  -29.85 -15.17   	4.694
076.669292 +51.597728      	   -29.9 -174.7   	4.975
092.57461698 -54.96864262  	     -4.90 7.41   	4.81
333.46970616 +39.71492611  	    36.89 15.27   	4.49
056.50971197 +63.34504553  	    -1.46 -9.09   	4.817
104.31918859 +58.42276124  	   6.08 -122.83   	4.35
154.90312808 -55.02930619  	    -14.21 3.41   	4.578
187.52774990 +69.20112766  	  -61.59 -54.67   	4.95
297.69582730 +08.86832120  	  536.23 385.29   	0.76
215.77405750 -27.75401722  	-319.8	4.75
065.08839919 +27.35075025  	  -28.90 -78.28   	4.957
164.17938358 -37.13776532  	  76.14 -124.43   	4.6
226.2804 -47.0503          	            ~ ~   	4.63
144.20641683 -49.35502446  	  -130.55 42.98   	4.35
276.99266967 -25.42169850  	 -44.76 -185.66   	2.81
326.035788 +28.742606      	   277.4 -251.1   	4.51
296.59057965 -19.76111479  	 -129.40 -90.55   	4.887
294.22270632 -07.02747710  	     1.63 -2.65   	4.96
353.76901737 -42.61507525  	    42.31 10.67   	4.71
142.674871 -40.466714      	    -191.4 73.2   	3.91
233.700592 +10.538622      	      -75.2 9.0   	3.8
118.05429886 -40.57578661  	    -18.00 5.01   	3.721
083.40632205 -62.48982477  	     0.79 12.74   	3.76
346.97439069 +75.38749863  	    6.81 -34.06   	4.41
085.189696 -01.942572      	        4.0 2.5   	1.88
183.78631969 -58.74892693  	  -35.81 -10.36   	2.775
245.52426628 +30.89199548  	  -97.43 107.45   	4.857
169.545625 +31.529372      	  -453.7 -591.4   	4.729
170.25169229 -54.49101816  	   -35.85 -1.72   	3.9
215.13930120 -37.88529310  	  -63.69 -10.65   	4.049
270.01423359 +16.75091942  	   -7.51 -10.46   	4.67
030.489321 +70.907064      	      -63.5 9.2   	4.63
275.26409395 +72.73284772  	 531.21 -349.71   	3.58
292.68033548 +27.95968007  	    -7.17 -6.15   	3.085
123.05296 +17.64814        	  27.61 -151.73   	4.67
125.62848024 -59.50948419  	   -25.52 22.06   	1.953
202.76106915 -39.40730528  	  -15.67 -10.49   	3.88
107.09785021 -26.39319957  	     -3.12 3.31   	1.84
189.5761216 -60.7162439    	            ~ ~   	0
337.29277091 +58.41519830  	     15.35 3.52   	3.75
298.82830234 +06.40676180  	  45.27 -481.91   	3.71
195.54415770 +10.95915040  	  -273.80 19.96   	2.79
049.98187889 -43.06978264  	 3038.34 726.58   	4.27
355.99785668 +29.36145394  	   71.10 -40.58   	4.941
188.01761054 -16.19600458  	 -425.17 -57.23   	4.31
184.12557286 +33.06152778  	 -53.69 -111.22   	4.94
354.83688137 +77.63227434  	  -47.96 126.59   	3.22
230.67028441 -44.68961517  	  -22.86 -18.87   	3.367
247.11726510 -70.08440053  	  199.97 110.97   	4.91
109.15347596 -23.31559438  	     -4.28 2.83   	4.79
156.03269192 +65.56642332  	   -9.04 -20.68   	4.935
256.34454255 +12.74082488  	   50.18 -12.23   	4.882
073.72386986 +10.15083201  	  41.49 -128.73   	4.656
239.39688111 +26.87787876  	  -77.07 -60.61   	4.13
350.74260858 -20.10058231  	 -121.28 -97.59   	3.98
233.784913 -41.166767      	    -28.2 -42.0   	3.48
176.99639979 +20.21893056  	  -145.49 -4.34   	4.537
220.18150 +16.41831        	            ~ ~   	4.9
160.73917486 -64.39445022  	   -18.36 12.03   	2.76
072.46004544 +06.96127453  	   464.06 11.21   	3.19
069.54510358 -14.30401665  	 -76.59 -176.78   	3.87
166.63511586 -62.42411356  	    -36.93 9.46   	4.617
044.568367 -40.304678      	     -17.2 -6.0   	4.3
040.16681253 -39.85537615  	  135.92 -27.53   	4.124
152.09296244 +11.96720878  	   -248.73 5.59   	1.4
235.48666075 -19.67882626  	 -32.06 -103.15   	4.72
186.73446698 +28.26842252  	  -83.95 -81.13   	4.34
356.50852762 +46.42027190  	     9.07 -7.83   	4.982
032.38594634 +34.98729706  	  149.16 -39.10   	3
355.44085877 -17.81653084  	     14.18 0.94   	4.83
289.09206197 +38.13372873  	     -0.80 0.36   	4.38
333.75914709 +57.04357698  	   481.53 46.04   	4.19
044.10687285 -08.89814503  	  77.36 -220.16   	3.87
151.984529 -00.371653      	   -25.83 -4.25   	4.49
203.53304940 +03.65896495  	   45.51 -24.70   	4.94
229.633450 -47.875292      	    -23.3 -41.4   	4.945
066.02399939 +17.44412732  	  108.16 -34.66   	4.8
255.26501106 -04.22264398  	  -39.13 -78.09   	4.827
041.04994601 +49.22844754  	  334.66 -89.99   	4.11
220.287342 +13.728275      	     66.3 -20.6   	4.547
123.33319811 -15.78822279  	   -12.41 -3.35   	4.99
298.90744260 +52.43894767  	  -37.62 -31.13   	4.92
078.07459127 -11.86921841  	   24.39 -31.02   	4.45
250.22966219 +64.58904460  	   -0.30 -16.81   	4.848
244.93515275 +46.31336453  	   -13.33 38.48   	3.9
307.51475482 +48.95156794  	     10.63 7.22   	4.938
220.91433175 -35.17365518  	 -61.46 -176.84   	4.05
036.40593130 +50.27862903  	   24.66 -15.13   	4.734
263.40216718 -37.10382355  	   -8.53 -30.80   	1.62
020.02048760 +58.23161232  	    -0.59 -1.59   	4.98
052.34448849 -62.93752754  	  382.84 373.05   	4.71
146.77550706 -65.07200742  	    -11.51 4.71   	2.96
229.37854232 -58.80120481  	 -97.74 -134.15   	4.069
085.18969443 -01.94257359  	      3.19 2.03   	1.79
189.6930745 -60.7010267    	            ~ ~   	0
091.89302448 +14.76847392  	    6.78 -20.23   	4.403
117.30956400 -46.37320617  	     -4.37 8.66   	4.11
345.94357275 +28.08278712  	  187.65 136.93   	2.42
085.32382365 +16.53414592  	    3.50 -15.47   	4.832
082.99633 +30.44583        	            ~ ~   	4.1
331.52869035 -39.54335163  	 -23.80 -124.58   	4.476
103.54749486 -12.03862984  	 -137.26 -15.37   	4.08
030.97480121 +42.32972842  	   42.32 -49.30   	2.1
139.04719935 +54.02185773  	    49.43 59.92   	4.832
245.48006002 +19.15312827  	   -47.39 43.81   	3.76
149.21559031 -54.56778862  	    -13.08 3.55   	3.45
212.21219393 +77.54751294  	   -30.45 32.85   	4.813
353.48828297 +31.32527939  	   50.81 -17.46   	4.993
193.50728997 +55.95982296  	   111.91 -8.24   	1.77
265.62198000 -39.02998308  	   -6.05 -25.54   	2.375
217.04344327 -29.49163566  	  -25.23 -23.03   	4.972
332.45179261 +72.34120582  	     32.85 2.68   	4.801
087.76015518 +37.30557126  	   36.85 -45.52   	4.74
073.22362480 -05.45269367  	   -17.86 25.57   	4.4
122.25682254 -19.24501446  	    -9.87 -5.55   	4.39
320.19016248 -40.80945866  	    71.92 20.38   	4.82
165.03860098 -42.22585900  	     23.28 4.29   	4.39
058.57292417 -02.95473430  	    26.00 -0.23   	4.45
173.06835030 -29.26102134  	  -19.56 144.79   	4.99
081.57297133 +28.60745172  	  22.76 -173.58   	1.65
124.12883753 +09.18554387  	  -46.82 -49.24   	3.52
189.5972889 -60.7066755    	            ~ ~   	0
246.79598379 -47.55478404  	  -13.68 -19.89   	4.525
190.379229 -48.959578      	   -193.6 -11.6   	2.88
286.35253340 +13.86347728  	   -7.25 -95.56   	2.99
320.56164853 -16.83454438  	     30.00 4.52   	4.27
233.785163 -41.166792      	    -28.2 -42.0   	3.45
290.16705555 +65.71453042  	    15.09 41.12   	4.59
146.05039632 -27.76947252  	   -53.23 37.24   	4.79
126.41513338 -03.90642162  	  -66.43 -23.41   	3.9
230.84434558 -59.32078142  	  -12.97 -34.24   	4.51
325.66461291 -18.86632413  	   145.85 -9.50   	4.738
100.244400 +09.895753      	      -9.6 -3.3   	4.683
066.372450 +17.927908      	    116.9 -33.5   	4.25
309.18180337 -02.54995563  	    9.84 -15.40   	4.903
090.01395724 -03.07425545  	    7.21 -73.42   	4.52
332.10804717 -34.04384022  	    4.55 -49.02   	4.99
155.22831614 -56.04322061  	    -18.30 1.47   	4.5
345.48026914 +42.32598150  	     22.99 0.88   	3.62
189.6074091 -60.6781201    	            ~ ~   	0
343.98708443 -32.53962041  	    11.98 33.64   	4.226
200.65806718 -60.98839383  	  -36.31 -15.50   	4.505
087.29349273 +39.18107297  	  -28.30 -24.97   	4.5
303.86801203 +47.71421137  	      5.30 2.33   	3.98
275.80676971 -61.49391035  	     3.17 -2.21   	4.379
163.32793697 +34.21487153  	  92.02 -285.82   	3.83
290.43176182 -15.95501735  	     1.34 -6.25   	4.61
070.56125671 +22.95692260  	   -2.89 -21.86   	4.264
028.382367 +19.294078      	        80 -104   	4.52
170.98105304 +10.52950540  	  141.45 -79.14   	4
216.29915428 +51.85074358  	-634.47	4.05
022.09136362 -43.31823616  	 -18.06 -208.63   	3.41
220.85567936 +26.52785176  	  -13.57 -16.08   	4.79
341.67325490 +12.17288485  	 234.18 -493.29   	4.2
236.01466214 +77.79449412  	    19.91 -1.99   	4.283
189.7857048 -60.7878231    	            ~ ~   	0
132.10821073 +05.83781343  	  -17.33 -29.41   	4.343
206.88515734 +49.31326673  	 -121.17 -14.91   	1.86
231.23239428 +58.96606512  	    -8.36 17.08   	3.29
081.119238 -02.397136      	            ~ ~   	3.594
359.75224248 +55.75492861  	     8.14 -5.01   	4.997
225.52711895 +25.00813898  	   -5.65 -48.34   	4.81
294.18031692 -01.28660030  	   -0.87 -20.39   	4.36
228.87567897 +33.31483127  	  84.74 -111.58   	3.49
283.05430944 -62.18759233  	   -1.86 -13.02   	4.207
193.66326073 -59.14670080  	  -32.92 -14.60   	4.602
241.092283 -11.373050      	    -71.5 -34.5   	4.87
329.16309937 +63.62556040  	    -0.25 -2.56   	4.9
064.12095506 -59.30215594  	 -47.53 -167.58   	4.44
063.81799845 -07.65287232  	-5660.39	4.43
260.92060050 +37.14594278  	    -39.38 7.71   	4.56
001.33392469 -05.70761886  	    -6.54 87.85   	4.61
271.36368827 +02.50009883  	 124.16 -962.82   	4.03
351.20942656 +62.28280815  	   12.29 -12.44   	4.98
006.43779316 -77.25424612  	 2219.54 324.09   	2.79
017.09617291 -55.24575803  	    20.87 30.64   	3.967
296.84692720 +18.53428891  	    -4.31 12.35   	3.82
098.74408304 -52.97560885  	    -7.65 10.54   	4.4
247.55499811 +21.48961132  	  -99.15 -15.39   	2.77
177.67382599 +01.76471973  	 740.23 -270.43   	3.6
055.73126774 +47.78754851  	   25.58 -43.06   	3.01
014.65149710 -29.35745131  	     20.13 5.31   	4.27
114.707788 -26.803833      	     -19.4 24.1   	4.429
083.784487 +09.934156      	      -2.1 -2.9   	3.47
101.83262629 +08.03725428  	  -23.80 -11.76   	4.77
101.55887578 +59.44167297  	   -19.63 -7.23   	4.87
103.90596244 -20.13649729  	    51.50 39.58   	4.687
219.900850 -60.835619      	      -3608 686   	-0.1
153.43423914 -70.03790453  	    -36.01 7.09   	3.33
028.27044623 +29.57882780  	  10.82 -234.24   	3.42
295.02413275 +18.01389059  	   15.09 -19.65   	4.38
261.65783725 -05.08659722  	  -92.50 -43.29   	4.54
082.69604545 +05.94813679  	    5.10 -33.30   	4.2
042.61859141 -75.06694740  	  -33.01 -27.30   	4.754
159.82663809 -55.60326732  	    -18.80 4.85   	4.287
299.07655092 +35.08342299  	  -33.61 -27.87   	3.88
018.43250 +07.57550        	            ~ ~   	4.86
217.05057892 -02.22796054  	  -139.53 -4.04   	4.844
188.71283575 +22.62925841  	   -58.89 28.31   	4.786
214.09591165 +46.08830570  	 -187.33 159.05   	4.18
189.8382168 -60.7869234    	            ~ ~   	0
102.46380893 -53.62244949  	    -1.99 17.58   	4.418
165.18667257 +06.10144702  	  -52.73 -23.23   	4.996
216.88143063 +75.69599213  	     8.79 21.76   	4.253
335.25644694 +46.53656835  	     22.35 1.45   	4.551
196.72766415 -49.90624509  	  -26.15 -12.03   	4.27
035.43726193 -68.65941772  	    -49.95 2.48   	4.09
343.13139638 -32.87550164  	  -32.73 -21.21   	4.501
170.251688 -54.491022      	     -39.6 -2.7   	4.08
052.26721649 +59.94033249  	    -2.24 -0.90   	4.22
351.73314942 +01.25560833  	   86.68 -94.29   	4.94
137.72943972 +63.51362647  	  102.37 -63.55   	4.648
189.5777701 -60.5729770    	            ~ ~   	0
294.84419128 +30.15332234  	     2.48 36.50   	4.685
011.04750052 -10.60955046  	  -8.96 -113.82   	4.775
325.02273533 -16.66230756  	  187.56 -22.45   	3.67
224.63302235 -43.13396385  	  -35.78 -39.83   	2.68
189.8967073 -60.7928726    	            ~ ~   	0
340.12857837 +44.27630673  	    93.83 10.71   	4.46
099.65680783 -48.22018526  	     1.60 19.01   	4.92
087.38720726 +12.65132173  	  -22.98 -18.22   	4.877
063.72442720 +48.40933088  	    5.52 -17.37   	4.16
311.852196 +36.490739      	            ~ ~   	4.76
179.90656808 -78.22183830  	   -40.34 -8.30   	4.898
140.26375310 +34.39256237  	  -223.63 15.18   	3.14
323.69401601 +38.53405692  	   115.81 94.73   	4.91
281.75530819 +18.18151841  	   84.08 118.80   	4.36
270.06582603 +04.36861564  	    1.23 -12.73   	4.6
276.04299335 -34.38461649  	 -39.42 -124.20   	1.85
105.93955437 -15.63328610  	   -0.14 -11.36   	4.12
116.31373506 -37.96858328  	    -10.18 6.34   	3.61
322.88971548 -05.57117555  	    18.77 -8.21   	2.89
043.46988359 -49.88965022  	   130.35 34.22   	3.92
294.11055981 +50.22110127  	   -8.87 262.45   	4.48
299.68928594 +19.49214669  	    66.21 22.22   	3.47
131.67728868 -56.76977561  	     -9.29 8.85   	4.49
312.95537849 -26.91912706  	    -8.36 -0.36   	4.12
316.23275955 +43.92785124  	      7.97 0.06   	3.73
004.58190606 +36.78522519  	  -65.67 -42.00   	4.52
029.16749428 -22.52678477  	   63.33 -30.10   	4.85
311.79480052 +34.37412294  	     39.24 8.04   	4.93
234.84450 +36.63583        	            ~ ~   	4.96
313.16346986 -08.98331942  	   45.75 -33.59   	4.723
184.58676912 -79.31224194  	   -37.97 11.15   	4.235
274.96545452 +36.06454696  	   -16.75 41.09   	4.34
147.86955765 -14.84660307  	   18.88 -21.85   	4.11
009.22020523 +33.71934400  	    14.75 -3.51   	4.36
280.568446 -09.052550      	      9.21 0.82   	4.71
239.87567149 +25.92016492  	     -5.97 9.81   	2
273.44087017 -21.05883169  	     0.30 -0.48   	3.85
298.95983829 -26.29953374  	   209.41 62.39   	4.7
319.966196 -53.449267      	            ~ ~   	4.483
352.50808109 +58.54892001  	     17.90 4.15   	4.882
200.981429 +54.925361      	    121.2 -22.0   	2.23
010.83849338 -57.46305758  	    -5.07 16.51   	4.365
109.523246 +16.540386      	    -45.9 -37.1   	3.559
067.969446 -00.044011      	    -1.85 -8.19   	4.908
220.76509509 -05.65820353  	 103.28 -318.63   	3.88
181.08006267 -63.16570937  	    -17.63 0.66   	4.718
044.80302232 +21.34043264  	   -13.74 -5.12   	4.66
174.17047231 -09.80224756  	    -59.38 2.55   	4.682
012.45353069 +41.07891011  	   22.77 -18.35   	4.53
038.96863913 +05.59324718  	  -26.51 -22.32   	4.88
131.69380097 +06.41880152  	 -228.11 -43.82   	3.38
042.64608245 +38.31864112  	 195.77 -109.98   	4.2
322.48706438 +23.63883806  	     24.74 3.63   	4.536
269.75663297 -09.77363329  	  -9.48 -116.69   	3.34
343.80696653 +08.81616477  	    80.57 28.50   	4.9
261.62866683 +04.14035945  	      0.72 7.03   	4.31
311.32239814 +61.83878242  	   86.50 818.02   	3.41
321.09868459 +20.02027820  	   105.35 63.51   	4.09
029.69247778 -61.56985966  	   263.66 26.77   	2.84
257.59452871 -15.72490664  	    40.13 99.17   	2.42
318.62006378 +10.00697940  	  42.39 -304.19   	4.49
251.32423394 +56.78184983  	    24.85 67.07   	4.849
135.15991945 +41.78294587  	-678.52	3.96
271.25510037 -29.58008887  	     2.62 -5.28   	4.69
100.98302608 +25.13112541  	   -5.57 -12.36   	2.98
158.00609569 -61.68533231  	   -17.01 11.50   	3.27
272.97565348 +31.40534918  	   -14.71 24.99   	4.97
231.04954586 -10.32227055  	 -66.52 -154.24   	4.928
337.87637660 -32.34607371  	   59.12 -18.83   	4.29
261.59257287 -24.17531082  	   0.10 -118.18   	4.166
084.68658057 -02.60003294  	       4.6 -0.4   	3.8
241.35929 -19.80539        	            ~ ~   	2.5
068.88765974 -30.56234160  	  -49.27 -12.72   	3.82
030.48937644 +70.90702507  	   -55.69 -8.71   	4.54
118.32565800 -48.10293435  	     -5.60 5.76   	4.24
206.42185343 -33.04372215  	-608.98	4.23
254.87654 -12.89086        	            ~ ~   	4.3
113.84539026 -28.36932596  	  -65.93 -19.73   	4.63
307.34889838 +30.36855466  	     6.89 -0.87   	4.01
305.96508624 +32.19017197  	    35.84 -5.83   	4.44
202.10753586 +13.77878851  	-811.75	4.97
093.84453775 +29.49807668  	 -70.88 -261.42   	4.35
354.53417207 +43.26807358  	    27.64 -1.02   	4.29
047.04221855 +40.95564668  	     2.99 -1.66   	2.12
270.43832849 +01.30507709  	   15.93 -13.29   	4.439
004.27291187 +38.68163617  	  -49.35 -17.65   	4.61
136.28672122 -72.60270657  	    -8.81 -5.26   	4.479
336.12912782 +49.47639378  	    -5.55 -2.85   	4.58
169.78291520 +38.18556347  	  -58.80 -65.33   	4.8
261.32495147 -55.52988522  	   -8.51 -25.24   	2.85
286.17075738 -21.74149570  	   76.35 -58.12   	3.77
332.54993865 +06.19786326  	   282.18 30.46   	3.55
233.54459205 -10.06452954  	 307.63 -234.51   	4.62
359.60363898 +51.38880585  	    85.52 17.49   	4.8
118.37422460 +26.76578479  	  -34.69 -30.10   	4.977
125.16058562 -77.48447702  	  -129.05 40.89   	4.346
144.83749785 -61.32806019  	   -34.09 18.55   	4.508
304.44667535 +38.03293131  	    -3.18 -6.45   	4.82
284.61569626 -52.93862839  	    12.18 -8.76   	4.84
105.75613381 -23.83329231  	     -2.21 3.61   	3.02
052.47810052 +58.87874987  	    -1.79 -1.09   	4.54
064.00660767 -51.48665014  	  100.79 183.32   	4.2
154.27073044 -61.33230231  	    -24.73 7.20   	3.384
161.44585364 -80.54018847  	    -36.86 5.90   	4.432
111.43164715 +27.79808135  	 -122.66 -84.03   	3.79
283.59940132 +71.29719182  	    49.53 42.11   	4.827
018.79633957 -45.53166538  	  665.13 177.63   	4.96
271.45203375 -30.42408985  	 -53.92 -180.90   	2.99
358.59596856 +57.49938146  	    -4.48 -3.73   	4.59
156.97083167 +36.70721002  	-237.99	4.21
295.26224613 +17.47604244  	    8.74 -33.41   	4.38
