C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST16:20:32

Vmag <  5.3 &
cat = '*' &
(pm <  0 | pm  > 0) &
plx != 0 &
radvel != 0
--------------------------------------------------------------------------

Number of objects : 1935

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
508 ;* eps Mon A                        ;*  ;095.9420225716300 +04.5928823613700;  -15.127 7.701     ;24.0777   ;13.10      ;4.398    
509 ;* 77 Ori                           ;*  ;096.8073378184900 +00.2992441992800;   2.306 -8.969     ;3.8856    ;32.05      ;5.186    
510 ;* 10 Mon                           ;bC*;096.9898693796 -04.7621535781      ;    -5.78 -2.86     ;3.00      ;25.30      ;5.041    
511 ;* bet Mon                          ;** ;097.20445711 -07.03305837          ;    -6.86 -2.76     ;4.82      ;17.20      ;3.74     
512 ;* bet Mon B                        ;*  ;097.2059275162871 -07.0344002237272;  -7.761 -2.267     ;4.8943    ;18.0       ;5.00     
513 ;* bet CMa                          ;bC*;095.6749389696 -17.9559187089      ;    -3.23 -0.78     ;6.62      ;33.70      ;1.97     
514 ;* ksi01 CMa                        ;bC*;097.9640264908 -23.4184216917      ;     -2.91 6.22     ;2.36      ;26.90      ;4.33     
515 ;* lam CMa                          ;*  ;097.0425311337 -32.5800681911      ;   -14.41 25.21     ;7.70      ;41.00      ;4.48     
516 ;* psi02 Aur                        ;PM*;099.8326134822500 +42.4888765763000; -0.576 -55.657     ;8.0927    ;16.29      ;4.82     
517 ;* 49 Aur                           ;*  ;098.8002590172700 +28.0223108039300;  0.292 -13.521     ;7.4302    ;17.0       ;5.260    
518 ;* eps Gem                          ;V* ;100.9830260792 +25.1311254122      ;   -5.57 -12.36     ;3.86      ;7.77       ;2.98     
519 ;* 26 Gem                           ;PM*;100.6013634121 +17.6453088431      ;    7.87 -84.32     ;22.92     ;15.00      ;5.21     
520 ;* gam Gem                          ;SB*;099.42796043 +16.39928043          ;   13.81 -54.96     ;29.84     ;-12.63     ;1.92     
521 ;* 30 Gem                           ;PM*;100.9970297819400 +13.2279999015900; -0.452 -52.279     ;10.3816   ;12.61      ;4.49     
522 ;* 15 Mon                           ;Be*;100.24441512 +09.89575637          ;    -2.61 -1.61     ;3.55      ;22.00      ;4.640    
523 ;* nu.03 CMa                        ;*  ;099.4725890920300 -18.2374806850100;  -7.166 -8.777     ;6.7876    ;-1.09      ;4.43     
524 ;* nu.02 CMa                        ;PM*;099.1709898983 -19.2558794181      ;   62.57 -69.97     ;50.63     ;2.57       ;3.91     
525 ;* ksi02 CMa                        ;*  ;098.7641148024600 -22.9647954166900;  16.316 16.885     ;8.0342    ;26.00      ;4.50     
526 ;* 10 CMa                           ;Be*;101.1186129347900 -31.0705256549500;   -3.286 4.201     ;1.6454    ;34.00      ;5.17     
527 ;* nu. Pup                          ;Ce*;099.4402973029 -43.1959333808      ;    -0.44 -3.87     ;8.78      ;30.90      ;3.17     
528 ;* psi07 Aur                        ;PM*;102.6914303395700 +41.7812305477500;-25.542 -137.253    ;9.6073    ;59.50      ;4.975    
529 ;* tet Gem                          ;PM*;103.1972452958 +33.9612548506      ;   -1.66 -47.31     ;17.25     ;21.00      ;3.60     
530 ;* d Gem                            ;*  ;102.8876932620800 +21.7611452911700; -5.719 -35.781     ;7.6158    ;34.4       ;5.259    
531 ;* ksi Gem                          ;PM*;101.3223513354 +12.8955919797      ;-115.73 -190.55     ;55.56     ;27.20      ;3.36     
532 ;* e Gem                            ;PM*;103.6609922819879 +13.1778453179544; 68.745 -86.832     ;33.9184   ;24         ;4.715    
533 ;* 17 Mon                           ;*  ;101.8326257118700 +08.0372563528400;-24.428 -11.916     ;6.3783    ;46.19      ;4.77     
534 ;* 18 Mon                           ;SB*;101.9651995234800 +02.4121763919800;-17.309 -15.921     ;8.2744    ;11.29      ;4.47     
535 ;* tet CMa                          ;PM*;103.5474952553600 -12.0386281010500;-136.654 -14.322    ;12.0676   ;96.20      ;4.08     
536 ;* 11 CMa                           ;*  ;101.7128846556200 -14.4259754830300;   -2.462 8.996     ;3.6298    ;15.00      ;5.272    
537 ;* iot CMa                          ;bC*;104.0342671942 -17.0542409633      ;     -3.56 2.42     ;1.30      ;41.20      ;4.385    
538 ;* pi. CMa                          ;PM*;103.9059601613300 -20.1364969045300;  51.109 39.971     ;33.5731   ;8.0        ;4.664    
539 ;* 15 CMa                           ;bC*;103.3871132796 -20.2242549208      ;     -5.46 3.58     ;2.68      ;28.00      ;4.83     
540 ;* omi01 CMa                        ;s*r;103.5331344588300 -24.1842109726400;   -3.771 4.066     ;1.2869    ;36.3       ;3.87     
541 ;* kap CMa                          ;Be*;102.4602471929 -32.5084784672      ;     -8.84 3.73     ;4.95      ;14.00      ;3.89     
542 ;* x Pup                            ;*  ;101.8391636721200 -37.9296972274800;  -9.822 -9.990     ;10.1629   ;47.00      ;5.260    
543 ;* ome Gem                          ;Ce*;105.6032499688300 +24.2154462533000;  -7.054 -0.392     ;3.5179    ;-8.09      ;5.181    
544 ;* zet Gem                          ;cC*;106.0272116263 +20.5702982975      ;    -7.29 -0.41     ;2.37      ;2.80       ;3.79     
545 ;* 19 Mon                           ;bC*;105.7282361350 -04.2392326886      ;     -5.05 2.24     ;2.68      ;24.8       ;5.00     
546 ;* gam CMa                          ;*  ;105.9395543688 -15.6332861031      ;   -0.14 -11.36     ;7.38      ;32.00      ;4.12     
547 ;* omi02 CMa                        ;s*b;105.7561338125 -23.8332923078      ;     -2.21 3.61     ;1.18      ;48.40      ;3.02     
548 ;* eps CMa                          ;*  ;104.65645315 -28.97208616          ;      3.24 1.33     ;8.05      ;27.30      ;1.50     
549 ;* sig CMa                          ;LP*;105.4297824358 -27.9348304928      ;     -5.98 4.59     ;2.91      ;22.11      ;3.47     
550 ;* t Pup                            ;** ;104.6045369749200 -34.1116901177400;  -10.659 0.710     ;5.5437    ;19.20      ;5.068    
551 ;* C Pup                            ;** ;106.0116419400 -42.3372795719      ;   -17.46 71.63     ;9.36      ;27.9       ;5.191    
552 ;* 63 Aur                           ;*  ;107.9138605249800 +39.3205503384800;   45.314 2.986     ;7.6144    ;-27.89     ;4.886    
553 ;* tau Gem                          ;PM*;107.7848763073704 +30.2451637698539;-30.725 -48.515     ;8.3261    ;21.27      ;4.42     
554 ;* lam Gem                          ;PM*;109.5232454980700 +16.5403859947900;-46.157 -36.007     ;32.6068   ;-7.40      ;3.559    
555 ;* 51 Gem                           ;LP*;108.3428159794000 +16.1589642189300; 12.727 -41.447     ;5.031     ;-9.00      ;5.00     
556 ;* del Mon                          ;*  ;107.9660865800 -00.4927696736      ;      0.79 4.52     ;8.49      ;15.00      ;4.15     
557 ;* 20 Mon                           ;PM*;107.5570062610300 -04.2371069597900; -0.460 217.452     ;16.811    ;77.750     ;4.92     
558 ;* 145 CMa                          ;*  ;109.1534773210400 -23.3155939638500;   -3.816 3.896     ;1.2155    ;28.05      ;4.79     
559 ;* del CMa                          ;s*y;107.0978502142 -26.3931995789      ;     -3.12 3.31     ;2.03      ;33.67      ;1.84     
560 ;* ome CMa                          ;Be*;108.7027244433 -26.7726693650      ;    -11.88 6.87     ;3.58      ;23.20      ;3.82     
561 ;* 29 CMa                           ;SB*;109.6682455640400 -24.5586995134800;   -2.865 3.678     ;0.8549    ;20.00      ;4.95     
562 ;* tau CMa                          ;SB*;109.6770267463 -24.9543725831      ;     -2.31 5.02     ;1.09      ;49.40      ;4.40     
563 ;* 27 CMa                           ;Be*;108.5633829896 -26.3525086683      ;     -6.91 3.17     ;1.88      ;16.30      ;4.65     
564 ;* ups01 Pup                        ;Be*;109.5766389554 -36.7339535894      ;    -10.25 5.82     ;4.06      ;18.6       ;4.67     
565 ;* ups02 Pup                        ;Be*;109.6591058146800 -36.7427374811400;  -10.172 6.621     ;2.9923    ;18.00      ;5.11     
566 ;* pi. Pup                          ;LP*;109.28565325 -37.09747115          ;    -10.05 6.47     ;4.04      ;15.80      ;2.70     
567 ;* A Pup                            ;Ce*;107.2127844325 -39.6556549856      ;    -10.69 7.71     ;4.48      ;19.5       ;4.83     
568 ;* F Pup                            ;*  ;109.6396354728900 -39.2102841972200;   -9.529 9.565     ;7.3579    ;34.90      ;5.243    
569 ;* 66 Aur                           ;*  ;111.0352814953800 +40.6723888559700; -4.081 -21.023     ;3.2175    ;22.62      ;5.188    
570 ;* 65 Aur                           ;PM*;110.5109066819800 +36.7605836024500;-97.064 -22.733     ;12.6451   ;22.14      ;5.120    
571 ;* rho Gem                          ;PM*;112.27799529 +31.78454925          ;  159.09 193.29     ;55.41     ;-3.70      ;4.18     
572 ;* 64 Gem                           ;PM*;112.3351701736200 +28.1182762995100;-33.931 -52.782     ;18.5038   ;35.4       ;5.064    
573 ;* b Gem                            ;SB*;112.4531745852000 +27.9161203620500;-29.312 -21.779     ;7.718     ;35.30      ;5.010    
574 ;* iot Gem                          ;** ;111.4316471500 +27.7980813469      ; -122.66 -84.03     ;27.10     ;7.432      ;3.79     
575 ;* 57 Gem                           ;PM*;110.8687970761500 +25.0505312834400;-66.676 -29.082     ;18.1774   ;5.46       ;5.022    
576 ;* del Gem                          ;SB*;110.0307490954 +21.9823160392      ;   -15.13 -9.79     ;53.94     ;4.1        ;3.53     
577 ;* 63 Gem                           ;SB*;111.9348222072700 +21.4452790250300;-56.450 -121.068    ;30.8067   ;-82.30     ;5.24     
578 ;* 56 Gem                           ;PM*;110.4869241276400 +20.4436581324800;-60.474 -23.693     ;7.6812    ;4.80       ;5.080    
579 ;* 6 CMi                            ;V* ;112.4490905217 +12.0065652036      ;   -0.57 -18.85     ;5.70      ;-16.31     ;4.531    
580 ;* eps CMi                          ;*  ;111.4120820166000 +09.2760904223900;  -4.583 -8.414     ;3.9908    ;-6.90      ;4.986    
581 ;* gam CMi                          ;SB*;112.0408095289700 +08.9255244800600; -62.112 11.141     ;3.134     ;46.80      ;4.30     
582 ;* bet CMi                          ;Be*;111.7876739054 +08.2893157625      ;  -51.76 -38.29     ;20.17     ;22.00      ;2.89     
583 ;* eta CMi                          ;*  ;112.0086451902400 +06.9419706076400; -3.109 -43.633     ;10.2172   ;17.20      ;5.22     
584 ;* eta CMa                          ;s*b;111.02375950 -29.30310551          ;     -4.14 5.81     ;1.64      ;41.1       ;2.45     
585 ;* omi Gem                          ;PM*;114.7913944263900 +34.5843063308600;-37.975 -105.132    ;19.3338   ;7.30       ;4.90     
586 ;* alf Gem                          ;** ;113.64947164 +31.88828222          ;-191.45 -145.19     ;64.12     ;5.40       ;1.58     
587 ;* ups Gem                          ;PM*;113.9806250590500 +26.8957444986000;-32.841 -106.002    ;12.8761   ;-21.61     ;4.06     
588 ;* f Gem                            ;** ;114.8691390334500 +17.6745218379400;   5.374 -1.199     ;5.1083    ;25.38      ;5.05     
589 ;* 68 Gem                           ;** ;113.4020065796 +15.8266608119      ;  -28.64 -12.86     ;7.70      ;12.00      ;5.263    
590 ;* alf CMi                          ;SB*;114.82549791 +05.22498756          ;-714.59 -1036.80    ;284.56    ;-15.908408 ;0.37     
591 ;* del01 CMi                        ;*  ;113.0247867805900 +01.9144796757500;  -2.129 -0.868     ;3.9896    ;29.1       ;5.233    
592 ;* 25 Mon                           ;dS*;114.3195459425700 -04.1109816312800; -67.624 16.998     ;15.7974   ;48.33      ;5.131    
593 ;* alf Mon                          ;PM*;115.3118023700 -09.5511308564      ;  -74.61 -19.59     ;22.07     ;11.161     ;3.93     
594 ;* 140 Pup                          ;*  ;115.0967101784401 -15.2639196417900; -2.171 -27.678     ;4.6915    ;0.50       ;4.951    
595 ;* m Pup                            ;EB*;114.5751892067 -25.3648060192      ;    -3.03 -7.42     ;5.27      ;41.00      ;4.67     
596 ;* n Pup                            ;** ;113.57756940 -23.47366501          ;   -89.46 -0.33     ;31.56     ;-6.50      ;5.09     
597 ;* k01 Pup                          ;*  ;114.7057297618600 -26.8017568161600; -18.556 11.081     ;9.0301    ;23.6       ;4.50     
598 ;* k02 Pup                          ;V* ;114.7077947219200 -26.8038471632100; -17.567 21.662     ;8.3058    ;33.0       ;4.429    
599 ;* p Pup                            ;PM*;113.8453817505200 -28.3693347863800; -60.256 -7.742     ;13.6185   ;3.30       ;4.63     
600 ;* f Pup                            ;** ;114.34212409 -34.96853080          ;   -14.21 16.32     ;9.05      ;24.00      ;4.53     
601 ;* d01 Pup                          ;*  ;114.8639097396 -38.3080218219      ;   -21.11 15.81     ;5.87      ;26.4       ;4.84     
602 ;* pi. Gem                          ;V* ;116.8763492684900 +33.4156968635200;-17.480 -28.334     ;5.5547    ;-13.36     ;5.14     
603 ;* sig Gem                          ;RS*;115.8280290804 +28.8835117197      ;  62.66 -230.32     ;26.08     ;44.15      ;4.29     
604 ;* c Gem                            ;V* ;116.0288123786400 +25.7841601231000;-13.326 -20.079     ;5.0247    ;1.33       ;5.289    
605 ;* bet Gem                          ;PM*;116.32895777 +28.02619889          ; -626.55 -45.80     ;96.54     ;3.391      ;1.14     
606 ;* kap Gem                          ;** ;116.1118898717 +24.3979964519      ;  -23.39 -54.57     ;23.07     ;20.15      ;3.57     
607 ;* g Gem                            ;SB*;116.5310350776600 +18.5099981036000;-77.972 -51.680     ;10.5086   ;83.13      ;4.87     
608 ;* 11 CMi                           ;V* ;116.5675051476100 +10.7682517049600;-30.318 -25.278     ;10.8334   ;28.00      ;5.237    
609 ;* zet CMi                          ;*  ;117.9249530282500 +01.7668684614100; -13.704 -4.043     ;4.0023    ;32.3       ;5.16     
610 ;* 4 Pup                            ;*  ;116.4869565190600 -14.5638051956400;  -10.782 5.991     ;14.7603   ;-2.00      ;5.026    
611 ;* 6 Pup                            ;PM*;117.4216726086000 -17.2284084655600;54.538 -117.165     ;12.6942   ;48.79      ;5.162    
612 ;* ksi Pup                          ;*  ;117.3235652742 -24.8597862414      ;    -4.81 -0.89     ;2.72      ;2.80       ;3.30     
613 ;* omi Pup                          ;Be*;117.0215349738 -25.9371700767      ;    -10.09 4.26     ;2.30      ;15.00      ;4.49     
614 ;* l Pup                            ;sg*;115.9519530092 -28.9548255597      ;     -5.09 3.90     ;0.59      ;20.90      ;3.93     
615 ;* 1 Pup                            ;V* ;115.8849445223200 -28.4108857483300; -13.782 29.646     ;4.1384    ;32.40      ;4.59     
616 ;* c Pup                            ;*  ;116.3137350671 -37.9685832797      ;    -10.18 6.34     ;2.88      ;16.83      ;3.61     
617 ;* W Pup                            ;PM*;115.9247042761400 -40.9337464496700;130.960 -170.919    ;14.7756   ;52.55      ;5.17     
618 ;* a Pup                            ;SB*;118.0542993801800 -40.5757817321400;  -11.774 7.368     ;8.9838    ;24.0       ;3.696    
619 ;* chi Gem                          ;SB*;120.8795820638200 +27.7943508126400;-32.315 -46.221     ;12.7475   ;-3.83      ;4.937    
620 ;* phi Gem                          ;*  ;118.3742006609200 +26.7657814063900;-27.843 -30.555     ;18.038    ;8.0        ;4.963    
621 ;* G CMi                            ;PM*;120.5664038383367 +02.3345719017650;-28.194 105.650     ;12.5234   ;71.57      ;4.38     
622 ;* 28 Mon                           ;Ro*;120.3055655842 -01.3926093036      ;   67.60 -76.26     ;7.25      ;26.70      ;4.680    
623 ;* 27 Mon                           ;PM*;119.9339710964100 -03.6795856697600; -53.772 -2.687     ;10.3645   ;-28.02     ;4.934    
624 ;* j Pup                            ;*  ;119.2147458175 -22.8801205517      ;   -30.42 11.49     ;6.25      ;15.18      ;4.184    
625 ;* 12 Pup                           ;Pe*;119.7738126242700 -23.3103965337200;  -11.655 2.537     ;3.7378    ;12.11      ;5.11     
626 ;* chi Pup                          ;V* ;119.4171094421400 -30.3345712422800;   -8.220 6.546     ;1.7157    ;30.00      ;4.79     
627 ;* zet Pup                          ;BY*;120.89603141 -40.00314780          ;   -29.71 16.68     ;3.01      ;-23.90     ;2.25     
628 ;* b Pup                            ;SB*;118.1610276042 -38.8628140186      ;     -8.92 3.34     ;5.03      ;29.50      ;4.474    
629 ;* 8 Cnc                            ;PM*;121.2687043022200 +13.1182165126500;-34.708 -62.992     ;15.8101   ;21.00      ;5.136    
630 ;* zet Mon                          ;*  ;122.1485276167 -02.9837877944      ;   -18.81 -4.50     ;3.08      ;31.20      ;4.33     
631 ;* 19 Pup                           ;** ;122.8179410425 -12.9269986597      ;    -25.79 8.09     ;18.46     ;35.78      ;4.72     
632 ;* 20 Pup                           ;*  ;123.3331964883200 -15.7882246748900; -12.796 -3.749     ;3.1741    ;17.07      ;4.99     
633 ;* 16 Pup                           ;*  ;122.2568225383 -19.2450144608      ;    -9.87 -5.55     ;7.01      ;19.90      ;4.393    
634 ;* rho Pup                          ;dS*;121.8860367646 -24.3043244294      ;   -83.35 46.23     ;51.33     ;45.80      ;2.81     
635 ;* r Pup                            ;Be*;123.3729883200 -35.8995183961      ;     -7.30 9.75     ;3.51      ;35.00      ;4.77     
636 ;* h01 Pup                          ;LP*;122.8395559592600 -39.6185441098400;   -9.072 3.211     ;2.3831    ;16.20      ;4.42     
637 ;* bet Cnc                          ;PM*;124.1288375337 +09.1855438678      ;  -46.82 -49.24     ;10.75     ;22.94      ;3.520    
638 ;* 30 Mon                           ;PM*;126.4151333783 -03.9064216167      ;  -66.43 -23.41     ;26.66     ;10.00      ;3.90     
639 ;* w Pup                            ;*  ;125.3459417878300 -33.0543650790700;  -11.721 3.316     ;2.5049    ;33.2       ;4.80     
640 ;* q Pup                            ;PM*;124.6388041308 -36.6592886403      ; -110.33 100.48     ;34.93     ;6.40       ;4.40     
641 ;* iot Cnc                          ;PM*;131.6742518185500 +28.7598931360400;-22.070 -43.699     ;9.4124    ;15.74      ;4.018    
642 ;* gam Cnc                          ;PM*;130.8214508296 +21.4685002203      ; -103.51 -39.48     ;18.00     ;28.7       ;4.652    
643 ;* del Cnc                          ;** ;131.1712467108 +18.1543064986      ; -17.67 -229.26     ;24.98     ;17.14      ;3.94     
644 ;* eps Hya                          ;Ro*;131.69380097 +06.41880152          ; -228.11 -43.82     ;25.23     ;40.46      ;3.38     
645 ;* del Hya                          ;** ;129.4140311366300 +05.7037877622300; -68.867 -7.551     ;18.4301   ;11.30      ;4.131    
646 ;* rho Hya                          ;*  ;132.1082107329 +05.8378134256      ;  -17.33 -29.41     ;9.21      ;32.8       ;4.337    
647 ;* sig Hya                          ;*  ;129.6893227704 +03.3414361381      ;  -19.48 -15.92     ;8.75      ;27.06      ;4.43     
648 ;* eta Hya                          ;bC*;130.8061458029 +03.3986629753      ;   -19.39 -1.08     ;5.56      ;16.10      ;4.300    
649 ;* F Hya                            ;*  ;130.9182227138 -07.2337311914      ;   -11.62 -1.36     ;4.24      ;27.68      ;4.625    
650 ;* a Hya                            ;PM*;130.0061310033100 -12.4753747291200;  -81.269 2.030     ;7.7464    ;-7.68      ;4.969    
651 ;* D Hya                            ;*  ;131.5939350242800 -13.5477236486600; 10.316 -15.012     ;15.884    ;-6.64      ;4.32     
652 ;* 9 Hya                            ;PM*;130.4305673614300 -15.9433853547100;  3.416 -96.804     ;15.7077   ;-1.98      ;4.866    
653 ;* eta Pyx                          ;*  ;129.4673032981200 -26.2550001261100;-23.876 -12.407     ;13.2198   ;31.00      ;5.27     
654 ;* zet Pyx                          ;PM*;129.9269751436600 -29.5610845940200;-24.751 -91.427     ;13.863    ;-29.39     ;4.872    
655 ;* alf Pyx                          ;V* ;130.8980731433 -33.1863860522      ;   -14.27 10.43     ;3.71      ;15.3       ;3.68     
656 ;* bet Pyx                          ;*  ;130.0255984608 -35.3083514275      ;    9.84 -20.80     ;7.84      ;-13.40     ;3.954    
657 ;* sig03 Cnc                        ;PM*;134.8860607498400 +32.4185593067800;-43.741 -34.754     ;10.7481   ;21.32      ;5.220    
658 ;* rho02 Cnc                        ;*  ;133.9153353855200 +27.9274821811300;-13.014 -32.535     ;5.5719    ;16.55      ;5.225    
659 ;* omi01 Cnc                        ;PM*;134.3122903779400 +15.3227666000600;  60.732 20.396     ;20.3294   ;-4.6       ;5.220    
660 ;* alf Cnc                          ;PM*;134.6216842112700 +11.8576804028000; 42.181 -31.160     ;18.3304   ;-12.10     ;4.249    
661 ;* zet Hya                          ;PM*;133.8484422300 +05.9455653833      ;  -100.06 15.46     ;19.51     ;22.30      ;3.10     
662 ;* gam Pyx                          ;PM*;132.6330117588 -27.7098450300      ;  -134.31 87.89     ;15.73     ;24.50      ;4.01     
663 ;* del Pyx                          ;PM*;133.8815300704900 -27.6818482123900;82.731 -101.976     ;14.0808   ;5.40       ;4.89     
664 ;* lam Gru                          ;PM*;331.5286903450 -39.5433516250      ; -23.80 -124.58     ;13.47     ;38.80      ;4.458    
665 ;* mu.01 Gru                        ;** ;333.9038284359100 -41.3467626314700;  41.607 41.819     ;9.3332    ;-4.82      ;4.798    
666 ;* mu.02 Gru                        ;*  ;334.1106323080000 -41.6271817018100;-17.666 -13.765     ;14.508    ;15.90      ;5.117    
667 ;* rho Gru                          ;PM*;340.8749022675 -41.4143463050      ;   10.11 -93.79     ;14.16     ;30.89      ;4.835    
668 ;* tet Gru                          ;** ;346.71971026 -43.52035715          ;  -47.17 -13.49     ;24.73     ;9.6        ;4.332    
669 ;* iot Phe                          ;a2*;353.7690015235300 -42.6151397988700;   47.072 8.543     ;12.3056   ;19.4       ;4.71     
670 ;* alf Phe                          ;SB*;006.57104752 -42.30598719          ; 233.05 -356.30     ;38.50     ;74.6       ;2.38     
671 ;* kap Phe                          ;PM*;006.5508389318483 -43.6798306587444; 106.394 32.491     ;41.7228   ;11.3       ;3.94     
672 ;* ups Phe                          ;** ;016.9492638660800 -41.4868431356900;   53.687 1.376     ;14.4232   ;9.00       ;5.207    
673 ;* 2 PsA                            ;*  ;316.6028220699300 -32.3416189584500;   -5.949 7.786     ;9.2085    ;3.1        ;5.196    
674 ;* gam Mic                          ;*  ;315.3227519696 -32.2577659353      ;     -1.73 0.41     ;14.24     ;17.50      ;4.654    
675 ;* eps Mic                          ;PM*;319.4845166421 -32.1725420889      ;   54.36 -23.29     ;17.90     ;7.20       ;4.708    
676 ;* gam Gru                          ;PM*;328.4821924842 -37.3648552706      ;   98.07 -13.22     ;15.45     ;0.10       ;3.01     
677 ;* phi For                          ;*  ;037.0070966559600 -33.8110395407400;   18.759 5.426     ;20.9663   ;19.00      ;5.123    
678 ;* bet For                          ;RG*;042.2725787677200 -32.4058977796900; 86.023 159.404     ;18.4596   ;17.82      ;4.46     
679 ;* iot PsA                          ;PM*;326.2367059875 -33.0257827850      ;   31.10 -94.56     ;15.97     ;3.00       ;4.34     
680 ;* ups PsA                          ;*  ;332.1080471675 -34.0438402158      ;    4.55 -49.02     ;7.69      ;20.36      ;4.99     
681 ;* bet Scl                          ;PM*;353.2427457450 -37.8182658333      ;    95.97 38.29     ;18.74     ;0.40       ;4.37     
682 ;* tet PsA                          ;** ;326.9339580446 -30.8983062925      ;   -34.40 -0.08     ;10.16     ;12.80      ;5.017    
683 ;* mu. PsA                          ;PM*;332.0958805922600 -32.9884699078400; 74.256 -25.790     ;27.0888   ;11.6       ;4.50     
684 ;* tau PsA                          ;PM*;332.5365841445521 -32.5484084150861; 428.832 13.475     ;54.1773   ;-15.902    ;4.92     
685 ;* bet PsA                          ;PM*;337.8763765937 -32.3460737075      ;   59.12 -18.83     ;22.84     ;5.50       ;4.29     
686 ;* gam PsA                          ;*  ;343.1313756551800 -32.8754604893100;-30.953 -33.890     ;14.634    ;16.5       ;4.51     
687 ;* gam PsA B                        ;*  ;343.1300712301600 -32.8757587960300;-30.131 -30.860     ;14.4163   ;19.83      ;5.023    
688 ;* pi. PsA                          ;Ce*;345.8742310753500 -34.7494154245300;  73.680 84.402     ;34.3871   ;-6.00      ;5.124    
689 ;* tet Scl                          ;PM*;002.9334211539100 -35.1331147091900;171.298 125.436     ;46.0425   ;-1.6       ;5.239    
690 ;* pi. Scl                          ;PM*;025.5359555723600 -32.3269875461300; -82.704 -4.233     ;15.9813   ;13.83      ;5.256    
691 ;* mu. For                          ;*  ;033.2269583234200 -30.7238260436300;   14.425 6.616     ;10.2162   ;10.00      ;5.260    
692 ;* ome For                          ;*  ;038.4612562412000 -28.2323376583600; -13.843 -3.790     ;6.7146    ;9.7        ;4.96     
693 ;* 24 Cap                           ;PM*;316.7819471954 -25.0058552892      ;  -28.09 -44.14     ;7.15      ;32.10      ;4.50     
694 ;* del PsA                          ;*  ;343.9870841469900 -32.5396239368100;  11.620 32.638     ;19.1618   ;-10.69     ;4.208    
695 ;* gam Scl                          ;PM*;349.7060031792 -32.5320247125      ;   20.13 -77.72     ;17.90     ;15.6       ;4.406    
696 ;* eta Scl                          ;LP*;006.9820742557300 -33.0071659671300;-20.070 -49.425     ;5.8984    ;12.10      ;4.81     
697 ;* nu. For                          ;a2*;031.1226608629 -29.2968188200      ;     12.79 8.48     ;8.79      ;18.5       ;4.69     
698 ;* eps PsA                          ;Be*;340.1639510683900 -27.0436152921400;  21.839 -1.588     ;5.9219    ;1.10       ;4.177    
699 ;* alf PsA                          ;** ;344.41269272 -29.62223703          ; 328.95 -164.67     ;129.81    ;6.50       ;1.16     
700 ;* del Scl                          ;PM*;357.23144407 -28.13027069          ; 100.80 -105.34     ;23.73     ;8.70       ;4.57     
701 ;* zet Scl                          ;SB*;000.5830294271700 -29.7204412546300;   9.181 15.079     ;4.8234    ;8.60       ;5.022    
702 ;* iot Scl                          ;RG*;005.3799927402400 -28.9814702063600; 33.034 -72.244     ;9.5724    ;20.894     ;5.167    
703 ;* alf Scl                          ;Ro*;014.6514970954 -29.3574513094      ;     20.13 5.31     ;4.20      ;9.60       ;4.27     
704 ;* kap For                          ;PM*;035.6357936203100 -23.8167999619800;  162.321 5.038     ;42.9117   ;18.33      ;5.198    
705 ;* eta Cap                          ;** ;316.1012555167 -19.8549919628      ;  -37.62 -24.95     ;20.20     ;23.8       ;4.84     
706 ;* phi Cap                          ;*  ;318.9079147985900 -20.6516952101200;  13.850 -2.682     ;4.8754    ;-4.72      ;5.152    
707 ;* zet Cap                          ;SB*;321.6667764125 -22.4113344992      ;    -2.23 18.10     ;8.46      ;2.10       ;3.74     
708 ;* b Cap                            ;PM*;322.1808362617367 -21.8071797601486; 134.861 -5.498     ;17.4704   ;-22.2      ;4.50     
709 ;* 41 Cap                           ;PM*;325.5029045237900 -23.2628571788100; 91.684 -95.143     ;13.4853   ;-44.23     ;5.240    
710 ;* 56 Cet                           ;PM*;029.1675109188400 -22.5267846855000; 60.374 -24.635     ;7.329     ;27.38      ;4.85     
711 ;* tau02 Eri                        ;PM*;042.7596744212 -21.0040181839      ;  -38.52 -16.05     ;17.45     ;-5.90      ;4.77     
712 ;* tet Cap                          ;PM*;316.4867826304 -17.2328616903      ;   79.33 -62.01     ;20.11     ;-10.9      ;4.07     
713 ;* eps Cap                          ;Be*;324.2701278279 -19.4660128761      ;     12.79 0.28     ;3.09      ;-23.7      ;4.55     
714 ;* 47 Aqr                           ;RG*;335.3982005738900 -21.5982301141100;-10.986 -84.834     ;17.3475   ;49.42      ;5.124    
715 ;* 89 Aqr                           ;** ;347.4787389913 -22.4576164403      ;    32.61 -9.76     ;6.47      ;-2.10      ;4.80     
716 ;* c01 Aqr                          ;** ;346.6701988318000 -23.7429900192700; 61.661 -34.184     ;17.2892   ;15.2       ;4.47     
717 ;* 48 Cet                           ;PM*;022.4005653838900 -21.6293361032900;   56.469 4.134     ;13.8965   ;-0.10      ;5.104    
718 ;* ups Cet                          ;PM*;030.0012881737 -21.0778318253      ;  134.92 -24.59     ;11.14     ;18.00      ;4.02     
719 ;* tau01 Eri                        ;PM*;041.2758283362062 -18.5726228277553; 318.568 48.171     ;70.0459   ;25.90      ;4.46     
720 ;* iot Cap                          ;BY*;320.5616485325 -16.8345443886      ;     30.00 4.52     ;16.58     ;12.271     ;4.27     
