C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
463 ;* alf Lyr                  ;* alf Lyr                          ;279.23473479 +38.78368896          ;  200.94 286.23     ;130.23    ;-20.60      ;0.03     
464 ;* iot Tau                  ;* iot Tau                          ;075.7739438505300 +21.5899611960900; 67.391 -40.958     ;18.3851   ;38.30       ;4.615    
465 ;LGGS J013348.28+305208.8 	 ;LGGS J013348.28+305208.8           ;023.4510015178300 +30.8690985555600;    0.195 0.023     ;0.059     ;-224.0      ;17.6     
466 ;* alf Aps                  ;* alf Aps                          ;221.9654667696 -79.0447509014      ;   -4.58 -15.88     ;7.30      ;-0.10       ;3.798    
467 ;* ksi Psc                  ;* ksi Psc                          ;028.3889041261100 +03.1875325060800;  32.687 25.146     ;16.6641   ;26.13       ;4.604    
468 ;HR 4222                    ;HD 93607                           ;161.7134124285650 -64.3834734858747;  -18.590 9.832     ;6.6468    ;12          ;4.83     
469 ;* tet Sco                  ;* tet Sco                          ;264.32970772 -42.99782799          ;     5.54 -3.12     ;10.86     ;1.4         ;1.85     
470 ;* pi.01 Cyg                ;* pi.01 Cyg                        ;325.5236024242 +51.1896226439      ;     5.29 -1.78     ;1.89      ;-8.20       ;4.66     
471 ;* zet02 CrB                ;* 7 CrB A                          ;234.8444701795399 +36.6358110598800; -15.510 -7.465     ;6.4259    ;0.00        ;4.979    
472 ;* lam Cas                  ;* lam Cas                          ;007.9431639446 +54.5222849136      ;   41.20 -16.54     ;8.64      ;-12.20      ;     ~   
473 ;* psi10 Aur                ;* psi10 Aur                        ;104.4046128688 +45.0940945581      ;   -21.52 -3.12     ;13.54     ;-11.90      ;4.893    
474 ;* l Pup                    ;* l Pup                            ;115.9519530092 -28.9548255597      ;     -5.09 3.90     ;0.59      ;20.90       ;3.93     
475 ;* 17 Tau                   ;* 17 Tau                           ;056.2189036742 +24.1133364492      ;   20.84 -46.06     ;8.06      ;6.70        ;3.70     
476 ;* psi Oph                  ;* psi Oph                          ;246.0257693446 -20.0373273392      ;  -20.29 -47.65     ;16.35     ;-1.18       ;4.50     
477 ;* zet CMa                  ;* zet CMa                          ;095.0783001658 -30.0633667339      ;      7.32 4.03     ;9.00      ;32.2        ;3.00     
478 ;* tau Dra                  ;* tau Dra                          ;288.8874387506500 +73.3555217541800;-129.430 93.738     ;21.6734   ;-33.70      ;4.45     
479 ;* pi. Cen                  ;* pi. Cen                          ;170.25169229 -54.49101816          ;   -35.85 -1.72     ;9.12      ;9.40        ;     ~   
480 ;* 48 Cas A                 ;* 48 Cas A                         ;030.489320008 +70.907064514        ;      -63.5 9.2     ;      ~   ;~           ;4.63     
481 ;* ksi Pav                  ;* ksi Pav                          ;275.8068221812900 -61.4939119217200;   -1.775 8.960     ;4.4041    ;12.2        ;4.367    
482 ;* alf Cen                  ;* alf Cen                          ;219.87383306 -60.83222194          ;      -3608 686     ;742       ;-22.3       ;-0.1     
483 ;* lam Boo                  ;* lam Boo                          ;214.0959116521 +46.0883057017      ; -187.33 159.05     ;32.94     ;-7.90       ;4.18     
484 ;* phi01 Cet                ;* phi01 Cet                        ;011.0475005258 -10.6095504542      ;  -8.96 -113.82     ;13.96     ;-0.10       ;4.767    
485 ;* 111 Her                  ;* 111 Her                          ;281.7551429700600 +18.1815160622200; 98.835 115.120     ;34.9987   ;-44.6       ;4.36     
486 ;* gam Sge                  ;* gam Sge                          ;299.6892859437 +19.4921466886      ;    66.21 22.22     ;12.62     ;-34.00      ;3.47     
487 ;* ome Sgr                  ;* ome Sgr                          ;298.9598439582953 -26.2993592497402;   209.41 62.39     ;42.7159   ;-21.0       ;4.70     
488 ;* f01 Ori                  ;* f01 Ori                          ;093.0136647904 +16.1304059564      ;    5.49 -16.80     ;6.17      ;22.0        ;4.92     
489 ;* phi Oph                  ;* phi Oph                          ;247.7848638450 -16.6127307311      ;  -45.35 -37.34     ;13.39     ;-33.64      ;4.27     
490 ;* ome Psc                  ;* ome Psc                          ;359.8278776563 +06.8633211639      ; 150.35 -112.12     ;31.26     ;2.90        ;     ~   
491 ;* omi01 CMa                ;* omi01 CMa                        ;103.5331344588300 -24.1842109726400;   -3.771 4.066     ;1.2869    ;36.3        ;3.87     
492 ;CCDM J18448+3736AD         ;* zet Lyr                          ;281.19317 +37.60511                ;            ~ ~     ;      ~   ;~           ;     ~   
493 ;* gam Lib                  ;* gam Lib                          ;233.8815783675 -14.7895355142      ;     65.34 7.45     ;19.99     ;-26.71      ;3.91     
494 ;* 3 Mon                    ;* 3 Mon                            ;090.4600913435200 -10.5979308673600;   -6.278 4.016     ;3.4868    ;39.00       ;5.01     
495 ;* eta Cap                  ;* eta Cap                          ;316.1012555167 -19.8549919628      ;  -37.62 -24.95     ;20.20     ;23.8        ;4.84     
496 ;NGC 2547                   ;NGC 2547                           ;122.468165 -49.176393              ; -8.5999 4.2542     ;2.5438    ;14.07       ;     ~   
497 ;* psi Hya                  ;* psi Hya                          ;197.2636082308400 -23.1180438664600;-20.533 -46.131     ;14.0296   ;-15.85      ;4.934    
498 ;HR 7633                    ;HD 189276                          ;298.9807445462999 +58.8459686298000; -8.725 -20.993     ;3.668     ;4.26        ;4.96     
499 ;HD 84117                   ;HD 84117                           ;145.5600675122075 -23.9155672343406;-399.497 262.319    ;66.8827   ;34.98       ;4.94     
500 ;* N Vel                    ;* N Vel                            ;142.8054954737 -57.0343771611      ;    -32.54 5.87     ;13.65     ;-13.90      ;3.139    
501 ;* N Sco                    ;* N Sco                            ;247.8455541762 -34.7043651722      ;  -12.05 -18.16     ;5.88      ;0.80        ;4.23     
502 ;* del Cnc                  ;* del Cnc                          ;131.1712467108 +18.1543064986      ; -17.67 -229.26     ;24.98     ;17.14       ;3.94     
503 ;* 9 Aur                    ;* 9 Aur                            ;076.6692941803700 +51.5977219440900;-28.557 -171.822    ;37.0551   ;-0.90       ;     ~   
504 ;* phi Vir A                ;* phi Vir                          ;217.0505787590600 -02.2279580599600;-138.727 -3.338     ;26.8792   ;-9.88       ;4.840    
505 ;* rho Gem                  ;* rho Gem                          ;112.27799529 +31.78454925          ;  159.09 193.29     ;55.41     ;-3.70       ;4.18     
506 ;* D Hya                    ;* D Hya                            ;131.5939350242800 -13.5477236486600; 10.316 -15.012     ;15.884    ;-6.64       ;4.32     
507 ;* w Car                    ;* w Car                            ;160.8845422887 -60.5666196556      ;    -14.75 3.10     ;2.86      ;9.10        ;4.545    
508 ;* alf Lib                  ;* alf02 Lib                        ;222.71963789 -16.04177652          ; -105.68 -68.40     ;43.03     ;-10.0       ;2.75     
509 ;* nu. Her                  ;* nu. Her                          ;269.6256212212 +30.1892741714      ;     -0.81 2.18     ;3.79      ;-24.302     ;4.41     
510 ;NGC 2362                   ;NGC 2362                           ;109.6710 -24.9540                  ;   -2.791 2.953     ;0.742     ;28.90       ;     ~   
511 ;* eta Tau                  ;* eta Tau                          ;056.8711523037 +24.1051356519      ;   19.34 -43.67     ;8.09      ;5.40        ;2.87     
512 ;* 15 Mon                   ;* 15 Mon                           ;100.24441512 +09.89575637          ;    -2.61 -1.61     ;3.55      ;22.00       ;4.640    
513 ;* iot Tel                  ;* iot Tel                          ;293.8041097609399 -48.0991990457000; -8.190 -36.977     ;8.6546    ;22.45       ;4.879    
514 ;* eta Cas A                ;* eta Cas                          ;012.2762274762175 +57.8151772888100;1078.609 -551.133   ;168.8322  ;8.404       ;3.44     
515 ;* eta Per                  ;* eta Per                          ;042.6742066267 +55.8954965489      ;   16.23 -13.54     ;3.71      ;-1.784      ;3.79     
516 ;* gam02 Del                ;* gam02 Del                        ;311.6645825998600 +16.1242939540900;-30.476 -197.504    ;28.1359   ;-6.17       ;4.25     
517 ;NGC 3293                   ;NGC 3293                           ;158.9700 -58.2310                  ;   -7.671 3.344     ;0.376     ;-12.0       ;     ~   
518 ;* 52 Her A                 ;* 52 Her A                         ;252.3092379070400 +45.9833194835700; 23.069 -50.073     ;18.7586   ;~           ;4.826    
519 ;* alf For                  ;* alf For                          ;048.0188639875 -28.9876204678      ;  370.87 611.33     ;70.24     ;-16.917     ;3.85     
520 ;* Q Vel                    ;* Q Vel                            ;152.2343313096 -51.8112607522      ;    -14.96 0.48     ;2.45      ;14.00       ;4.845    
521 ;HR 4142                    ;HD 91496                           ;157.7585854927500 -73.2214926156200;   -7.605 7.754     ;2.5906    ;13.14       ;4.920    
522 ;* 113 Her                  ;* 113 Her                          ;283.6870207897500 +22.6450754137400;    6.571 1.305     ;7.5501    ;-23.8       ;4.60     
523 ;* lam Cen                  ;* lam Cen                          ;173.9453253782100 -63.0198349936100; -33.863 -7.236     ;8.277     ;-1.10       ;3.14     
524 ;* gam Cru                  ;* gam Cru                          ;187.79149838 -57.11321346          ;  28.23 -265.08     ;36.83     ;21.00       ;1.64     
525 ;* l Aql                    ;* l Aql                            ;309.5845187022000 -01.1051172504300; 18.766 -19.647     ;11.43     ;-5.6        ;4.33     
526 ;* omi Tau                  ;* omi Tau                          ;051.2033263270900 +09.0288696200100;-66.384 -74.413     ;15.0788   ;-19.79      ;3.600    
527 ;* chi Cet                  ;* chi Cet                          ;027.3962615252579 -10.6864086109725;-147.867 -93.480    ;42.5848   ;0.61        ;4.68     
528 ;* 25 CVn                   ;* 25 CVn                           ;204.36511590 +36.29489825          ;   -95.54 23.75     ;16.42     ;-10.40      ;4.82     
529 ;* rho Ori A                ;* rho Ori A                        ;078.3228308721800 +02.8612392074300;    6.014 3.700     ;13.329    ;46.39       ;4.48     
530 ;* del UMa                  ;* del UMa                          ;183.8565026362 +57.0326154461      ;    104.11 7.30     ;40.51     ;-15.30      ;3.320    
531 ;* 35 Com                   ;* 35 Com                           ;193.32394594 +21.24494701          ;  -37.66 -30.14     ;11.52     ;-6.091      ;4.91     
532 ;* eta Sgr                  ;* eta Sgr                          ;274.4068127158 -36.7616852008      ;-129.56 -166.26     ;22.35     ;0.20        ;3.11     
533 ;* gam Cir A                ;* gam Cir A                        ;230.844403300 -59.320702200        ;            ~ ~     ;      ~   ;-16.9       ;4.96     
534 ;* tet Pyx                  ;* tet Pyx                          ;140.3732929611600 -25.9654406299200; -12.860 -9.792     ;5.096     ;20.0        ;4.72     
535 ;* iot Vir                  ;* iot Vir                          ;214.0036229371 -06.0005453744      ; -26.31 -419.38     ;44.97     ;12.079      ;4.08     
536 ;* gam Cen                  ;* gam Cen                          ;190.37933367 -48.95987152          ;   -185.72 5.79     ;25.06     ;-5.50       ;2.17     
537 ;* d Vel                    ;* d Vel                            ;131.0997794755900 -42.6492774576200; -23.778 19.524     ;14.0387   ;-1.84       ;4.046    
538 ;* zet Her A                ;* zet Her A                        ;250.322770600 +31.601936900        ;            ~ ~     ;      ~   ;~           ;2.88     
539 ;* del Aql                  ;* del Aql                          ;291.37458914 +03.11477947          ;   254.54 82.51     ;64.41     ;-34.00      ;3.36     
540 ;* iot Cen                  ;* iot Cen                          ;200.1492200650396 -36.7123045812250;-339.615 -82.181    ;56.0571   ;0.10        ;2.73     
541 ;GES J12381825-6042585      ;GES J12381825-6042585              ;189.5760315730900 -60.7162567401000;  -6.511 -0.665     ;0.3724    ;-22.73      ;     ~   
542 ;* l Eri                    ;* l Eri                            ;069.5451004017046 -14.3040231848422;-80.036 -154.416    ;28.0378   ;43.33       ;3.87     
543 ;[SC96] Mis 190             ;[SC96] Mis 190                     ;253.7250 -40.7333                  ;            ~ ~     ;      ~   ;~           ;3.40     
544 ;* phi Cas                  ;* phi Cas                          ;020.0204852774400 +58.2316132344100;  -1.479 -1.231     ;0.2142    ;-18.90      ;4.98     
545 ;* nu. Ori                  ;* nu. Ori                          ;091.8930244829 +14.7684739156      ;    6.78 -20.23     ;6.32      ;24.1        ;4.397    
546 ;CCDM J15576+2652A          ;* eps CrB                          ;239.3968808417421 +26.8778796257681;-77.716 -60.971     ;13.4922   ;-32.42      ;4.130    
547 ;HR 4162                    ;HD 92036                           ;159.3071860489500 -27.4126355328100;-113.749 20.812     ;6.885     ;16.9        ;4.89     
548 ;* omi02 Cyg                ;* omi02 Cyg                        ;303.8680175512000 +47.7142260923600;   0.180 -2.319     ;3.2558    ;-14.4       ;3.98     
549 ;V* V415 Car                ;V* V415 Car                        ;102.4638089358 -53.6224494872      ;    -1.99 17.58     ;5.99      ;26.0        ;4.408    
550 ;* gam PsA                  ;* gam PsA                          ;343.1313756551800 -32.8754604893100;-30.953 -33.890     ;14.634    ;16.5        ;4.51     
551 ;* gam Cap                  ;* gam Cap                          ;325.0227353242 -16.6623075511      ;  187.56 -22.45     ;20.77     ;-31.20      ;3.67     
552 ;* zet01 UMa                ;* zet01 UMa                        ;200.9814261688220 +54.9253598833028;122.467 -22.682     ;40.2133   ;-5.6        ;2.220    
553 ;* mu. Vir                  ;* mu. Vir                          ;220.7650950908 -05.6582035311      ; 103.28 -318.63     ;54.73     ;5.10        ;3.88     
554 ;[SC96] GC 236              ;[SC96] GC 236                      ;268.4250 -34.7500                  ;            ~ ~     ;      ~   ;~           ;4.89     
555 ;* zet02 UMa                ;* zet02 UMa                        ;200.9846746374000 +54.9218093821200;114.529 -26.887     ;40.2803   ;-9.3        ;3.88     
556 ;HR 2934                    ;* Q Car                            ;113.9155095964200 -52.5338358656900; 22.335 -11.593     ;7.8078    ;62.0        ;4.920    
557 ;HR 4549                    ;HD 103079                          ;177.96344127 -65.20590704          ;   -33.88 -5.13     ;9.00      ;20.6        ;     ~   
558 ;* rho Leo                  ;* rho Leo                          ;158.2027986542 +09.3065859569      ;    -5.93 -3.40     ;0.60      ;42.00       ;3.870    
559 ;* eta Ser                  ;* eta Ser                          ;275.3275023167 -02.8988268319      ;-547.75 -701.42     ;53.93     ;9.380       ;3.25     
560 ;* g Eri                    ;* g Eri                            ;057.3635219946 -36.2002511222      ;  -49.18 -57.01     ;15.54     ;2.62        ;4.17     
561 ;* gam Tuc                  ;* gam Tuc                          ;349.3573185226400 -58.2357013761600; -10.769 74.585     ;44.0808   ;18.40       ;3.98     
562 ;* c Boo                    ;* c Boo                            ;226.8252747284799 +24.8691942795500;184.714 -164.279    ;51.1875   ;-11.20      ;4.93     
563 ;* I Car                    ;* I Car                            ;156.0987748808 -74.0316121050      ;  -16.29 -27.67     ;61.64     ;-4.70       ;4.01     
564 ;* kap02 Boo                ;* kap02 Boo                        ;213.3708653298600 +51.7899674584600;  61.899 -9.615     ;20.153    ;-15.60      ;4.51     
565 ;* k Sco                    ;* k Sco                            ;256.2056319036400 -34.1229282445500;   1.272 -2.049     ;0.9235    ;7.00        ;4.87     
566 ;* 47 Cyg                   ;* 47 Cyg                           ;308.4757837156300 +35.2508441796800;  -3.612 -4.166     ;0.8792    ;-4.63       ;4.636    
567 ;* del Ser                  ;* del Ser                          ;233.70061506 +10.53886800          ;    -71.48 3.64     ;14.30     ;-41.50      ;     ~   
568 ;* gam Leo                  ;* gam Leo                          ;154.99312733 +19.84148522          ; 304.30 -154.28     ;25.07     ;-36.24      ;2.37     
569 ;* ksi Her                  ;* ksi Her                          ;269.4411904642 +29.2478798636      ;   82.44 -18.73     ;23.84     ;-1.756      ;3.70     
570 ;* tet Cet                  ;* tet Cet                          ;021.0058553458 -08.1832559036      ; -77.94 -206.53     ;28.66     ;17.20       ;3.59     
571 ;HR 574                     ;HD 12055                           ;029.2919983922800 -47.3852797592700; 105.735 10.665     ;15.0311   ;13.36       ;4.834    
572 ;* ksi01 Cen                ;* ksi01 Cen                        ;195.8887712956200 -49.5272635817500;-47.858 -11.496     ;14.8276   ;0.00        ;4.826    
573 ;* zet And                  ;* zet And                          ;011.8346894567 +24.2671780142      ; -101.17 -81.77     ;17.24     ;-24.43      ;4.06     
574 ;* eps Hyi                  ;* eps Hyi                          ;039.8973383717 -68.2669473111      ;     87.30 0.09     ;21.48     ;13.60       ;4.096    
575 ;* omi Hya                  ;* omi Hya                          ;175.0532904262 -34.7446592672      ;   -43.24 -1.61     ;7.27      ;5.9         ;4.70     
576 ;* nu. Cas                  ;* nu. Cas                          ;012.2084228956400 +50.9681651272100;  29.453 -8.152     ;9.1537    ;9.00        ;4.891    
577 ;* eta Col                  ;* eta Col                          ;089.7866883054 -42.8151339389      ;   18.39 -10.87     ;6.91      ;17.00       ;3.96     
578 ;* 9 Peg                    ;* 9 Peg                            ;326.1278992246 +17.3500158506      ;    8.66 -11.33     ;3.52      ;-22.733     ;4.35     
579 ;* eta Cet                  ;* eta Cet                          ;017.1474645113 -10.1822658208      ; 215.61 -139.02     ;26.32     ;11.10       ;3.45     
580 ;* mu. Tau                  ;* mu. Tau                          ;063.8835752501900 +08.8923550849400; 19.770 -21.918     ;6.4463    ;16.30       ;4.279    
581 ;* del Eri                  ;* del Eri                          ;055.8120855748129 -09.7633919321942;-93.634 744.360     ;110.0254  ;-6.230      ;3.54     
582 ;* zet Del                  ;* zet Del                          ;308.8272318113 +14.6742131969      ;    45.52 11.74     ;14.82     ;-25.0       ;4.647    
583 ;* h Dra                    ;* h Dra                            ;254.0070385346 +65.1347953164      ;   237.79 50.84     ;65.54     ;-21.00      ;     ~   
584 ;* del Ari                  ;* del Ari                          ;047.9073527192 +19.7266776942      ;   153.33 -8.28     ;19.22     ;22.81       ;4.37     
585 ;* alf Crt                  ;* alf Crt                          ;164.9436048157617 -18.2987862206156;-462.303 128.614    ;20.3693   ;47.54       ;4.07     
586 ;* ksi And                  ;* ksi And                          ;020.5850836482100 +45.5287767357900;   31.681 9.024     ;14.6042   ;-12.97      ;4.868    
587 ;* eps Cir                  ;* eps Cir                          ;229.4120544547400 -63.6104675367800;    3.209 9.344     ;7.5809    ;-4.22       ;4.849    
588 ;2MASS J11143546-2112534    ;HE 1112-2056                       ;168.6477503313800 -21.2148465840300;  -2.879 -1.840     ;0.164     ;~           ;15.43    
589 ;* tau Ori                  ;* tau Ori                          ;079.4016190192 -06.8444083853      ;   -17.61 -9.24     ;6.60      ;20.1        ;3.59     
590 ;* sig Pup                  ;* sig Pup                          ;112.3076270487 -43.3014332394      ;  -59.55 188.31     ;16.84     ;87.30       ;3.25     
591 ;* rho Gru                  ;* rho Gru                          ;340.8749022675 -41.4143463050      ;   10.11 -93.79     ;14.16     ;30.89       ;4.835    
592 ;V* V424 Lac                ;V* V424 Lac                        ;344.1083266254200 +49.7335440800900;  -0.649 -2.768     ;1.4018    ;-10.37      ;4.94     
593 ;* 9 Boo                    ;* 9 Boo                            ;209.1424209469800 +27.4920814414000; 28.154 -48.279     ;5.2113    ;-41.07      ;5.000    
594 ;* e Leo                    ;* e Leo                            ;172.5787223020500 -03.0034997012900; 19.554 -16.149     ;6.5892    ;18.43       ;4.77     
595 ;* 72 Oph                   ;* 72 Oph                           ;271.8374330392 +09.5638472500      ;   -62.17 79.66     ;37.55     ;-23.90      ;3.73     
596 ;* mu. Vel                  ;* mu. Vel                          ;161.69241154 -49.42025679          ;   63.22 -54.21     ;27.84     ;6.20        ;2.69     
597 ;HD 110956                  ;HD 110956                          ;191.5946441500 -56.4888157236      ;  -33.03 -14.84     ;8.48      ;16.6        ;4.620    
598 ;* d Cen                    ;* d Cen                            ;202.7610691462 -39.4073052756      ;  -15.67 -10.49     ;3.60      ;-2.40       ;3.88     
599 ;* e Eri                    ;* e Eri                            ;049.9818788009275 -43.0697819967850;3035.017 726.964    ;165.5242  ;87.882      ;4.27     
600 ;* mu.01 Lup                ;* mu.01 Lup                        ;229.633450142 -47.875292086        ;    -23.3 -41.4     ;      ~   ;~           ;4.945    
601 ;GES J12382333-6042241      ;Cl* Trumpler 20 PMF 1785           ;189.597300 -60.706627              ;            ~ ~     ;      ~   ;-41.38      ;     ~   
602 ;V* V656 Her                ;V* V656 Her                        ;260.0786289228100 +18.0570792947700;  7.934 -56.648     ;7.1039    ;-45.66      ;5.00     
603 ;* gam Cir                  ;* gam Cir                          ;230.84434558 -59.32078142          ;  -12.97 -34.24     ;7.27      ;-16.90      ;     ~   
604 ;HR 2113                    ;HD 40657                           ;090.0139568080800 -03.0742584713800; 10.754 -73.701     ;9.7817    ;25.9        ;4.52     
605 ;* iot Aql                  ;* iot Aql                          ;294.1803237620000 -01.2865996151100; -1.426 -21.644     ;5.6673    ;-21.40      ;4.36     
606 ;* pi. CMa                  ;* pi. CMa                          ;103.9059601613300 -20.1364969045300;  51.109 39.971     ;33.5731   ;8.0         ;4.664    
607 ;* pi. Cen A                ;* pi. Cen A                        ;170.251685804 -54.491023561        ;     -39.6 -2.7     ;      ~   ;~           ;4.08     
608 ;* 68 Cyg                   ;* 68 Cyg                           ;319.6132759246900 +43.9459442077400;   4.632 -8.487     ;1.4498    ;1.0         ;5.00     
609 ;* eps Sgr                  ;* eps Sgr                          ;276.04299335 -34.38461649          ; -39.42 -124.20     ;22.76     ;-15.00      ;1.81     
610 ;* iot And                  ;* iot And                          ;354.5341720763 +43.2680735778      ;    27.64 -1.02     ;6.53      ;-0.5        ;4.29     
611 ;* ups Dra                  ;* ups Dra                          ;283.5993828255600 +71.2971962653700;  50.280 42.736     ;8.6601    ;-11.10      ;4.814    
612 ;* del Gem A                ;* del Gem                          ;110.0307490954 +21.9823160392      ;   -15.13 -9.79     ;53.94     ;4.1         ;3.53     
613 ;* tet Vir                  ;* tet Vir                          ;197.4874539107000 -05.5390040652200;-35.252 -33.302     ;11.1834   ;-3.353      ;4.397    
614 ;* mu.01 Sco                ;* mu.01 Sco                        ;252.9676181452900 -38.0473994640000;-10.451 -18.315     ;1.8732    ;-7.60       ;2.98     
615 ;* phi Per                  ;* phi Per                          ;025.9151580038 +50.6887313422      ;   24.59 -14.01     ;4.54      ;0.8         ;4.06     
616 ;* lam Mus                  ;* lam Mus                          ;176.4017464929 -66.7287622069      ;  -100.35 33.49     ;25.65     ;15.00       ;3.65     
617 ;* 71 Tau                   ;* 71 Tau                           ;066.5865450853900 +15.6183011354500; 87.435 -20.978     ;21.3958   ;38.3        ;4.480    
618 ;C 0712-310                 ;Cl Collinder 132                   ;108.4850 -30.7580                  ;   -4.140 3.732     ;1.501     ;26.0        ;3.6      
619 ;C 0652-245                 ;Cl Collinder 121                   ;104.0833 -24.7300                  ;     -5.11 4.58     ;      ~   ;31.4        ;2.6      
620 ;* 57 Cyg                   ;* 57 Cyg                           ;313.3114792825 +44.3872613478      ;    11.94 -2.08     ;6.21      ;-19.5       ;4.77     
621 ;* 9 Hya                    ;* 9 Hya                            ;130.4305673614300 -15.9433853547100;  3.416 -96.804     ;15.7077   ;-1.98       ;4.866    
622 ;* bet Com                  ;* bet Com                          ;197.9683076116925 +27.8781839748500;-800.720 882.301    ;108.7250  ;5.297       ;4.25     
623 ;* f Per                    ;* f Per                            ;063.7222183365200 +40.4836403779900; -1.000 -24.451     ;4.1967    ;-4.50       ;4.691    
624 ;* psi01 Aur                ;* psi01 Aur                        ;096.2245897925400 +49.2878920061000;  -0.155 -2.131     ;0.4426    ;4.40        ;4.75     
625 ;* c Car                    ;* c Car                            ;133.7617842537 -60.6446110589      ;   -28.18 41.48     ;10.20     ;25.00       ;3.80     
626 ;* gam Vir A                ;* gam Vir                          ;190.4151176200630 -01.4494039524575;-605.176 85.701     ;83.1935   ;-19.8       ;2.74     
627 ;* del Ori B                ;* del Ori B                        ;083.001708 -00.299136              ;        1.7 0.6     ;      ~   ;~           ;     ~   
628 ;* 16 Aur                   ;* 16 Aur                           ;079.5440425588 +33.3716134806      ;  31.63 -160.73     ;14.04     ;-28.44      ;     ~   
629 ;* 102 Her                  ;* 102 Her                          ;272.1895475788 +20.8145577417      ;    -1.92 -5.89     ;3.56      ;-14.90      ;4.347    
630 ;* zet Sgr                  ;* zet Sgr                          ;285.65304266 -29.88006330          ;    10.79 21.11     ;36.98     ;24.70       ;2.59     
631 ;V* X Sgr                   ;V* X Sgr                           ;266.8900997876200 -27.8307877163600; -4.948 -10.553     ;2.8057    ;-10.10      ;4.54     
632 ;* omi Per                  ;* omi Per                          ;056.07971685 +32.28824802          ;    8.18 -10.43     ;2.91      ;12.20       ;3.83     
633 ;* gam Cyg                  ;* gam Cyg                          ;305.5570909821 +40.2566791564      ;     2.39 -0.91     ;1.78      ;-5.906      ;2.23     
634 ;* y Car                    ;* y Car                            ;168.1500551389100 -60.3176263012700;   -6.302 2.021     ;0.3932    ;-8.40       ;4.62     
635 ;* kap Oph                  ;* kap Oph                          ;254.4170743746 +09.3750312767      ; -292.13 -10.38     ;35.66     ;-55.821     ;3.20     
636 ;* rho Boo                  ;* rho Boo                          ;217.9574555385208 +30.3714365700764;-100.531 119.870    ;19.8550   ;-13.57      ;3.59     
637 ;* 16 Com                   ;* 16 Com                           ;186.7470678949599 +26.8257017040400; -11.589 -9.138     ;11.9394   ;0.40        ;4.959    
638 ;* i Boo                    ;* i Boo                            ;225.94706520 +47.65406188          ;  -445.84 19.86     ;79.95     ;-17.89      ;     ~   
639 ;* alf Cha                  ;* alf Cha                          ;124.6314716208 -76.9197212311      ;  111.12 107.49     ;51.12     ;-13.40      ;4.047    
640 ;Weis 52699                 ;* 41 Com                           ;196.7947080094463 +27.6247376218361; 34.155 -69.539     ;8.5989    ;-17.38      ;4.69     
641 ;GES J12382279-6035046      ;Cl* Trumpler 20 PMF 4876           ;189.5949972485400 -60.5846009839500;   -7.122 0.208     ;0.2592    ;-40.39      ;     ~   
642 ;RX J1724.2+6957            ;RX J1724.2+6957                    ;261.07133 +69.94653                ;            ~ ~     ;      ~   ;11464       ;4.89     
643 ;* lam Leo                  ;* lam Leo                          ;142.9301147300 +22.9679695553      ;  -20.17 -39.47     ;9.91      ;24.27       ;4.31     
644 ;HR 2450                    ;HD 47667                           ;099.8196643045600 -14.1457618757500;   4.864 -6.656     ;3.1086    ;29.03       ;4.812    
645 ;GES J12382355-6034040      ;Cl* Trumpler 20 PMF 5291           ;189.5981964107100 -60.5677697795300;  -9.486 -1.096     ;0.2696    ;-19.01      ;     ~   
646 ;SN 1572A                   ;SN 1572A                           ;006.3397 +64.1408                  ;            ~ ~     ;      ~   ;~           ;     ~   
647 ;* 35 Ari                   ;* 35 Ari                           ;040.8629761644000 +27.7071494092900;  8.502 -11.433     ;5.2876    ;13          ;4.67     
648 ;* g Car                    ;* g Car                            ;139.0503035704 -57.5414724061      ;  -27.15 -14.18     ;6.68      ;-5.20       ;4.318    
649 ;* 13 Mon                   ;* 13 Mon                           ;098.2259495923200 +07.3329696976200;  -1.698 -4.845     ;1.2159    ;11.80       ;4.50     
650 ;* 110 Her                  ;* 110 Her                          ;281.4155236636863 +20.5463091906289;-9.086 -335.655     ;51.6743   ;22.772      ;4.19     
651 ;HR 8702                    ;HD 216446                          ;341.8711214726400 +83.1538287503500;  24.058 47.224     ;10.3313   ;-32.03      ;4.78     
652 ;GES J12382287-6040575      ;Cl* Trumpler 20 PMF 2357           ;189.5953067013900 -60.6826471661400;   -7.690 0.364     ;0.2636    ;-44.56      ;     ~   
653 ;* eta UMi                  ;* eta UMi                          ;244.3761260456899 +75.7553430783900;-77.647 245.726     ;33.419    ;-11.00      ;     ~   
654 ;* ups02 Hya                ;* ups02 Hya                        ;151.2811203338 -13.0646266981      ;   -39.39 19.65     ;10.40     ;24.30       ;4.588    
655 ;* alf Eri                  ;* alf Eri                          ;024.42852283 -57.23675281          ;   87.00 -38.24     ;23.39     ;18.60       ;0.46     
656 ;* zet CrA                  ;* zet CrA                          ;285.7786540846 -42.0951071711      ;   56.41 -46.43     ;16.89     ;-13.00      ;4.725    
657 ;V* Y CVn                   ;V* Y CVn                           ;191.2826086731900 +45.4402573078900;  -2.968 13.063     ;3.2222    ;15.30       ;4.87     
