C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
26  ;* 8 And                            ;V* ;349.4360302737600 +49.0153008141400;   33.779 6.213     ;5.6963    ;-8.05      ;6.53     ;4.86     ;3.40     
27  ;* 11 And                           ;PM*;349.8741989174300 +48.6253230796400;  22.130 52.573     ;11.3828   ;9.99       ;6.453    ;5.440    ;     ~   
28  ;* 5 And                            ;PM*;346.9390981254900 +49.2957751240400;151.592 131.723     ;29.0956   ;-2.516     ;6.14     ;     ~   ;5.4      
29  ;* 18 And                           ;*  ;354.7847152248800 +50.4717326487800; -17.057 -2.041     ;7.7914    ;9.90       ;5.24     ;5.35     ;     ~   
30  ;* omi Cas                          ;Be*;011.1813277708 +48.2843648814      ;    18.84 -7.18     ;4.64      ;-16.9      ;4.44     ;4.50     ;4.45     
31  ;* 68 Cas                           ;*  ;011.1091314641900 +47.8639841342800;  -39.855 8.455     ;4.453     ;-66.00     ;5.520    ;5.648    ;     ~   
32  ;* phi And                          ;Be*;017.37552340 +47.24179429          ;    4.05 -12.43     ;4.55      ;-2.20      ;4.18     ;4.25     ;4.22     
33  ;* 49 And                           ;*  ;022.5254229597800 +47.0072725344400; -0.950 -42.638     ;9.7947    ;-11.48     ;6.261    ;5.261    ;     ~   
34  ;* b And                            ;SB*;033.3055091634783 +44.2316466494814;  -20.90 -14.46     ;5.2634    ;-48.00     ;6.320    ;4.826    ;     ~   
35  ;* 12 Per                           ;SB*;040.5621440309600 +40.1939504812500;-18.669 -186.190    ;41.7962   ;-23.04     ;5.51     ;4.92     ;4.42     
36  ;NAME Gorgonea Secunda              ;*  ;044.6902923413800 +39.6627265502000; 25.048 -41.522     ;10.4437   ;14.2       ;4.76     ;4.70     ;4.60     
37  ;NAME Gorgonea Tertia               ;LP*;046.29414106 +38.84027619          ; 129.22 -105.70     ;10.60     ;30.81      ;5.04     ;3.39     ;1.59     
38  ;* nu. Cyg                          ;** ;314.2934127850 +41.1671386414      ;    9.64 -22.75     ;8.71      ;-27.60     ;3.96     ;3.94     ;3.89     
39  ;* ksi Cyg                          ;SB*;316.2327595458 +43.9278512389      ;      7.97 0.06     ;3.87      ;-19.10     ;5.39     ;3.73     ;2.55     
40  ;* 68 Cyg                           ;SB*;319.6132759246900 +43.9459442077400;   4.632 -8.487     ;1.4498    ;1.0        ;4.99     ;5.00     ;     ~   
41  ;* g Cyg                            ;PM*;322.3622906933300 +46.5405855474900; 43.166 104.326     ;15.2865   ;-21.54     ;6.188    ;5.217    ;     ~   
42  ;* rho Cyg                          ;PM*;323.4952210208758 +45.5918389042942;-24.341 -93.511     ;25.9359   ;6.88       ;4.91     ;4.02     ;3.31     
43  ;* alf Lac                          ;PM*;337.8229221208 +50.2824911667      ;   137.51 17.01     ;31.79     ;-4.50      ;3.78     ;3.77     ;3.77     
44  ;* 4 Lac                            ;*  ;336.1291312202000 +49.4763918290700;  -5.274 -3.303     ;1.2656    ;-26.00     ;4.67     ;4.58     ;4.45     
45  ;* 9 Lac                            ;PM*;339.3434052733 +51.5451217614      ; -51.83 -103.80     ;19.00     ;10.10      ;4.87     ;4.63     ;4.41     
46  ;* 3 And                            ;PM*;346.0457612009799 +50.0520904235800;165.837 167.716     ;17.2629   ;-34.90     ;5.71     ;     ~   ;4.0      
47  ;* nu. Cas                          ;V* ;012.2084228956400 +50.9681651272100;  29.453 -8.152     ;9.1537    ;9.00       ;4.789    ;4.891    ;     ~   
48  ;* ksi Cas                          ;SB*;010.5162175316100 +50.5125334455400;  16.126 -6.050     ;2.9022    ;-10.0      ;4.71     ;4.81     ;4.82     
49  ;NAME Nembus                        ;PM*;024.4981541358 +48.6282137592      ;  61.95 -112.15     ;18.41     ;16.264     ;4.85     ;3.57     ;2.61     
50  ;* 3 Per                            ;*  ;029.6396081751900 +49.2043529334200;   7.051 41.686     ;12.694    ;-0.44      ;6.706    ;5.702    ;     ~   
51  ;* c And                            ;PM*;034.8199871981980 +47.3799758983489;   -60.03 -5.61     ;11.9531   ;-29.6      ;5.310    ;5.310    ;     ~   
52  ;* 14 Per                           ;*  ;041.0215001156600 +44.2970392809300;   2.314 -6.229     ;2.3511    ;-1.22      ;6.320    ;5.435    ;     ~   
53  ;NAME Gorgonea Quarta               ;*  ;047.8224233704 +39.6115837217      ;    -26.26 5.40     ;11.32     ;6.87       ;5.728    ;4.607    ;     ~   
54  ;NAME Algol                         ;EB*;047.0422185563 +40.9556466703      ;     2.99 -1.66     ;36.27     ;4.0        ;2.07     ;2.12     ;2.08     
55  ;NAME SADR                          ;V* ;305.5570909821 +40.2566791564      ;     2.39 -0.91     ;1.78      ;-5.906     ;2.90     ;2.23     ;1.74     
56  ;* 56 Cyg                           ;PM*;312.5205485548600 +44.0593032108400;123.197 132.062     ;24.2284   ;-21.50     ;     ~   ;     ~   ;4.9      
57  ;* 57 Cyg                           ;EB*;313.3114792825 +44.3872613478      ;    11.94 -2.08     ;6.21      ;-19.5      ;4.63     ;4.77     ;4.84     
58  ;* 60 Cyg                           ;Be*;315.2955322722800 +46.1557764418600;    7.724 1.656     ;2.6621    ;-11.60     ;5.226    ;5.432    ;     ~   
59  ;* pi.02 Cyg                        ;SB*;326.6983679908 +49.3095697489      ;     2.77 -2.00     ;2.95      ;-12.3      ;4.11     ;4.18     ;     ~   
60  ;* bet Lac                          ;** ;335.8900989442 +52.2290457375      ; -13.25 -186.77     ;19.19     ;-11.42     ;5.46     ;4.44     ;3.67     
61  ;NAME Fulu                          ;Pu*;009.2428507775 +53.8969075864      ;    17.38 -9.86     ;5.50      ;-0.20      ;3.47     ;3.66     ;3.74     
62  ;* mu. Cas                          ;SB*;017.0679289393637 +54.9201558892397;3468.251 -1564.844  ;130.2881  ;-98.10     ;5.86     ;5.17     ;4.55     
63  ;* 2 Per                            ;SB*;028.0390512861400 +50.7927928087800; 17.532 -29.090     ;6.8219    ;11.40      ;5.623    ;5.689    ;     ~   
64  ;* 6 Per                            ;SB*;033.4014298184971 +51.0657799862975;342.991 -163.937    ;18.1422   ;31.46      ;6.24     ;     ~   ;4.7      
65  ;* 65 And                           ;*  ;036.4059290671700 +50.2786287040900; 24.289 -14.483     ;7.6317    ;-4.93      ;6.249    ;4.710    ;     ~   
66  ;* 63 And                           ;a2*;035.2425064303700 +50.1514958956100; 39.818 -31.607     ;8.5275    ;-0.30      ;5.46     ;5.59     ;     ~   
67  ;* 64 And                           ;*  ;036.1038166422500 +50.0065433325100; 24.574 -35.977     ;8.0682    ;-13.34     ;6.17     ;5.19     ;     ~   
68  ;NAME Misam                         ;PM*;047.3741818335442 +44.8574582857297;165.691 -138.559    ;28.7314   ;29.40      ;4.79     ;3.81     ;3.07     
69  ;* 30 Per                           ;SB*;049.4473041754800 +44.0250227514300; 27.233 -24.503     ;4.9025    ;4.00       ;5.409    ;5.476    ;     ~   
70  ;* l Per                            ;PM*;050.3606615005000 +43.3296508679400; -61.008 -0.964     ;20.9522   ;-9.00      ;5.006    ;4.946    ;     ~   
71  ;NAME Deneb                         ;sg*;310.35797975 +45.28033881          ;      2.01 1.85     ;2.31      ;-4.90      ;1.34     ;1.25     ;1.14     
72  ;* 55 Cyg                           ;s*b;312.2345483006000 +46.1141343458400;  -2.233 -2.516     ;0.5435    ;-7.2       ;5.28     ;4.86     ;4.41     
73  ;* f02 Cyg                          ;*  ;316.6503908975 +47.6484025083      ;     6.53 -1.41     ;3.16      ;-26.32     ;6.079    ;4.514    ;     ~   
74  ;* f01 Cyg                          ;Be*;314.9564755197900 +47.5209343740100;    7.857 4.065     ;1.4681    ;1.40       ;4.71     ;4.75     ;4.62     
75  ;NAME Azelfafage                    ;SB*;325.5236024242 +51.1896226439      ;     5.29 -1.78     ;1.89      ;-8.20      ;4.55     ;4.66     ;     ~   
76  ;* tau Cas                          ;PM*;356.7643932733900 +58.6519910357300;  60.379 56.828     ;18.7789   ;-20.48     ;5.993    ;4.873    ;     ~   
77  ;* rho Cas                          ;LP*;358.5959688760500 +57.4993818715000;  -4.699 -3.112     ;0.9470    ;-54.30     ;5.85     ;4.59     ;3.63     
78  ;NAME Schedar                       ;PM*;010.1268377829 +56.5373311583      ;   50.88 -32.13     ;14.29     ;-4.204     ;3.40     ;2.23     ;1.45     
79  ;NAME Achird                        ;PM*;012.2762274762175 +57.8151772888100;1078.609 -551.133   ;168.8322  ;8.404      ;4.02     ;3.44     ;2.94     
80  ;* tet Cas                          ;PM*;017.7756760283 +55.1499020164      ;  226.77 -18.75     ;24.42     ;2.50       ;4.510    ;4.330    ;4.16     
81  ;* 1 Per                            ;EB*;027.9971670169200 +55.1473843593700;  12.716 -8.410     ;2.6944    ;-5.40      ;5.34     ;5.52     ;     ~   
82  ;* g Per                            ;*  ;030.5754516905400 +54.4875403155500;  34.245 -2.924     ;4.0763    ;-2.30      ;4.96     ;5.04     ;5.01     
83  ;* tet Per                          ;PM*;041.0499442308762 +49.2284485192150;334.708 -89.251     ;89.6850   ;24.394     ;4.62     ;4.11     ;3.67     
84  ;* nu. Per                          ;*  ;056.2984668088 +42.5785508022      ;    -14.45 2.53     ;5.86      ;-12.10     ;4.22     ;3.80     ;3.40     
85  ;* 51 Cyg                           ;*  ;310.5526271694100 +50.3400186015400;    2.629 3.946     ;2.6729    ;-4.70      ;5.286    ;5.401    ;     ~   
86  ;* 13 Cep                           ;V* ;328.7214745337200 +56.6112263958200;  -3.825 -2.638     ;0.9126    ;-20.40     ;6.52     ;5.80     ;5.12     
87  ;* 14 Cep                           ;SB*;330.5190526126099 +58.0003638218100;  -3.096 -2.611     ;0.907     ;-11.33     ;5.551    ;5.542    ;     ~   
88  ;* zet Cep                          ;EB*;332.7136538163 +58.2012626631      ;     13.52 5.24     ;3.90      ;-17.83     ;4.90     ;3.35     ;2.27     
89  ;* eps Cep                          ;dS*;333.7591554115146 +57.0435685376581; 423.159 52.691     ;38.1598   ;-4.70      ;4.47     ;     ~   ;4.0      
90  ;* del Cep                          ;cC*;337.2927709100 +58.4151982933      ;     15.35 3.52     ;3.77      ;-24.00     ;4.35     ;3.75     ;     ~   
91  ;* 1 Cas                            ;*  ;346.6534077321 +59.4197599161      ;     6.94 -1.95     ;2.89      ;-9.10      ;4.771    ;4.840    ;     ~   
92  ;* 2 Cas                            ;*  ;347.4339120861600 +59.3326908497600;    0.335 0.552     ;1.19      ;-12.0      ;5.977    ;5.679    ;     ~   
93  ;NAME Caph                          ;dS*;002.29452158 +59.14978110          ; 523.50 -179.77     ;59.58     ;4.30       ;2.61     ;2.27     ;1.97     
94  ;* ups01 Cas                        ;PM*;013.7506487615800 +58.9726992072100;-31.200 -44.986     ;9.062     ;-22.36     ;6.042    ;4.820    ;     ~   
95  ;NAME Castula                       ;Pe*;014.1662714433700 +59.1810570241900;-92.611 -45.397     ;16.6465   ;-47.941    ;5.581    ;4.622    ;     ~   
96  ;* gam Cas                          ;Be*;014.1772154 +60.7167403            ;    25.65 -3.82     ;5.32      ;-6.8       ;2.29     ;2.39     ;2.32     
97  ;* chi Cas                          ;*  ;023.4828394889600 +59.2320539143100;-44.188 -18.538     ;16.2553   ;6.66       ;5.675    ;4.681    ;     ~   
98  ;* phi Cas                          ;s*y;020.0204852774400 +58.2316132344100;  -1.479 -1.231     ;0.2142    ;-18.90     ;5.66     ;4.98     ;4.34     
99  ;* i Per                            ;sg*;035.5893096279400 +55.8456528759100;   0.640 -1.692     ;0.7852    ;-15.2      ;5.54     ;5.17     ;4.79     
100 ;* tau Per                          ;EB*;043.5644905034600 +52.7624674264700;  -8.311 -2.580     ;12.3726   ;2.20       ;4.71     ;3.96     ;3.33     
101 ;* 29 Per                           ;*  ;049.6572570530000 +50.2221763049100; 23.008 -24.435     ;5.5326    ;-1.50      ;5.074    ;5.157    ;     ~   
102 ;* iot Per                          ;PM*;047.2667470883371 +49.6132783481508;1262.193 -91.083    ;94.5412   ;49.461     ;4.64     ;     ~   ;3.7      
103 ;* 31 Per                           ;*  ;049.7818303531400 +50.0949693787300; 22.756 -24.446     ;5.7653    ;-1.60      ;4.962    ;5.032    ;     ~   
104 ;* sig Per                          ;V* ;052.6436890250900 +47.9952163484000;   3.954 18.968     ;9.506     ;14.36      ;5.71     ;4.36     ;     ~   
105 ;* 36 Per                           ;PM*;053.1094136030700 +46.0568615573800;-53.125 -74.830     ;27.0579   ;-49.0      ;5.73     ;5.32     ;4.91     
106 ;* 30 Cyg                           ;V* ;303.3252244331900 +46.8156752644300;  13.597 -1.396     ;5.1207    ;-26.00     ;4.911    ;4.819    ;     ~   
107 ;* omi02 Cyg                        ;EB*;303.8680175512000 +47.7142260923600;   0.180 -2.319     ;3.2558    ;-14.4      ;5.50     ;3.98     ;2.78     
108 ;* 43 Cyg                           ;gD*;306.7594478900400 +49.3833623318200;  68.774 56.819     ;25.6035   ;-20.0      ;6.024    ;5.715    ;     ~   
109 ;* ome01 Cyg                        ;Pu*;307.5147539413700 +48.9515668247800;   10.058 6.873     ;2.5459    ;-21.90     ;4.835    ;4.936    ;     ~   
110 ;* ome02 Cyg                        ;*  ;307.8284022818300 +49.2202954980400;  8.959 -32.092     ;7.1833    ;-64.15     ;6.99     ;5.44     ;     ~   
111 ;NAME Herschel's Garnet Star        ;s*r;325.8769210725 +58.7800444947      ;     5.36 -3.51     ;0.55      ;23.00      ;6.43     ;4.08     ;1.98     
112 ;* lam Cep                          ;s*b;332.8774021296000 +59.4144872958000; -7.020 -10.812     ;1.1761    ;-75.10     ;5.29     ;5.05     ;4.77     
113 ;* 4 Cas                            ;V* ;351.2094265613 +62.2828081542      ;   12.29 -12.44     ;4.15      ;-38.98     ;6.592    ;4.955    ;     ~   
114 ;* 10 Cas                           ;Be*;001.6105721928200 +64.1961579699500;    9.248 0.828     ;3.407     ;-0.90      ;5.56     ;5.59     ;     ~   
115 ;* 9 Cas                            ;*  ;001.0569268875700 +62.2876642308100;  -0.936 -0.263     ;1.3781    ;-16.90     ;6.154    ;5.884    ;     ~   
116 ;* 12 Cas                           ;*  ;006.1979394689500 +61.8310578050800;  14.126 -2.715     ;3.8102    ;-4.00      ;5.375    ;5.377    ;     ~   
117 ;* kap Cas                          ;s*b;008.2499633179 +62.9317826039      ;     3.65 -2.07     ;0.73      ;0.30       ;4.30     ;4.16     ;4.02     
118 ;NAME Ruchbah                       ;EB*;021.4539644621 +60.2352840297      ;  296.57 -49.22     ;32.81     ;6.70       ;2.810    ;2.680    ;2.53     
119 ;* 44 Cas                           ;*  ;025.8323194590000 +60.5513324754700; 13.111 -11.845     ;3.5725    ;-30.50     ;5.76     ;5.76     ;     ~   
120 ;* 8 Per                            ;PM*;034.4995301125600 +57.8998213212200;   60.692 5.556     ;7.8978    ;1.10       ;6.951    ;5.748    ;     ~   
121 ;* 10 Per                           ;s*b;036.3167847709200 +56.6098206748000;  -0.508 -1.182     ;0.4424    ;-46.0      ;6.56     ;6.26     ;5.93     
122 ;* 11 Per                           ;*  ;040.7618251056400 +55.1060183877400; 34.979 -21.712     ;7.7748    ;-0.70      ;5.639    ;5.753    ;     ~   
123 ;NAME Miram                         ;*  ;042.6742066267 +55.8954965489      ;   16.23 -13.54     ;3.71      ;-1.784     ;5.48     ;3.79     ;2.56     
124 ;* gam Per                          ;EB*;046.1991280875 +53.5064357569      ;     0.51 -5.92     ;13.41     ;3.13       ;3.63     ;2.93     ;2.34     
125 ;NAME Mirfak                        ;V* ;051.0807087183 +49.8611792931      ;   23.75 -26.23     ;6.44      ;-2.158     ;2.27     ;1.79     ;     ~   
126 ;* 34 Per                           ;*  ;052.34187580 +49.50894762          ;   22.20 -29.49     ;6.05      ;-3.50      ;4.610    ;4.735    ;     ~   
127 ;* psi Per                          ;Be*;054.1224159279 +48.1926330392      ;   22.55 -27.78     ;5.59      ;-1.1       ;4.17     ;4.23     ;     ~   
128 ;* del Per                          ;Be*;055.7312677338 +47.7875485092      ;   25.58 -43.06     ;6.32      ;4.00       ;2.89     ;3.01     ;2.99     
129 ;* 14 Cyg                           ;*  ;294.8603859220500 +42.8182614066900;  17.080 33.091     ;6.1689    ;-27.5      ;5.32     ;5.40     ;     ~   
130 ;NAME Fawaris                       ;PM*;296.2436605888 +45.1308100183      ;    44.07 48.66     ;19.77     ;-23.60     ;2.85     ;2.87     ;2.88     
131 ;* e Cyg                            ;*  ;300.3398474439200 +50.1046932813000;   16.400 5.490     ;7.209     ;-0.25      ;6.170    ;5.048    ;     ~   
132 ;* ups Cep                          ;SB*;311.3380366192 +57.5797244356      ; -62.32 -236.00     ;36.64     ;-34.540    ;5.05     ;     ~   ;4.2      
133 ;* nu. Cep                          ;sg*;326.3621865783 +61.1208055269      ;    -3.74 -2.10     ;0.48      ;-25.90     ;4.81     ;4.29     ;3.79     
134 ;* 12 Cep                           ;*  ;326.8553972324200 +60.6926887364900;  -9.940 -2.300     ;7.8978    ;-21.03     ;7.056    ;5.514    ;     ~   
135 ;* 9 Cep                            ;Pu*;324.4801005810100 +62.0819417713300;  -2.007 -4.293     ;1.0251    ;-13.50     ;5.03     ;4.73     ;4.42     
136 ;* 19 Cep                           ;*  ;331.2866239721200 +62.2798146027600;  -1.595 -3.026     ;1.0221    ;-12.30     ;5.19     ;5.11     ;4.95     
137 ;* 25 Cep                           ;*  ;334.5526993843799 +62.8043900379400;  41.430 10.791     ;5.1573    ;-4.62      ;7.010    ;5.741    ;     ~   
138 ;* 18 Cep                           ;LP?;330.9707376844300 +63.1199208487300;  37.041 58.292     ;7.5328    ;-5.30      ;6.767    ;5.300    ;     ~   
139 ;* 20 Cep                           ;PM*;331.2520784900299 +62.7856711975100;  14.416 58.123     ;10.6734   ;-23.49     ;6.699    ;5.265    ;     ~   
140 ;NAME Kurhah                        ;** ;330.94772911 +64.62797577          ;   215.46 91.06     ;33.79     ;-10.74     ;4.63     ;4.29     ;3.97     
141 ;* 26 Cep                           ;*  ;336.7721269584100 +65.1322667631100;  -0.587 -3.079     ;0.9686    ;-12.70     ;5.806    ;5.515    ;     ~   
142 ;* 30 Cep                           ;*  ;339.6627156619500 +63.5844713744100;  0.196 -19.295     ;10.6477   ;10.40      ;5.254    ;5.188    ;     ~   
143 ;* iot Cep                          ;PM*;342.4200705979 +66.2004065600      ; -65.89 -125.17     ;28.29     ;-12.763    ;4.60     ;3.54     ;2.69     
144 ;* 32 Cas                           ;V* ;017.9225100626400 +65.0188538305700; 23.217 -12.524     ;8.0823    ;3.10       ;5.487    ;5.564    ;     ~   
145 ;NAME Segin                         ;Be*;028.5988920257000 +63.6701000663300; 29.587 -18.387     ;7.0037    ;-8.30      ;3.22     ;3.37     ;3.40     
146 ;* k Per                            ;PM*;046.3850479466800 +56.7057188123200; -12.960 69.781     ;15.1897   ;-45.65     ;5.794    ;4.766    ;     ~   
147 ;* 43 Per                           ;SB*;059.1521668176400 +50.6953762032000;92.334 -129.655     ;26.217    ;39.10      ;     ~   ;     ~   ;5.0      
148 ;* c Per                            ;Be*;062.1653839908 +47.7125119269      ;   21.73 -33.61     ;6.84      ;0.8        ;4.00     ;4.03     ;3.91     
149 ;* psi Cyg                          ;SB*;298.9074524163700 +52.4389390157600;-37.044 -27.970     ;11.5546   ;-10.00     ;5.12     ;5.02     ;     ~   
150 ;* 33 Cyg                           ;PM*;303.3494442246 +56.5677222014      ;    61.82 82.18     ;20.48     ;-18.00     ;4.384    ;4.271    ;     ~   
151 ;NAME Alderamin                     ;PM*;319.64488470 +62.58557446          ;   150.55 49.09     ;66.50     ;-15.80     ;2.680    ;2.460    ;2.22     
152 ;* 6 Cep                            ;Be*;319.8425843600 +64.8718561431      ;      5.20 5.69     ;1.64      ;-16.50     ;5.14     ;5.18     ;     ~   
153 ;* 31 Cas                           ;*  ;017.6638433603100 +68.7786226794900; 35.202 -26.792     ;10.6799   ;4.70       ;5.280    ;5.309    ;     ~   
154 ;* psi Cas                          ;PM*;021.4834265888 +68.1300127772      ;    75.50 26.93     ;16.72     ;-12.83     ;5.780    ;4.727    ;     ~   
155 ;* 43 Cas                           ;a2*;025.5855289300300 +68.0430251359100;  53.076 -9.030     ;7.696     ;5.1        ;5.52     ;5.59     ;     ~   
156 ;* 53 Cas                           ;*  ;030.7507817156500 +64.3900180185900;  -0.881 -2.204     ;1.077     ;-24.30     ;5.930    ;5.614    ;     ~   
157 ;* 52 Cas                           ;*  ;030.7186495829800 +64.9014640117400;-13.287 -12.328     ;12.0776   ;-26.60     ;6.012    ;5.986    ;     ~   
158 ;* lam Per                          ;*  ;061.6460149808 +50.3512638775      ;  -12.75 -35.60     ;7.73      ;6.1        ;4.31     ;4.29     ;4.21     
159 ;* mu. Per                          ;SB*;063.7244271987 +48.4093308800      ;    5.52 -17.37     ;3.62      ;26.46      ;5.12     ;4.16     ;3.38     
160 ;* d Per                            ;bC*;065.3881926825000 +46.4988791227600; 21.659 -35.177     ;6.8802    ;7.30       ;4.757    ;4.812    ;     ~   
161 ;* tet Cyg                          ;PM*;294.1105598179 +50.2211012703      ;   -8.87 262.45     ;54.54     ;-27.581    ;4.86     ;4.48     ;4.13     
162 ;* 16 Cyg B                         ;PM*;295.4665528239400 +50.5175247308100;-134.482 -162.698   ;47.3302   ;-27.73     ;6.86     ;6.20     ;5.76     
163 ;* 16 Cyg A                         ;** ;295.4539729150700 +50.5250609824400;-148.034 -159.030   ;47.3239   ;-27.61     ;6.59     ;5.95     ;5.50     
164 ;* d Cyg                            ;PM*;297.6571813696754 +52.9879973181400;-10.838 -69.524     ;16.2339   ;-22.04     ;6.31     ;5.03     ;     ~   
165 ;* tet Cep                          ;SB*;307.3954386101400 +62.9941103348500; 34.798 -13.904     ;23.481    ;-6.8       ;4.42     ;4.22     ;4.05     
166 ;* eta Cep                          ;PM*;311.3223981417 +61.8387824269      ;   86.50 818.02     ;70.10     ;-87.407    ;4.320    ;3.410    ;2.76     
167 ;* 7 Cep                            ;*  ;321.9422575919600 +66.8090969828900;-11.446 -20.346     ;4.3485    ;3.00       ;5.299    ;5.410    ;     ~   
168 ;* 38 Cas                           ;SB*;022.8073196542900 +70.2645998266300;136.672 -75.007     ;36.2634   ;9.81       ;     ~   ;     ~   ;5.6      
169 ;* 42 Cas                           ;EB*;025.7327636534000 +70.6225255840500; 76.295 -14.091     ;11.1166   ;6.60       ;5.143    ;5.174    ;     ~   
170 ;* ome Cas                          ;SB*;029.0001179194500 +68.6852399760700; 15.067 -10.313     ;4.4802    ;-23.8      ;4.874    ;4.968    ;     ~   
171 ;* b02 Per                          ;V* ;065.0479690642600 +50.9209347287000;   0.044 -6.166     ;2.1654    ;-17.80     ;5.507    ;5.545    ;     ~   
172 ;* b Per                            ;SB*;064.5609037442 +50.2955015944      ;   45.42 -56.72     ;10.40     ;19.8       ;4.639    ;4.594    ;     ~   
173 ;* 59 Per                           ;PM*;070.7264017916500 +43.3651202112000; 33.242 -47.640     ;14.0923   ;13.20      ;5.319    ;5.298    ;     ~   
