C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
210 ;* gam Mic  ;* gam Mic                          ;*  ;21 01 17.4604727 -32 15 27.957367      ;     -1.73 0.41    ;     ~
211 ;* gam Mon  ;* gam Mon                          ;*  ;06 14 51.3336645 -06 16 29.188011      ;   -4.69 -19.30    ; 6.69 
212 ;* gam Mus  ;* gam Mus                          ;SB*;12 32 28.0134336 -72 07 58.759701      ;   -51.34 -5.40    ; 3.12 
213 ;* gam Nor  ;* gam Nor                          ;** ;16 18 00.0 -50 06 00                   ;            ~ ~    ;     ~
214 ;* gam Oph  ;* gam Oph                          ;PM*;17 47 53.5597327 +02 42 26.199985      ;  -24.64 -74.42    ; 3.83 
215 ;* gam Ori  ;* gam Ori                          ;V* ;05 25 07.86325 +06 20 58.9318          ;   -8.11 -12.88    ; 0.54 
216 ;* gam Pav  ;* gam Pav                          ;PM*;21 26 26.6049826473 -65 21 58.313057521; 80.815 800.573    ; 4.57 
217 ;V* gam Peg ;* gam Peg                          ;bC*;00 13 14.1512308 +15 11 00.936759      ;     1.98 -9.28    ; 1.75 
218 ;* gam Per  ;* gam Per                          ;EB*;03 04 47.7907410 +53 30 23.168725      ;     0.51 -5.92    ; 4.08 
219 ;V* gam Phe ;* gam Phe                          ;SB*;01 28 21.9272669 -43 19 05.650173      ; -18.06 -208.63    ;     ~
220 ;* gam Pic  ;* gam Pic                          ;PM*;05 49 49.6618144 -56 09 59.980752      ;   81.13 -71.12    ;     ~
221 ;* gam Psc  ;* gam Psc                          ;PM*;23 17 09.9374911 +03 16 56.237975      ;   759.82 17.77    ; 5.20 
222 ;* gam PsA  ;* gam PsA                          ;*  ;22 52 31.5228460911 -32 52 31.704082197;-25.039 -30.933    ; 4.28 
223 ;* gam Pyx  ;* gam Pyx                          ;PM*;08 50 31.9228221 -27 42 35.442108      ;  -134.31 87.89    ; 6.67 
224 ;* gam Ret  ;* gam Ret                          ;LP*;04 00 53.8085989 -62 09 33.425014      ;     3.03 34.67    ; 7.93 
225 ;* gam Sge  ;* gam Sge                          ;PM*;19 58 45.4286265 +19 29 31.728079      ;    66.21 22.22    ; 6.97 
226 ;* gam Sgr  ;* gam02 Sgr                        ;PM*;18 05 48.4880988 -30 25 26.723458      ; -53.92 -180.90    ; 4.77 
227 ;* gam Scl  ;* gam Scl                          ;PM*;23 18 49.4407630 -32 31 55.288965      ;   20.13 -77.72    ;     ~
228 ;* gam Sct  ;* gam Sct                          ;*  ;18 29 11.8538827 -14 33 56.931865      ;     3.22 -4.02    ;     ~
229 ;* gam Ser  ;* gam Ser                          ;PM*;15 56 27.1826948 +15 39 41.820500      ;310.93 -1282.19    ; 4.31 
230 ;* gam Sex  ;* gam Sex                          ;** ;09 52 30.43727 -08 06 18.1269          ;  -57.28 -49.26    ;     ~
231 ;* gam Tau  ;* gam Tau                          ;** ;04 19 47.6038491 +15 37 39.515422      ;  115.46 -23.42    ; 5.46 
232 ;* gam Tri  ;* gam Tri                          ;PM*;02 17 18.8670335 +33 50 49.895049      ;   44.64 -52.57    ;     ~
233 ;* gam TrA  ;* gam TrA                          ;PM*;15 18 54.5819834 -68 40 46.365362      ;  -66.58 -32.31    ; 2.87 
234 ;* gam Tuc  ;* gam Tuc                          ;PM*;23 17 25.7507806263 -58 14 08.707239934;  -7.776 86.245    ; 4.35 
235 ;* gam UMa  ;* gam UMa                          ;Em*;11 53 49.8473166 +53 41 41.135025      ;   107.68 11.01    ; 2.440
236 ;V* gam UMi ;* gam UMi                          ;dS*;15 20 43.7160391 +71 50 02.459561      ;   -17.73 17.90    ;     ~
237 ;* gam Vel  ;* gam02 Vel                        ;WR*;08 09 31.95013 -47 20 11.7108          ;    -6.07 10.43    ; 0.64 
238 ;* gam Vir  ;* gam Vir                          ;PM*;12 41 39.6282288151 -01 26 57.854228847;-605.176 85.701    ; 3.07 
239 ;* del And  ;* del And                          ;SB*;00 39 19.6751809 +30 51 39.678320      ;  114.45 -84.02    ; 6.04 
240 ;* del Ant  ;* del Ant                          ;*  ;10 29 35.3822401873 -30 36 25.422376542;  -32.512 0.918    ; 5.34 
241 ;* del Aqr  ;* del Aqr                          ;PM*;22 54 39.0114202204 -15 49 14.848081697;-38.904 -33.027    ; 3.41 
242 ;* del Aql  ;* del Aql                          ;** ;19 25 29.90139 +03 06 53.2061          ;   254.54 82.51    ; 3.72 
243 ;* del Ara  ;* del Ara                          ;PM*;17 31 05.9127207 -60 41 01.852144      ;  -54.01 -99.25    ; 3.21 
244 ;* del Ari  ;* del Ari                          ;PM*;03 11 37.7646526 +19 43 36.039699      ;   153.33 -8.28    ; 6.26 
245 ;* del Aur  ;* del Aur                          ;SB*;05 59 31.6184193950 +54 17 05.056666306;85.814 -142.928    ; 5.580
246 ;* del Boo  ;* del Boo                          ;PM*;15 15 30.1629518 +33 18 53.392558      ;  84.74 -111.58    ; 5.12 
247 ;* del Cae  ;* del Cae                          ;*  ;04 30 50.0994981415 -44 57 13.496807528;   1.841 -3.333    ;     ~
248 ;* del Cnc  ;* del Cnc                          ;** ;08 44 41.0992106 +18 09 15.503395      ; -17.67 -229.26    ; 6.01 
249 ;* del CMa  ;* del CMa                          ;s*y;07 08 23.4840514 -26 23 35.518484      ;     -3.12 3.31    ; 3.06 
250 ;* del Cap  ;* del Cap                          ;EB*;21 47 02.4442395 -16 07 38.233507      ; 261.70 -296.70    ; 3.22 
251 ;* del Cas  ;* del Cas                          ;EB*;01 25 48.9514709 +60 14 07.022507      ;  296.57 -49.22    ; 2.930
252 ;V* del Cen ;* del Cen                          ;Be*;12 08 21.4976373 -50 43 20.738614      ;   -49.94 -7.19    ; 1.51 
253 ;* del Cep  ;* del Cep                          ;cC*;22 29 10.2650184 +58 24 54.713856      ;     15.35 3.52    ; 4.71 
254 ;* del Cet  ;* del Cet                          ;bC*;02 39 28.95579 +00 19 42.6345          ;    12.85 -2.94    ; 2.97 
255 ;* del Cir  ;* del Cir                          ;SB*;15 16 56.8969460249 -60 57 26.100998940;  -4.538 -4.972    ; 4.11 
256 ;* del Col  ;* del Col                          ;SB*;06 22 06.8169226859 -33 26 10.960575837;-16.356 -56.999    ; 5.25 
257 ;* del CrA  ;* del CrA                          ;PM*;19 08 20.9697990592 -40 29 48.115510719; 47.344 -27.047    ;     ~
258 ;V* del CrB ;* del CrB                          ;RS*;15 49 35.6468905541 +26 04 06.203245322;-78.800 -64.199    ; 5.80 
259 ;* del Crv  ;* del Crv                          ;PM*;12 29 51.8551642 -16 30 55.552542      ;-210.49 -138.74    ; 2.80 
260 ;* del Crt  ;* del Crt                          ;PM*;11 19 20.4475617 -14 46 42.741307      ; -124.67 207.59    ; 5.66 
261 ;* del Cru  ;* del Cru                          ;Pu*;12 15 08.7167245 -58 44 56.136936      ;  -35.81 -10.36    ; 1.63 
262 ;* del Cyg  ;* del Cyg                          ;PM*;19 44 58.4785413 +45 07 50.916066      ;    44.07 48.66    ; 2.75 
263 ;* del Del  ;* del Del                          ;dS*;20 43 27.5333833 +15 04 28.477302      ;  -20.44 -43.33    ;     ~
264 ;* del Dor  ;* del Dor                          ;*  ;05 44 46.3781065 -65 44 07.901098      ;    -28.91 5.17    ; 4.69 
265 ;* del Dra  ;* del Dra                          ;PM*;19 12 33.3019645 +67 39 41.545581      ;    95.74 91.92    ; 4.85 
266 ;* del Equ  ;* del Equ                          ;SB*;21 14 28.8153077 +10 00 25.125878      ;  42.39 -304.19    ; 4.98 
267 ;* del Eri  ;* del Eri                          ;*  ;03 43 14.9005379551 -09 45 48.210955899;-93.634 744.360    ; 5.13 
268 ;* del For  ;* del For                          ;*  ;03 42 14.9023842910 -31 56 18.096067789;   4.942 13.326    ; 4.24 
269 ;* del Gem  ;* del Gem                          ;SB*;07 20 07.3797829 +21 58 56.337741      ;   -15.13 -9.79    ; 3.91 
270 ;* del Her  ;* del Her                          ;SB*;17 15 01.91058 +24 50 21.1451          ; -21.18 -156.48    ; 3.29 
271 ;* del Hor  ;* del Hor                          ;** ;04 10 50.5892738 -41 59 36.853749      ;   199.08 70.18    ; 5.33 
272 ;* del Hya  ;* del Hya                          ;** ;08 37 39.3696919549 +05 42 13.637427775; -71.070 -7.653    ;     ~
273 ;* del Hyi  ;* del Hyi                          ;PM*;02 21 44.9406128026 -68 39 33.889015176;    -49.95 2.48    ; 4.17 
274 ;* del Ind  ;* del Ind                          ;** ;21 57 55.0735349 -54 59 33.274025      ;    41.94 -3.93    ;     ~
275 ;* del Leo  ;* del Leo                          ;PM*;11 14 06.50142 +20 31 25.3853          ; 143.42 -129.88    ; 2.79 
276 ;* del Lep  ;* del Lep                          ;PM*;05 51 19.2960278488 -20 52 44.730655825;229.027 -647.930   ; 5.54 
277 ;* del Lib  ;* del Lib                          ;EB*;15 00 58.3457837926 -08 31 08.246917426; -60.564 -3.651    ; 4.82 
278 ;* del Lup  ;* del Lup                          ;bC*;15 21 22.3252367777 -40 38 51.022228791;  -19.49 -25.29    ; 2.12 
279 ;* del Lyr  ;* del Lyr                          ;** ;18 54 30.29 +36 53 55.0                ;            ~ ~    ;     ~
280 ;V* del Lyr ;V* del Lyr                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
281 ;* del Men  ;* del Men                          ;PM*;04 17 59.2725762512 -80 12 50.507308837;  27.719 61.679    ;     ~
282 ;* del Mic  ;* del Mic                          ;HB*;21 06 01.1360192001 -30 07 30.455640049; 49.078 -68.365    ;     ~
283 ;* del Mon  ;* del Mon                          ;*  ;07 11 51.8607792 -00 29 33.970825      ;      0.79 4.52    ;     ~
284 ;* del Mus  ;* del Mus                          ;SB*;13 02 16.2647362 -71 32 55.875239      ;  264.17 -22.75    ;     ~
285 ;* del Nor  ;* del Nor                          ;*  ;16 06 29.4634642900 -45 10 23.665968742; -26.335 32.552    ;     ~
286 ;* del Oct  ;* del Oct                          ;PM*;14 26 55.2324425 -83 40 04.386830      ;  -96.12 -13.27    ;     ~
287 ;* del Oph  ;* del Oph                          ;PM*;16 14 20.73853 -03 41 39.5612          ; -47.54 -142.73    ; 6.30 
288 ;* del Ori  ;* del Ori                          ;EB*;05 32 00.40009 -00 17 56.7424          ;     0.64 -0.69    ; 0.96 
289 ;* del Pav  ;* del Pav                          ;PM*;20 08 43.6088716052 -66 10 55.442769229;1211.761 -1130.237 ; 4.78 
290 ;* del Peg  ;* alf And                          ;a2*;00 08 23.25988 +29 05 25.5520          ; 137.46 -163.44    ; 1.48 
291 ;V* del Per ;* del Per                          ;Be*;03 42 55.5042561 +47 47 15.174633      ;   25.58 -43.06    ; 2.38 
292 ;* del Phe  ;* del Phe                          ;PM*;01 31 15.1047497 -49 04 21.730837      ;  138.38 153.89    ;     ~
293 ;V* del Pic ;* del Pic                          ;EB*;06 10 17.9080767 -54 58 07.113429      ;     -4.90 7.41    ; 3.55 
294 ;* del Psc  ;* del Psc                          ;PM*;00 48 40.94433 +07 35 06.2926          ;   83.10 -49.58    ; 7.83 
295 ;* del PsA  ;* del PsA                          ;*  ;22 55 56.9002966182 -32 32 22.645655255;  11.499 32.641    ;     ~
296 ;* del Pyx  ;* del Pyx                          ;PM*;08 55 31.5596844828 -27 40 54.690384252;  81.90 -100.43    ;     ~
297 ;* del Ret  ;* del Ret                          ;V* ;03 58 44.7494486 -61 24 00.667328      ;    9.80 -14.30    ; 8.15 
298 ;* del Sge  ;* del Sge                          ;SB*;19 47 23.2665287783 +18 32 03.520263112;    6.514 0.849    ; 6.20 
299 ;* del Sgr  ;* del Sgr                          ;*  ;18 20 59.6435424 -29 49 41.165919      ;   32.54 -25.57    ;     ~
300 ;* del Sco  ;* del Sco                          ;SB*;16 00 20.00528 -22 37 18.1431          ;  -10.21 -35.41    ; 1.30 
301 ;* del Scl  ;* del Scl                          ;PM*;23 48 55.54658 -28 07 48.9745          ; 100.80 -105.34    ; 4.55 
302 ;V* del Sct ;* del Sct                          ;dS*;18 42 16.4270465894 -09 03 09.200429056;    7.175 1.996    ;     ~
303 ;* del Ser  ;* del Ser                          ;** ;15 34 48.14762 +10 32 19.9248          ;    -71.48 3.64    ;     ~
304 ;V* del Ser ;* del Ser A                        ;dS*;15 34 48.1380968981 +10 32 20.020345937; -67.166 -3.571    ;     ~
305 ;* del Sex  ;* del Sex                          ;PM*;10 29 28.7022163 -02 44 20.686255      ;  -48.86 -13.43    ;     ~
306 ;* del Tau  ;* del Tau                          ;SB*;04 22 56.1010361735 +17 32 33.055967140;100.780 -28.080    ; 5.56 
307 ;* del Tri  ;* del Tri                          ;SB*;02 17 03.2303387763 +34 13 27.235383770;1151.935 -246.605  ; 5.50 
308 ;* del TrA  ;* del TrA                          ;*  ;16 15 26.2697841 -63 41 08.449198      ;    2.73 -12.92    ;     ~
309 ;* del Tuc  ;* del Tuc                          ;** ;22 27 19.9679774154 -64 57 58.929483125;  68.655 11.004    ;     ~
310 ;* del UMa  ;* del UMa                          ;PM*;12 15 25.5606327 +57 01 57.415606      ;    104.11 7.30    ; 3.460
311 ;* del UMi  ;* del UMi                          ;PM*;17 32 12.9967087 +86 35 11.258377      ;    10.17 53.97    ;     ~
312 ;* del Vel  ;* del Vel                          ;EB*;08 44 42.22658 -54 42 31.7493          ;  28.99 -103.35    ;     ~
313 ;* del Vir  ;* del Vir                          ;RG*;12 55 36.2086058 +03 23 50.893225      ; -469.99 -52.83    ; 6.76 
314 ;* del Vol  ;* del Vol                          ;*  ;07 16 49.8238716 -67 57 25.748362      ;     -4.43 8.38    ; 5.23 
315 ;* eps And  ;* eps And                          ;PM*;00 38 33.3474310042 +29 18 42.311618884;-228.701 -253.206  ; 5.72 
316 ;* eps Ant  ;* eps Ant                          ;*  ;09 29 14.7196768 -35 57 04.807435      ;    -24.69 5.04    ; 7.63 
317 ;V* eps Aps ;* eps Aps                          ;Be*;14 22 23.1646693 -80 06 32.205274      ;   -9.51 -14.34    ; 4.4  
318 ;* eps Aqr  ;* eps Aqr                          ;*  ;20 47 40.5526029 -09 29 44.787712      ;   33.98 -34.77    ; 3.79 
319 ;* eps Aql  ;* eps Aql                          ;SB*;18 59 37.3616087625 +15 04 05.880705609;-56.078 -73.917    ; 6.14 
320 ;* eps Ari  ;* eps Ari                          ;** ;02 59 12.72536 +21 20 25.5575          ;   -13.74 -5.12    ; 4.75 
321 ;* eps Aur  ;* eps Aur                          ;EB*;05 01 58.1290610816 +43 49 23.871349520;    -0.86 -2.66    ; 3.86 
322 ;* eps Boo  ;* eps Boo                          ;** ;14 44 59.21746 +27 04 27.2099          ;   -50.95 21.07    ;     ~
323 ;* eps Cnc  ;* eps Cnc                          ;SB*;08 40 27.0101032313 +19 32 41.326671971;-36.301 -12.291    ; 6.630
324 ;* eps CMa  ;* eps CMa                          ;*  ;06 58 37.54876 -28 58 19.5102          ;      3.24 1.33    ; 0.36 
325 ;* eps CMi  ;* eps CMi                          ;*  ;07 25 38.8983779502 +09 16 33.926803399;  -3.338 -8.497    ;     ~
326 ;V* eps Cap ;* eps Cap                          ;Be*;21 37 04.8306787 -19 27 57.646354      ;     12.79 0.28    ; 3.69 
327 ;* eps Car  ;* eps Car                          ;** ;08 22 30.83526 -59 30 34.1431          ;   -25.52 22.06    ; 3.32 
328 ;* eps Cas  ;* eps Cas                          ;Be*;01 54 23.7261769782 +63 40 12.372216932; 32.982 -19.232    ; 2.61 
329 ;V* eps Cen ;* eps Cen                          ;bC*;13 39 53.25774 -53 27 59.0081          ;  -15.30 -11.72    ; 1.16 
330 ;V* eps Cep ;* eps Cep                          ;dS*;22 15 02.1972987635 +57 02 36.846735569; 423.159 52.691    ;     ~
331 ;* eps Cet  ;* eps Cet                          ;SB*;02 39 33.7974128402 -11 52 19.551632148; 161.62 -230.53    ;     ~
332 ;* eps Cha  ;* eps Cha                          ;** ;11 59 37.57634 -78 13 18.6179          ;   -40.34 -8.30    ;     ~
333 ;* eps Cir  ;* eps Cir                          ;*  ;15 17 38.8898345911 -63 36 37.673399577;    4.624 8.728    ;     ~
334 ;* eps Col  ;* eps Col                          ;*  ;05 31 12.7489930993 -35 28 13.860468229; 26.421 -30.085    ; 6.09 
335 ;* eps CrA  ;* eps CrA                          ;EB*;18 58 43.3840785329 -37 06 26.377252402;-132.237 -98.442   ;     ~
336 ;* eps CrB  ;* eps CrB                          ;PM*;15 57 35.2514673 +26 52 40.363564      ;  -77.07 -60.61    ; 6.650
337 ;* eps Crv  ;* eps Crv                          ;PM*;12 10 07.4805825 -22 37 11.161983      ;   -71.74 10.25    ; 5.79 
338 ;* eps Crt  ;* eps Crt                          ;*  ;11 24 36.5904786153 -10 51 33.557849078; -24.503 23.541    ;     ~
339 ;* eps Cru  ;* eps Cru                          ;PM*;12 21 21.6093625 -60 24 04.129070      ;  -170.93 91.67    ;     ~
340 ;* eps Cyg  ;* eps Cyg                          ;** ;20 46 12.6823609 +33 58 12.924926      ;  355.66 330.60    ; 4.370
341 ;* eps Del  ;* eps Del                          ;V* ;20 33 12.7719198 +11 18 11.741187      ;   11.96 -28.97    ; 3.43 
342 ;* eps Dor  ;* eps Dor                          ;V* ;05 49 53.5210670 -66 54 04.278670      ;   -21.81 17.32    ; 4.48 
343 ;* eps Dra  ;* eps Dra                          ;PM*;19 48 10.3497324219 +70 16 04.532866359;  79.702 41.078    ;     ~
344 ;* eps Equ  ;* eps Equ                          ;** ;20 59 04.47539 +04 17 36.5211          ;-115.75 -151.70    ;     ~
345 ;V* eps Eri ;* eps Eri                          ;BY*;03 32 55.8444911587 -09 27 29.739493865;-974.758 20.876    ; 5.19 
346 ;* eps For  ;* eps For                          ;PM*;03 01 37.6288785045 -28 05 29.373792325;273.108 -443.074   ;     ~
347 ;* eps Gem  ;* eps Gem                          ;V* ;06 43 55.9262590 +25 07 52.051484      ;   -5.57 -12.36    ; 5.85 
348 ;* eps Gru  ;* eps Gru                          ;SB*;22 48 33.2983075490 -51 19 00.732184713;107.075 -61.216    ;     ~
349 ;* eps Her  ;* eps Her                          ;SB*;17 00 17.3737789 +30 55 35.056489      ;   -47.69 26.90    ; 3.80 
350 ;* eps Hya  ;* eps Hya                          ;Ro*;08 46 46.51223 +06 25 07.6855          ; -228.11 -43.82    ; 4.43 
351 ;* eps Hyi  ;* eps Hyi                          ;PM*;02 39 35.3612092 -68 16 01.010320      ;     87.30 0.09    ; 3.91 
352 ;* eps Ind  ;* eps Ind                          ;PM*;22 03 21.6536261624 -56 47 09.522795714;3966.661 -2536.192 ;     ~
353 ;* eps Leo  ;* eps Leo                          ;V* ;09 45 51.0733004 +23 46 27.320834      ;   -45.61 -9.21    ; 4.23 
354 ;* eps Lep  ;* eps Lep                          ;PM*;05 05 27.6653698 -22 22 15.723893      ;   21.13 -73.11    ; 6.41 
355 ;* eps Lib  ;* eps Lib                          ;SB*;15 24 11.8844845700 -10 19 20.142715459; -66.52 -154.24    ;     ~
356 ;* eps Lup  ;* eps Lup                          ;SB*;15 22 40.8682566 -44 41 22.614637      ;  -22.86 -18.87    ; 2.46 
357 ;* eps Men  ;* eps Men                          ;*  ;07 25 38.0981134325 -79 05 39.078483875;  -29.084 4.575    ;     ~
358 ;* eps Mic  ;* eps Mic                          ;PM*;21 17 56.2839941 -32 10 21.151520      ;   54.36 -23.29    ;     ~
359 ;* eps Mon  ;* eps Mon                          ;** ;06 23 46.2 +04 35 44                   ;            ~ ~    ; 4.65 
360 ;V* eps Mus ;* eps Mus                          ;LP*;12 17 34.2771607 -67 57 38.648630      ; -231.04 -26.39    ; 7.27 
361 ;* eps Nor  ;* eps Nor                          ;SB*;16 27 11.0361094 -47 33 17.222561      ;  -13.68 -19.89    ;     ~
362 ;V* eps Oct ;* eps Oct                          ;LP*;22 20 01.6796965 -80 26 23.094730      ;   56.81 -43.47    ;     ~
363 ;* eps Oph  ;* eps Oph                          ;PM*;16 18 19.2897431 -04 41 33.034466      ;    83.40 40.58    ; 4.95 
364 ;* eps Ori  ;* eps Ori                          ;s*b;05 36 12.81335 -01 12 06.9089          ;     1.44 -0.78    ; 0.48 
365 ;* eps Pav  ;* eps Pav                          ;PM*;20 00 35.5555788 -72 54 37.819779      ;  81.78 -132.16    ;     ~
366 ;V* eps Peg ;* eps Peg                          ;LP*;21 44 11.1561394 +09 52 30.031152      ;     26.92 0.44    ; 5.61 
367 ;* eps Per  ;* eps Per                          ;bC*;03 57 51.2320472 +40 00 36.775143      ;   14.06 -23.78    ; 1.71 
368 ;* eps Phe  ;* eps Phe                          ;PM*;00 09 24.6391947845 -45 44 50.713442446;120.935 -180.438   ; 5.73 
369 ;* eps Psc  ;* eps Psc                          ;** ;01 02 56.6086257 +07 53 24.485522      ;   -80.17 25.59    ; 5.95 
370 ;* eps PsA  ;* eps PsA                          ;Be*;22 40 39.3446800341 -27 02 36.967874856;  24.949 -4.682    ; 3.69 
371 ;* eps Pyx  ;* eps Pyx                          ;*  ;09 09 56.4095344291 -30 21 55.442865933; -2.928 -48.825    ;     ~
372 ;* eps Ret  ;* eps Ret                          ;PM*;04 16 29.0292136 -59 18 07.761375      ; -47.53 -167.58    ; 6.59 
373 ;* eps Sge  ;* eps Sge                          ;*  ;19 37 17.3932393762 +16 27 46.087116024;  16.382 14.364    ;     ~
374 ;* eps Sgr  ;* eps Sgr                          ;** ;18 24 10.31840 -34 23 04.6193          ; -39.42 -124.20    ; 1.69 
375 ;* eps Sco  ;* eps Sco                          ;PM*;16 50 09.8108127 -34 17 35.633735      ;-614.85 -255.98    ; 4.61 
376 ;* eps Scl  ;* eps Scl                          ;** ;01 45 38.7571221 -25 03 09.402256      ;  159.36 -73.17    ;     ~
377 ;* eps Sct  ;* eps Sct                          ;*  ;18 43 31.2554790878 -08 16 30.805110638;   17.526 7.085    ;     ~
378 ;* eps Ser  ;* eps Ser                          ;PM*;15 50 48.9662218 +04 28 39.831153      ;   128.19 62.16    ;     ~
379 ;* eps Sex  ;* eps Sex                          ;PM*;10 17 37.8019973 -08 04 08.089800      ;   -160.57 2.91    ;     ~
380 ;* eps Tau  ;* eps Tau                          ;** ;04 28 36.9988174 +19 10 49.544603      ;  106.19 -37.84    ; 5.42 
381 ;* eps Tel  ;* eps Tel                          ;*  ;18 11 13.7663563843 -45 57 15.935195251;-22.346 -34.700    ;     ~
382 ;* eps Tri  ;* eps Tri                          ;V* ;02 02 57.9579149437 +33 17 02.906807436; -17.624 -8.651    ;     ~
383 ;* eps TrA  ;* eps TrA                          ;PM*;15 36 43.2222326 -66 19 01.333399      ;   24.35 -54.47    ;     ~
384 ;* eps Tuc  ;* eps Tuc                          ;Be*;23 59 54.9776152 -65 34 37.680366      ;   47.93 -22.95    ; 4.12 
385 ;V* eps UMa ;* eps UMa                          ;a2*;12 54 01.7495922 +55 57 35.362645      ;   111.91 -8.24    ; 1.76 
386 ;* eps UMi  ;* eps UMi                          ;RS*;16 45 58.2360423451 +82 02 14.146856704;     19.47 2.61    ;     ~
387 ;* eps Vir  ;* eps Vir                          ;PM*;13 02 10.5978496 +10 57 32.941443      ;  -273.80 19.96    ; 4.45 
388 ;* eps Vol  ;* eps Vol                          ;SB*;08 07 55.7941540081 -68 37 01.428710438; -29.650 29.553    ;     ~
389 ;* zet And  ;* zet And                          ;RS*;00 47 20.3254696 +24 16 01.840851      ; -101.17 -81.77    ; 6.05 
390 ;* zet Aps  ;* zet Aps                          ;*  ;17 21 59.4786257201 -67 46 14.412780563; -37.758 -7.637    ;     ~
391 ;* zet Aqr  ;* zet Aqr                          ;** ;22 28 49.90685 -00 01 11.7942          ;   182.92 50.36    ;     ~
392 ;* zet Aql  ;* zet Aql                          ;PM*;19 05 24.6080155 +13 51 48.518212      ;   -7.25 -95.56    ; 2.99 
393 ;* zet Ara  ;* zet Ara                          ;*  ;16 58 37.2121689 -55 59 24.520302      ;  -17.80 -36.67    ;     ~
394 ;* zet Ari  ;* zet Ari                          ;PM*;03 14 54.0914129194 +21 02 39.995191184;-19.930 -72.900    ;     ~
395 ;V* zet Aur ;* zet Aur                          ;EB*;05 02 28.6873880 +41 04 33.019985      ;    9.45 -20.71    ; 5.35 
396 ;* zet Boo  ;* zet Boo                          ;** ;14 41 08.95158 +13 43 41.8967          ;   51.95 -11.08    ; 3.88 
397 ;* zet Cae  ;* zet Cae                          ;PM*;04 47 49.5771667418 -30 01 13.336696826;  28.676 92.504    ;     ~
398 ;* zet Cnc  ;* zet Cnc                          ;** ;08 12 12.72637 +17 38 51.9615          ;  27.61 -151.73    ;     ~
399 ;* zet CMa  ;* zet CMa                          ;Ce*;06 20 18.7920398 -30 03 48.120242      ;      7.32 4.03    ; 2.12 
400 ;* zet CMi  ;* zet CMi                          ;*  ;07 51 41.9883545798 +01 46 00.735354616; -13.351 -4.627    ; 4.58 
401 ;* zet Cap  ;* zet Cap                          ;SB*;21 26 40.0263390 -22 24 40.804197      ;    -2.23 18.10    ; 5.35 
402 ;* zet Cas  ;* zet Cas                          ;Pu*;00 36 58.2841866 +53 53 48.867311      ;    17.38 -9.86    ; 2.58 
403 ;* zet Cen  ;* zet Cen                          ;SB*;13 55 32.38565 -47 17 18.1482          ;  -57.37 -44.55    ; 1.42 
404 ;V* zet Cep ;* zet Cep                          ;EB*;22 10 51.2769159 +58 12 04.545587      ;     13.52 5.24    ; 6.62 
405 ;* zet Cet  ;* zet Cet                          ;SB*;01 51 27.6397291164 -10 20 06.093532811;   40.80 -37.25    ; 5.92 
406 ;V* zet Cha ;* zet Cha                          ;V* ;09 33 53.3760873 -80 56 28.533700      ;   -34.81 14.18    ; 4.4  
407 ;* zet Cir  ;* zet Cir                          ;Pu*;14 54 42.5848266926 -65 59 27.973697047;  -8.584 -8.510    ;     ~
408 ;* zet CrA  ;* zet CrA                          ;PM*;19 03 06.8769803 -42 05 42.385816      ;   56.41 -46.43    ;     ~
409 ;* zet Crv  ;* zet Crv                          ;Be*;12 20 33.6418578309 -22 12 57.239358215;-108.747 -27.825   ; 4.73 
410 ;* zet Crt  ;* zet Crt                          ;** ;11 44 45.7767687496 -18 21 02.400289273; 26.703 -26.970    ;     ~
411 ;* zet Cru  ;* zet Cru                          ;*  ;12 18 26.2361909560 -64 00 11.114219273; -34.961 -6.237    ; 3.26 
412 ;* zet Cyg  ;* zet Cyg                          ;SB*;21 12 56.1859347 +30 13 36.895667      ;    6.51 -68.21    ; 4.96 
413 ;* zet Del  ;* zet Del                          ;*  ;20 35 18.5356347 +14 40 27.167509      ;    45.52 11.74    ;     ~
414 ;* zet Dor  ;* zet Dor                          ;PM*;05 05 30.6561782324 -57 28 21.728931803;-32.140 117.417    ;     ~
415 ;* zet Dra  ;* zet Dra                          ;** ;17 08 47.1959624 +65 42 52.863384      ;   -20.43 19.61    ; 2.63 
416 ;* zet Eri  ;* zet Eri                          ;SB*;03 15 50.0253691484 -08 49 11.026245623;  -2.528 46.193    ; 5.11 
417 ;* zet For  ;* zet For                          ;PM*;02 59 36.1829853387 -25 16 26.885314054; 181.005 84.641    ;     ~
418 ;* zet Gem  ;* zet Gem                          ;cC*;07 04 06.5307903 +20 34 13.073871      ;    -7.29 -0.41    ; 5.20 
419 ;* zet Gru  ;* zet Gru                          ;PM*;23 00 52.7977690769 -52 45 14.870548852;-57.911 -13.371    ;     ~
420 ;* zet Her  ;* zet Her                          ;SB*;16 41 17.16104 +31 36 09.7873          ; -461.52 342.28    ; 3.640
421 ;* zet Hor  ;* zet Hor                          ;SB*;02 40 39.6134420391 -54 32 59.679454971;   33.331 5.581    ;     ~
422 ;* zet Hya  ;* zet Hya                          ;PM*;08 55 23.6261352 +05 56 44.035380      ;  -100.06 15.46    ; 4.92 
