C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
3891;NGC  4139  ;NGC 4139                           ;GiG;181.1417651377900 +01.8015785671500;            ~ ~   ;      ~  ;5548         ;     ~   
3892;NGC  4140  ;NGC 4077                           ;EmG;181.1585892945699 +01.7876810624800;            ~ ~   ;      ~  ;6965         ;     ~   
3893;NGC  4141  ;NGC 4141                           ;G  ;182.4471287073500 +58.8492369853300;            ~ ~   ;      ~  ;1892         ;     ~   
3894;NGC  4142  ;NGC 4142                           ;GiC;182.3756702171700 +53.1047656963600;    1.499 0.390   ;0.9232   ;1150         ;     ~   
3895;NGC  4143  ;NGC 4143                           ;LIN;182.4002829893499 +42.5341755453800;            ~ ~   ;      ~  ;920          ;12.08    
3896;NGC  4144  ;NGC 4144                           ;GiG;182.494171 +46.457181              ;            ~ ~   ;      ~  ;264          ;     ~   
3897;NGC  4145  ;NGC 4145                           ;GiP;182.5061889554999 +39.8839668619500;   -7.496 0.115   ;1.3927   ;1011         ;     ~   
3898;NGC  4146  ;NGC 4146                           ;Sy2;182.5760535238999 +26.4307232282300;   -0.187 1.545   ;      ~  ;6453         ;     ~   
3899;NGC  4147  ;NGC 4147                           ;GlC;182.525621 +18.542161              ;    -1.71 -2.10   ;      ~  ;179.52       ;10.74    
3900;NGC  4148  ;NGC 4148                           ;Bla;182.5331879903300 +35.8776205644900;   0.599 -0.621   ;0.4972   ;6667         ;     ~   
3901;NGC  4149  ;NGC 4149                           ;rG ;182.636891 +58.304115              ;            ~ ~   ;      ~  ;3042         ;     ~   
3902;NGC  4150  ;NGC 4150                           ;GiG;182.640229 +30.401486              ;            ~ ~   ;      ~  ;234          ;11.64    
3903;NGC  4151  ;NGC 4151                           ;Sy1;182.6357332557799 +39.4058509798700;  -0.206 -0.163   ;0.2161   ;976          ;11.48    
3904;NGC  4152  ;NGC 4152                           ;AGN;182.656296 +16.032933              ;            ~ ~   ;      ~  ;2169         ;13.35    
3905;NGC  4155  ;NGC 4155                           ;rG ;182.6903684730399 +19.0408302354100;            ~ ~   ;      ~  ;7372         ;     ~   
3906;NGC  4156  ;NGC 4156                           ;LIN;182.7066993668300 +39.4727903670500;    2.344 2.653   ;0.695    ;6705         ;14.32    
3907;NGC  4157  ;NGC 4157                           ;GiP;182.768187 +50.484681              ;            ~ ~   ;      ~  ;781          ;11.35    
3908;NGC  4158  ;NGC 4158                           ;SyG;182.7923488482200 +20.1756299013400;            ~ ~   ;      ~  ;2466         ;     ~   
3909;NGC  4159  ;NGC 4159                           ;G  ;182.723479 +76.125831              ;            ~ ~   ;      ~  ;1745         ;     ~   
3910;NGC  4161  ;NGC 4161                           ;LIN;182.8894372246400 +57.7374766573000;            ~ ~   ;      ~  ;4832         ;     ~   
3911;NGC  4162  ;NGC 4162                           ;AGN;182.9687015921500 +24.1235969803600;    0.741 0.702   ;      ~  ;2571         ;     ~   
3912;NGC  4163  ;NGC 4163                           ;LSB;183.0379731412200 +36.1674306098300;            ~ ~   ;      ~  ;165.0        ;13.2     
3913;NGC  4164  ;NGC 4164                           ;LIN;183.0227279279399 +13.2056243686000;            ~ ~   ;      ~  ;18821        ;     ~   
3914;NGC  4165  ;NGC 4165                           ;GiP;183.0491683937000 +13.2465031692700;            ~ ~   ;      ~  ;1875         ;13.54    
3915;NGC  4166  ;NGC 4166                           ;LIN;183.0398496444699 +17.7569876207900;            ~ ~   ;      ~  ;6941         ;     ~   
3916;NGC  4168  ;NGC 4168                           ;Sy1;183.0719551589199 +13.2051911690900;            ~ ~   ;      ~  ;2270         ;11.18    
3917;NGC  4169  ;NGC 4169                           ;Sy2;183.0782091001300 +29.1794031738800;            ~ ~   ;      ~  ;3765         ;12.34    
3918;NGC  4172  ;NGC 4172                           ;LIN;183.0621124790600 +56.1775087235400;  -0.747 -0.034   ;1.1084   ;9173         ;     ~   
3919;NGC  4173  ;NGC 4170                           ;LSB;183.0857603987900 +29.2102759988100;  -3.325 -0.438   ;2.731    ;1123         ;13.34    
3920;NGC  4174  ;NGC 4174                           ;Sy2;183.1120319420899 +29.1492106422700;  -0.246 -0.068   ;      ~  ;3999         ;13.64    
3921;NGC  4175  ;NGC 4175                           ;AGN;183.129523 +29.168906              ;            ~ ~   ;      ~  ;4082         ;13.45    
3922;NGC  4176  ;NGC 4176                           ;G  ;183.153167 -09.158597              ;            ~ ~   ;      ~  ;5578         ;     ~   
3923;NGC  4177  ;NGC 4177                           ;EmG;183.1718704520799 -14.0145577391000;   0.783 -1.728   ;0.0156   ;4083         ;     ~   
3924;NGC  4178  ;NGC 4178                           ;H2G;183.193512 +10.865997              ;            ~ ~   ;      ~  ;374          ;     ~   
3925;NGC  4179  ;NGC 4179                           ;GiG;183.2171326445500 +01.2997017466600;    0.305 0.277   ;      ~  ;1230         ;     ~   
3926;NGC  4180  ;NGC 4180                           ;AGN;183.2627637055900 +07.0388990138100;            ~ ~   ;      ~  ;2081         ;     ~   
3927;NGC  4181  ;NGC 4181                           ;G  ;183.2041253614100 +52.9033032246300;            ~ ~   ;      ~  ;9469         ;     ~   
3928;NGC  4182  ;NGC 4182                           ;G  ;183.3500 +04.0500                  ;            ~ ~   ;      ~  ;~            ;     ~   
3929;NGC  4183  ;NGC 4183                           ;GiG;183.320250 +43.698269              ;            ~ ~   ;      ~  ;926          ;     ~   
3930;NGC  4184  ;NGC 4184                           ;OpC;183.3930 -62.7190                  ;   -4.109 0.293   ;0.305    ;-30.34       ;     ~   
3931;NGC  4185  ;NGC 4185                           ;LIN;183.3424834076500 +28.5110129462300;            ~ ~   ;      ~  ;3863         ;     ~   
3932;NGC  4186  ;NGC 4186                           ;GiG;183.5271748123400 +14.7258098030200;   1.255 -1.150   ;1.0912   ;7769         ;     ~   
3933;NGC  4187  ;7C 121100.10+510113.00             ;Bla;183.3719912398700 +50.7414928139500;    1.061 1.564   ;3.0822   ;9080         ;     ~   
3934;NGC  4188  ;NGC 4188                           ;GiG;183.5307460094199 -12.5860353512600;            ~ ~   ;      ~  ;4236         ;     ~   
3935;NGC  4189  ;NGC 4189                           ;GiG;183.4468253499100 +13.4248458596200;            ~ ~   ;      ~  ;2114         ;11.74    
3936;NGC  4190  ;NGC 4190                           ;LSB;183.4340489011900 +36.6314929326300;    1.092 0.641   ;1.388    ;234          ;13.25    
3937;NGC  4191  ;NGC 4191                           ;LIN;183.4600097373300 +07.2008944325600;            ~ ~   ;      ~  ;2659         ;     ~   
3938;NGC  4192  ;M 98                               ;LIN;183.4512127862400 +14.9005426320000;            ~ ~   ;      ~  ;-138         ;10.14    
3939;NGC  4193  ;NGC 4193                           ;AGN;183.473283 +13.172906              ;            ~ ~   ;      ~  ;2470         ;12.31    
3940;NGC  4194  ;NAME Medusa Galaxy Merger          ;AGN;183.540063 +54.526646              ;            ~ ~   ;      ~  ;2442         ;13.30    
3941;NGC  4195  ;NGC 4195                           ;LSB;183.575225 +59.615294              ;            ~ ~   ;      ~  ;4327         ;     ~   
3942;NGC  4196  ;NGC 4196                           ;GiG;183.6239265943399 +28.4234477803300;   1.245 -0.748   ;0.6096   ;3928         ;     ~   
3943;NGC  4197  ;NGC 4197                           ;H2G;183.660429 +05.805717              ;            ~ ~   ;      ~  ;2062         ;     ~   
3944;NGC  4198  ;NGC 4198                           ;LIN;183.5918542794200 +56.0114413477200;            ~ ~   ;      ~  ;9155         ;     ~   
3945;NGC  4199  ;NGC 4199                           ;G  ;183.7042 +59.9067                  ;            ~ ~   ;      ~  ;17461        ;     ~   
3946;NGC  4200  ;NGC 4200                           ;GiG;183.6842718082700 +12.1807487770500;   -0.233 0.949   ;      ~  ;2332         ;     ~   
3947;NGC  4201  ;NGC 4201                           ;EmG;183.6743745585399 -11.5828598944100;            ~ ~   ;      ~  ;5311         ;     ~   
3948;NGC  4202  ;NGC 4202                           ;G  ;184.5355661439099 -01.0641212008400;            ~ ~   ;      ~  ;5699.0       ;     ~   
3949;NGC  4203  ;NGC 4203                           ;LIN;183.7710621681499 +33.1973288792000;   0.124 -0.108   ;0.1592   ;1092         ;11.99    
3950;NGC  4204  ;NGC 4204                           ;GiC;183.809829 +20.659078              ;            ~ ~   ;      ~  ;856          ;     ~   
3951;NGC  4205  ;NGC 4205                           ;GiG;183.731600 +63.782756              ;            ~ ~   ;      ~  ;1434         ;     ~   
3952;NGC  4206  ;NGC 4206                           ;AGN;183.8200986437200 +13.0240028192900;    0.333 0.525   ;0.735    ;704          ;12.15    
3953;NGC  4207  ;NGC 4207                           ;GiG;183.876817 +09.584939              ;            ~ ~   ;      ~  ;596          ;     ~   
3954;NGC  4210  ;NGC 4210                           ;LIN;183.8160474077299 +65.9852923267200;   -1.413 2.257   ;      ~  ;2698         ;     ~   
3955;NGC  4211  ;NGC 4211                           ;LIN;183.8994112401200 +28.1776245540500;            ~ ~   ;      ~  ;6600         ;     ~   
3956;NGC  4212  ;NGC 4212                           ;H2G;183.9139034246600 +13.9014968127500;    3.698 2.156   ;      ~  ;-88          ;     ~   
3957;NGC  4213  ;NGC 4213                           ;GiG;183.9065171088199 +23.9818658600200;            ~ ~   ;      ~  ;6640         ;     ~   
3958;NGC  4214  ;NGC 4228                           ;SBG;183.913225 +36.326889              ;            ~ ~   ;      ~  ;293          ;9.93     
3959;NGC  4215  ;NGC 4215                           ;GiG;183.9772204109600 +06.4011446716200;            ~ ~   ;      ~  ;2065         ;     ~   
3960;NGC  4216  ;NGC 4216                           ;GiP;183.976850 +13.149400              ;            ~ ~   ;      ~  ;139          ;10.01    
3961;NGC  4217  ;NGC 4217                           ;GiG;183.962083 +47.091789              ;            ~ ~   ;      ~  ;1023         ;     ~   
3962;NGC  4218  ;NGC 4218                           ;GiP;183.9424113146199 +48.1312857441900;            ~ ~   ;      ~  ;796          ;     ~   
3963;NGC  4219  ;NGC 4219                           ;G  ;184.113800 -43.324281              ;            ~ ~   ;      ~  ;1989.0       ;11.31    
3964;NGC  4220  ;NGC 4220                           ;GiP;184.0488631147499 +47.8833657503300;            ~ ~   ;      ~  ;916          ;     ~   
3965;NGC  4221  ;NGC 4221                           ;GiG;183.9994391201400 +66.2308491066000;    0.236 0.649   ;      ~  ;1313         ;     ~   
3966;NGC  4222  ;NGC 4222                           ;GiP;184.093842 +13.307072              ;            ~ ~   ;      ~  ;229          ;     ~   
3967;NGC  4223  ;NGC 4223                           ;Sy2;184.3575713649800 +06.6901062271300;   -0.694 0.147   ;      ~  ;2239         ;     ~   
3968;NGC  4224  ;NGC 4224                           ;GiP;184.1407735147899 +07.4620910086300;            ~ ~   ;      ~  ;2606         ;     ~   
3969;NGC  4225  ;NGC 4225                           ;GiG;184.1598464622300 -12.3276548255400;            ~ ~   ;      ~  ;5147         ;     ~   
3970;NGC  4226  ;NGC 4226                           ;rG ;184.1094904009900 +47.0254319236600;            ~ ~   ;      ~  ;7158         ;     ~   
3971;NGC  4227  ;NGC 4227                           ;GiP;184.1404086513799 +33.5220724541900;            ~ ~   ;      ~  ;6395         ;     ~   
3972;NGC  4229  ;NGC 4229                           ;GiP;184.1616178710899 +33.5609051976400;    0.258 0.496   ;0.7218   ;6693         ;     ~   
3973;NGC  4230  ;NGC 4230                           ;OpC;184.3350 -55.1200                  ;     -5.29 5.66   ;      ~  ;~            ;9.4      
3974;NGC  4231  ;NGC 4231                           ;rG ;184.2036046443400 +47.4573736582400;            ~ ~   ;      ~  ;7325         ;     ~   
3975;NGC  4232  ;NGC 4232                           ;GiP;184.204254 +47.438806              ;            ~ ~   ;      ~  ;7164         ;     ~   
3976;NGC  4233  ;NGC 4233                           ;GiG;184.282042 +07.624433              ;            ~ ~   ;      ~  ;2279         ;     ~   
3977;NGC  4234  ;NGC 4234                           ;GiG;184.288112 +03.683122              ;            ~ ~   ;      ~  ;2025         ;     ~   
3978;NGC  4235  ;NGC 4235                           ;Sy1;184.2911745824600 +07.1915759413900;  -0.155 -0.272   ;0.1249   ;2216         ;13.60    
3979;NGC  4236  ;NGC 4236                           ;GiG;184.175492 +69.462569              ;            ~ ~   ;      ~  ;-1           ;10.08    
3980;NGC  4237  ;NGC 4237                           ;AGN;184.2975827741600 +15.3240436567400;    0.773 0.128   ;      ~  ;865          ;     ~   
3981;NGC  4238  ;NGC 4238                           ;G  ;184.2325512639000 +63.4098810088900;            ~ ~   ;      ~  ;2757         ;     ~   
3982;NGC  4239  ;NGC 4239                           ;GiG;184.3122512443100 +16.5313143826000;    0.606 0.014   ;0.6392   ;913          ;     ~   
3983;NGC  4240  ;NGC 4240                           ;G  ;184.3515982988299 -09.9516631692500;    1.285 0.407   ;0.1329   ;1934         ;     ~   
3984;NGC  4241  ;NGC 4241                           ;GiG;184.4995992127799 +06.6541815529300;            ~ ~   ;      ~  ;732          ;     ~   
3985;NGC  4242  ;NGC 4242                           ;GiG;184.3757646264500 +45.6193080389500;  -0.353 -0.566   ;0.8529   ;527          ;10.83    
3986;NGC  4244  ;NGC 4244                           ;GiG;184.373579 +37.807111              ;            ~ ~   ;      ~  ;244          ;     ~   
3987;NGC  4245  ;NGC 4245                           ;GiG;184.4032652438800 +29.6080273733900;   -0.663 0.004   ;      ~  ;814          ;     ~   
3988;NGC  4246  ;NGC 4246                           ;LIN;184.4921658346700 +07.1859243440300;            ~ ~   ;      ~  ;3685         ;     ~   
3989;NGC  4247  ;NGC 4247                           ;rG ;184.4920559460800 +07.2739214691700;            ~ ~   ;      ~  ;3890         ;     ~   
3990;NGC  4248  ;NGC 4248                           ;GiG;184.4576791045200 +47.4091903313400;    0.437 2.234   ;2.24     ;527          ;12.53    
3991;NGC  4249  ;NGC 4249                           ;GiG;184.4974632987000 +05.5986022842800;            ~ ~   ;      ~  ;2597         ;     ~   
3992;NGC  4250  ;NGC 4250                           ;G  ;184.3592538609500 +70.8025012614500;            ~ ~   ;      ~  ;2138         ;     ~   
3993;NGC  4251  ;NGC 4251                           ;GiP;184.5347529866900 +28.1753154885000;            ~ ~   ;      ~  ;1066         ;     ~   
3994;NGC  4252  ;NGC 4252                           ;LSB;184.628892 +05.559575              ;            ~ ~   ;      ~  ;864          ;     ~   
3995;NGC  4253  ;NGC 4253                           ;Sy1;184.6104848220500 +29.8129254265200;  -0.355 -0.157   ;0.0576   ;3786         ;13.57    
3996;NGC  4254  ;NAME Coma Pinwheel                 ;H2G;184.706771 +14.416489              ;            ~ ~   ;      ~  ;2404         ;9.87     
3997;NGC  4255  ;NGC 4255                           ;GiG;184.7339429726500 +04.7861289304000;    0.701 0.769   ;      ~  ;1948         ;     ~   
3998;NGC  4256  ;NGC 4256                           ;GiP;184.6795172959000 +65.8982718366100;            ~ ~   ;      ~  ;2524         ;     ~   
3999;NGC  4257  ;NGC 4257                           ;LIN;184.7769871100300 +05.7259668512200;            ~ ~   ;      ~  ;2701         ;     ~   
4000;NGC  4258  ;M 106                              ;Sy2;184.740083 +47.303719              ;            ~ ~   ;      ~  ;462          ;8.41     
4001;NGC  4259  ;NGC 4259                           ;GiP;184.8425338064099 +05.3763949264100;    1.048 0.346   ;      ~  ;2466         ;     ~   
4002;NGC  4260  ;NGC 4260                           ;GiP;184.8426671976399 +06.0986921092200;            ~ ~   ;      ~  ;1781         ;     ~   
4003;NGC  4261  ;NGC 4261                           ;LIN;184.8467335958 +05.8249166733      ;-0.00883 0.03145  ;      ~  ;2183         ;12.87    
4004;NGC  4262  ;NGC 4262                           ;GiG;184.8773726401200 +14.8776436509100;   0.661 -0.231   ;0.363    ;1367         ;11.55    
4005;NGC  4263  ;NGC 4263                           ;EmG;184.925796 -12.225550              ;            ~ ~   ;      ~  ;4170         ;     ~   
4006;NGC  4264  ;NGC 4264                           ;GiG;184.8989941235799 +05.8467671021000;            ~ ~   ;      ~  ;2508         ;     ~   
4007;NGC  4266  ;NGC 4266                           ;AGN;184.926317 +05.538200              ;            ~ ~   ;      ~  ;1536         ;     ~   
4008;NGC  4267  ;NGC 4267                           ;GiG;184.9386399125500 +12.7982513278800;  -0.387 -0.052   ;      ~  ;949          ;     ~   
4009;NGC  4268  ;NGC 4268                           ;GiP;184.9467179317200 +05.2837657074800;            ~ ~   ;      ~  ;1999         ;     ~   
4010;NGC  4269  ;NGC 4269                           ;GiP;184.9549873163300 +06.0149433879400;    0.643 0.305   ;      ~  ;2074         ;     ~   
4011;NGC  4270  ;NGC 4270                           ;GiP;184.9561311922900 +05.4634430362700;            ~ ~   ;      ~  ;2377         ;     ~   
4012;NGC  4271  ;NGC 4271                           ;LIN;184.8857827092000 +56.7365836242600;            ~ ~   ;      ~  ;4700         ;     ~   
4013;NGC  4272  ;NGC 4272                           ;rG ;184.9485212887099 +30.3390721640300;            ~ ~   ;      ~  ;8326         ;     ~   
4014;NGC  4273  ;NGC 4273                           ;GiP;184.983596 +05.343367              ;            ~ ~   ;      ~  ;2379         ;     ~   
4015;NGC  4274  ;NGC 4274                           ;LIN;184.9608044626899 +29.6147884829900;            ~ ~   ;      ~  ;917          ;10.41    
4016;NGC  4275  ;NGC 4275                           ;GiC;184.9690802689100 +27.6210116075600;            ~ ~   ;      ~  ;2316         ;     ~   
4017;NGC  4276  ;NAME FAUST V023                    ;GiG;185.0312224966199 +07.6918708916100;            ~ ~   ;      ~  ;2613         ;     ~   
4018;NGC  4277  ;NGC 4277                           ;GiP;185.0154948386399 +05.3413555114600;            ~ ~   ;      ~  ;2183         ;     ~   
4019;NGC  4278  ;NGC 4278                           ;LIN;185.0284391117 +29.2807537461      ;            ~ ~   ;      ~  ;617          ;10.16    
4020;NGC  4279  ;NGC 4279                           ;GiG;185.1042249938500 -11.6665373885900;            ~ ~   ;      ~  ;4344         ;     ~   
4021;NGC  4281  ;NGC 4281                           ;GiG;185.0896860124100 +05.3864413219700;            ~ ~   ;      ~  ;2671         ;     ~   
4022;NGC  4282  ;NGC 4282                           ;GiG;185.1012061984600 +05.5728228200700;            ~ ~   ;      ~  ;937          ;     ~   
4023;NGC  4283  ;NGC 4283                           ;GiG;185.0865380099500 +29.3108763132100;    0.838 0.186   ;      ~  ;1074         ;12.07    
4024;NGC  4284  ;NGC 4284                           ;GiP;185.0525980925600 +58.0929228882800;            ~ ~   ;      ~  ;4160         ;     ~   
4025;NGC  4285  ;NGC 4285                           ;EmG;185.1658524780800 -11.6419283675600;            ~ ~   ;      ~  ;7518         ;     ~   
4026;NGC  4286  ;NGC 4286                           ;GiP;185.1753758001499 +29.3458705554900;  -0.206 -0.232   ;0.283    ;646          ;     ~   
4027;NGC  4287  ;NGC 4287                           ;H2G;185.2020424325100 +05.6397959187600;            ~ ~   ;      ~  ;2139         ;     ~   
4028;NGC  4288  ;NGC 4288                           ;GiG;185.158829 +46.291019              ;            ~ ~   ;      ~  ;539          ;     ~   
4029;NGC  4289  ;NGC 4289                           ;H2G;185.259600 +03.721961              ;            ~ ~   ;      ~  ;2539         ;     ~   
4030;NGC  4290  ;NGC 4290                           ;rG ;185.1976439762999 +58.0925819696300;            ~ ~   ;      ~  ;3004         ;     ~   
4031;NGC  4291  ;NGC 4291                           ;GiG;185.073746 +75.370964              ;            ~ ~   ;      ~  ;1777         ;     ~   
4032;NGC  4292  ;NGC 4292                           ;LIN;185.3185750771899 +04.5957105740900;    0.190 0.647   ;0.0886   ;2258         ;12.21    
4033;NGC  4293  ;NGC 4293                           ;LIN;185.303712 +18.382400              ;            ~ ~   ;      ~  ;885          ;     ~   
4034;NGC  4294  ;NGC 4294                           ;GiP;185.324112 +11.511108              ;            ~ ~   ;      ~  ;355          ;     ~   
4035;NGC  4295  ;NGC 4295                           ;GiG;185.2907246922000 +28.1651073411700;            ~ ~   ;      ~  ;8367         ;     ~   
4036;NGC  4296  ;NGC 4296                           ;GiP;185.3682847088699 +06.6535654598500;   1.147 -0.524   ;      ~  ;3963         ;     ~   
4037;NGC  4297  ;NGC 4297                           ;GiP;185.3641990332700 +06.6711970377700;   0.223 -0.497   ;      ~  ;3897         ;     ~   
4038;NGC  4298  ;NGC 4298                           ;GiP;185.3864911726500 +14.6061246363100;            ~ ~   ;      ~  ;1140         ;11.34    
4039;NGC  4299  ;NGC 4299                           ;GiP;185.418951 +11.499929              ;            ~ ~   ;      ~  ;232          ;     ~   
4040;NGC  4300  ;NGC 4300                           ;AGN;185.4227045904700 +05.3848356670600;            ~ ~   ;      ~  ;2264         ;     ~   
4041;NGC  4301  ;NGC 4301                           ;GiG;185.613525 +04.566303              ;            ~ ~   ;      ~  ;1278         ;12.99    
4042;NGC  4302  ;NGC 4302                           ;GiP;185.426987 +14.597761              ;            ~ ~   ;      ~  ;1146         ;11.61    
4043;NGC  4303  ;M 61                               ;Sy2;185.4788677428699 +04.4737770464400;   -0.110 0.144   ;0.0797   ;1566         ;9.65     
4044;NGC  4304  ;NGC 4304                           ;EmG;185.553008 -33.484394              ;            ~ ~   ;      ~  ;2620.1       ;12.02    
4045;NGC  4305  ;NGC 4305                           ;GiP;185.5150255885899 +12.7409182619300;   -0.357 0.629   ;0.2784   ;1924         ;     ~   
4046;NGC  4306  ;NGC 4306                           ;GiP;185.517029 +12.787211              ;            ~ ~   ;      ~  ;1516         ;     ~   
4047;NGC  4307  ;NGC 4307                           ;GiG;185.523437 +09.043553              ;            ~ ~   ;      ~  ;1066         ;     ~   
4048;NGC  4308  ;NGC 4308                           ;GiG;185.4868809428500 +30.0743359826400;            ~ ~   ;      ~  ;618          ;     ~   
4049;NGC  4309  ;NGC 4309                           ;GiP;185.551454 +07.144389              ;            ~ ~   ;      ~  ;1053         ;     ~   
4050;NGC  4311  ;NGC 4310                           ;GiG;185.6095635250900 +29.2086722249500;            ~ ~   ;      ~  ;906          ;     ~   
4051;NGC  4312  ;NGC 4312                           ;GiG;185.630662 +15.537919              ;            ~ ~   ;      ~  ;148          ;11.72    
4052;NGC  4313  ;NGC 4313                           ;GiG;185.6604801440300 +11.8008780904400;   2.406 -0.028   ;0.5584   ;1442         ;     ~   
4053;NGC  4314  ;NGC 4314                           ;LIN;185.6334262503800 +29.8955041145000;            ~ ~   ;      ~  ;985          ;10.58    
4054;NGC  4316  ;NGC 4316                           ;GiG;185.675921 +09.332811              ;            ~ ~   ;      ~  ;1250         ;     ~   
4055;NGC  4318  ;NGC 4318                           ;GiG;185.6803777414899 +08.1982918976400;    0.629 0.602   ;0.1924   ;1200         ;     ~   
4056;NGC  4319  ;NGC 4319                           ;GiP;185.4328869416700 +75.3225084725400;            ~ ~   ;      ~  ;1358         ;     ~   
4057;NGC  4320  ;NGC 4320                           ;GiG;185.7405110226299 +10.5483179030200;            ~ ~   ;      ~  ;7661         ;     ~   
4058;NGC  4321  ;M 100                              ;AGN;185.7288749973299 +15.8223045161000;    2.189 0.260   ;      ~  ;1570         ;9.35     
4059;NGC  4322  ;NGC 4322                           ;GiC;185.7572008466399 +15.9055616598600;   -0.029 0.718   ;0.2523   ;1844         ;13.94    
4060;NGC  4324  ;NGC 4324                           ;GiG;185.7757281218200 +05.2503414592700;    0.761 0.111   ;      ~  ;1668         ;     ~   
4061;NGC  4325  ;NGC 4325                           ;BiC;185.777760 +10.621235              ;            ~ ~   ;      ~  ;7544         ;     ~   
4062;NGC  4326  ;NGC 4326                           ;LIN;185.7984734377300 +06.0721353076400;            ~ ~   ;      ~  ;7018         ;     ~   
4063;NGC  4328  ;NGC 4328                           ;GiG;185.8334940334100 +15.8203687428400;   2.830 -1.572   ;0.0404   ;479          ;     ~   
4064;NGC  4329  ;NGC 4329                           ;GiG;185.8363052893199 -12.5586383398800;   -1.195 0.596   ;      ~  ;4340         ;     ~   
4065;NGC  4330  ;NGC 4330                           ;GiG;185.821871 +11.367981              ;            ~ ~   ;      ~  ;1563         ;     ~   
4066;NGC  4331  ;NGC 4331                           ;G  ;185.64933 +76.17331                ;            ~ ~   ;      ~  ;1566         ;     ~   
4067;NGC  4332  ;NGC 4332                           ;GiG;185.695083 +65.843697              ;            ~ ~   ;      ~  ;2751         ;     ~   
4068;NGC  4333  ;NGC 4333                           ;LIN;185.8427974002399 +06.0407402372400;  -2.221 -0.198   ;0.8408   ;6936         ;     ~   
4069;NGC  4334  ;NGC 4334                           ;rG ;185.849485 +07.473806              ;            ~ ~   ;      ~  ;4250         ;     ~   
4070;NGC  4335  ;NGC 4335                           ;rG ;185.757950 +58.444711              ;            ~ ~   ;      ~  ;-111         ;     ~   
4071;NGC  4336  ;NGC 4336                           ;GiG;185.8741358128700 +19.4269061367700;            ~ ~   ;      ~  ;1047         ;     ~   
4072;NGC  4337  ;NGC 4337                           ;OpC;186.0220 -58.1250                  ;   -8.841 1.468   ;0.357    ;-15.58       ;8.9      
4073;NGC  4338  ;NGC 4338                           ;GiC;185.808075 +28.894108              ;            ~ ~   ;      ~  ;570          ;     ~   
4074;NGC  4339  ;NGC 4339                           ;GiP;185.8955825385799 +06.0817964010500;   0.368 -0.131   ;      ~  ;1287         ;     ~   
4075;NGC  4340  ;NGC 4340                           ;GiP;185.8970067963900 +16.7223453383200;  -1.005 -0.386   ;      ~  ;919          ;     ~   
4076;NGC  4341  ;NGC 4341                           ;GiP;185.972796 +07.107267              ;            ~ ~   ;      ~  ;913          ;     ~   
4077;NGC  4342  ;NGC 4342                           ;GiP;185.9125133518699 +07.0539887497500;            ~ ~   ;      ~  ;455          ;     ~   
4078;NGC  4343  ;NGC 4343                           ;AGN;185.9112153150900 +06.9540225590800;            ~ ~   ;      ~  ;1013         ;     ~   
4079;NGC  4344  ;NGC 4344                           ;bCG;185.9060402508399 +17.5409019967000;   0.057 -0.322   ;1.3161   ;1147         ;     ~   
4080;NGC  4346  ;NGC 4346                           ;GiG;185.8665093906500 +46.9937894651100;    0.282 0.179   ;      ~  ;776          ;     ~   
4081;NGC  4348  ;NGC 4348                           ;GiG;185.9746782580899 -03.4427870208600;            ~ ~   ;      ~  ;2003         ;     ~   
4082;NGC  4349  ;NGC 4349                           ;OpC;186.0480 -61.8660                  ;  -7.827 -0.296   ;0.490    ;-11.46       ;7.4      
4083;NGC  4350  ;NGC 4350                           ;GiP;185.990892 +16.693356              ;            ~ ~   ;      ~  ;1233         ;11.08    
4084;NGC  4352  ;NGC 4352                           ;GiG;186.0209251855900 +11.2180794601600;            ~ ~   ;      ~  ;2076         ;     ~   
4085;NGC  4353  ;NGC 4353                           ;GiG;186.001062 +07.785177              ;            ~ ~   ;      ~  ;1118         ;     ~   
4086;NGC  4354  ;NGC 4351                           ;GiG;186.006500 +12.205025              ;            ~ ~   ;      ~  ;2316         ;     ~   
4087;NGC  4355  ;NGC 4355                           ;Sy2;186.7275861413000 -00.8776170036100;            ~ ~   ;      ~  ;2115         ;13.37    
4088;NGC  4356  ;NGC 4356                           ;GiG;186.060562 +08.535803              ;            ~ ~   ;      ~  ;1092         ;     ~   
4089;NGC  4357  ;NGC 4357                           ;LIN;185.9952271732099 +48.7794558058900;  -1.228 -0.707   ;      ~  ;4090         ;12.68    
4090;NGC  4358  ;NGC 4358                           ;G  ;185.9895832992800 +58.3806379378500;            ~ ~   ;      ~  ;4505         ;     ~   
4091;NGC  4359  ;NGC 4359                           ;GiG;186.046083 +31.521606              ;            ~ ~   ;      ~  ;1249         ;     ~   
4092;NGC  4360  ;NGC 4360                           ;BiC;186.0903926718999 +09.2927808476200;            ~ ~   ;      ~  ;6824         ;     ~   
4093;NGC  4361  ;NGC 4361                           ;PN ;186.1281293864699 -18.7848798156400; -4.565 -10.141   ;0.9653   ;10.0         ;13.2     
4094;NGC  4362  ;NGC 4362                           ;GiG;186.0471569500099 +58.3605896458300;            ~ ~   ;      ~  ;4472         ;     ~   
